"label","description","uuid:ID","id","name","instanceType"
"","","00159b8b-3d40-4d68-b695-5757bf8df9cd","Activity_1","Informed consent","Activity"
"","","3d9963d1-f218-4818-8bef-0b4fcfac7025","Activity_2","Inclusion/exclusion criteria","Activity"
"","","762a0319-905a-4b42-93df-64d6dbc69436","Activity_3","Patient number assigned","Activity"
"Demographics","","35e059bc-fadf-463b-a1c9-54d7bbbccb9e","Activity_4","Demographics","Activity"
"Hachinski","","c25e9c12-483e-4149-9f10-143e0fba2144","Activity_5","Hachinski","Activity"
"MMSE","","f87497c9-05d4-4778-8f2b-bd03ce776892","Activity_6","MMSE","Activity"
"","","7e2f5469-c814-4884-9afc-9e53c57e17b0","Activity_7","Physical examination","Activity"
"","","6bae52fb-4cbb-446a-8224-4b6c8711f5db","Activity_8","Medical history","Activity"
"","","d9424a3b-0330-4ff2-a1d0-363eb22953fe","Activity_9","Habits","Activity"
"","","0810d9af-f59d-4f37-b9c7-4629ab686020","Activity_10","Chest X-ray","Activity"
"","","871bc90f-419c-4ac0-8dd6-02de14435942","Activity_11","Apo E genotyping","Activity"
"","","d3c85412-dc47-4b46-8d58-42e06fc35a58","Activity_12","Patient randomised","Activity"
"Vital Signs and Temperature","","31707c3b-dd49-4ab7-b52a-bd57d1c13fee","Activity_13","Vital signs / Temperature","Activity"
"","","88ae7bd4-6e54-4a68-8311-474e925abc39","Activity_14","Ambulatory ECG placed","Activity"
"","","d3a81eb5-d703-4446-bdfd-75286d62b363","Activity_15","Ambulatory ECG removed","Activity"
"","","d51ee63b-f1d6-4548-89b3-d0e9ef08d99e","Activity_16","ECG","Activity"
"","","8b772c86-1904-421e-9d1b-e5bcd629062f","Activity_17","Placebo TTS test","Activity"
"","","56a9811c-1e4e-43f2-a5ac-d1f8e9d7dfde","Activity_18","CT scan","Activity"
"","","a814c505-affc-4760-8778-ecf64e8c190c","Activity_19","Concomitant medications","Activity"
"","","47e00f44-6afb-4104-a415-bc7f5c4ed492","Activity_20","Hematology","Activity"
"","","8d1d637a-d1ac-48b8-8de4-56f44110972d","Activity_21","Chemistry","Activity"
"","","db64d4b7-bd15-41b7-824f-5c5b9ac219cb","Activity_22","Uninalysis","Activity"
"","","021a059d-6389-44dd-bfd5-9cd86680d3d9","Activity_23","Plasma Specimen (Xanomeline)","Activity"
"","","18475011-6963-447a-863b-ae176247d9fd","Activity_24","Hemoglobin A1C","Activity"
"Study drug record , Medications dispensed, Medications returned","","b2df9b28-33ff-4f85-a2ae-38bbf8217408","Activity_25","Study drug","Activity"
"","","117884e0-ccee-4461-839a-981c6318d9c4","Activity_26","TTS Acceptability Survey","Activity"
"","","302770d5-58aa-4276-97c2-fcaa606652e5","Activity_27","ADAS-Cog","Activity"
"","","1616ab9e-a5e5-4d61-b305-6976debcfba4","Activity_28","CIBIC+","Activity"
"","","e5776fb5-c57c-4372-a473-81a50091ecf9","Activity_29","DAD","Activity"
"","","0ceae0c1-006e-4316-89df-396bd450ecf1","Activity_30","NPI-X","Activity"
"","","6ba3b622-68c3-4f9a-8cc2-3cad3ee2e90f","Activity_31","Adverse events","Activity"
"","","ba050071-1ff7-435d-a43d-c24c01549fc2","Activity_32","Check adverse events","Activity"
"Subject supine","","ae0ee629-3062-43b9-89de-a575c806a41a","Activity_33","Supine","Activity"
"Vital signs while supine","","562011f9-c91c-4d61-b585-e83bcbc4f01b","Activity_34","Vital Signs Supine","Activity"
"Subject Standing","","4a8a3db6-7a44-4b58-9dce-2ed2e03d937a","Activity_35","Stand","Activity"
"Vital signs while standing","","42d94087-2568-465a-a2b7-605c5509de6b","Activity_36","Vital Signs Standing","Activity"
