"code","decode","uuid:ID","codeSystemVersion","id","instanceType","codeSystem"
"C98388","Interventional Study","77d49426-4c52-4a00-bd85-da18fea4c486","2023-09-29","Code_1","Code","http://www.cdisc.org"
"C15601","Phase II Trial","cb380ef0-8c72-4325-b69f-4a184213c10c","2023-09-29","Code_2","Code","http://www.cdisc.org"
"C132352","Sponsor Approval Date","a2ea8f3a-2d83-4b45-9bd0-f1d5fe414505","2023-09-29","Code_9","Code","http://www.cdisc.org"
"C68846","Global","10c9059e-c976-4b45-b55a-c27693b59aea","2023-09-29","Code_10","Code","http://www.cdisc.org"
"C99904x3","IRB/IEC Feedback","0ea5bf38-5e12-4a1e-ac4c-0685440dc10a","2023-09-29","Code_72","Code","http://www.cdisc.org"
"C17649","Other","dff07feb-b683-43c1-8e46-8f293ae3f713","2023-09-29","Code_73","Code","http://www.cdisc.org"
"C41129","Region","c3dfe864-7f3a-4b0d-ad3d-09bc0d5a9502","2023-09-29","Code_75","Code","http://www.cdisc.org"
"150","Europe","69865634-9022-4684-9c9a-5ba6dbebdfa2","2020-08","Code_74","Code","ISO 3166 1 alpha3"
"PHARMA","Eli Lilly","bacd8e75-52b9-444f-897e-05bc57f32605","12","Code_4","Code","SPONSOR"
"C70793","Clinical Study Sponsor","07c76ee4-0c90-4f22-a828-a0ff7e599514","2023-09-29","Code_76","Code","http://www.cdisc.org"
"DNK","Denmark","88429bf9-9505-4f46-b90e-4cb551f30693","2020-08","Code_77","Code","ISO 3166 1 alpha3"
"C93453","Study Registry","4d8c39d3-ba83-4f2a-b6f6-c85b5c2bdb13","2023-09-29","Code_78","Code","http://www.cdisc.org"
"C49656","Treatment Study","5f23537d-c2e6-441a-88d9-bb74fa0f0401","2023-09-29","Code_136","Code","http://www.cdisc.org"
"C49666","Efficacy Study","b0d48c2e-8724-45f5-a0e2-0a4d5403779e","2023-09-29","Code_137","Code","http://www.cdisc.org"
"C49667","Safety Study","3826bd90-8a4b-4a68-86c7-442b2b82ad6d","2023-09-29","Code_138","Code","http://www.cdisc.org"
"C49663","Pharmacokinetic Study","96adf505-f370-43b7-ac47-50781dd10500","2023-09-29","Code_139","Code","http://www.cdisc.org"
"MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","00fc2d57-8fb8-41bb-9440-6bce41fb42d7","12","Code_133","Code","SPONSOR"
"26929004","Alzheimer's disease","db7369ed-8b61-439b-a772-73580c2eff29","January 31, 2018","Code_134","Code","SNOMED"
"C99907x1","EXTENSION","0c31a13d-b4ba-44fc-84e8-fdcf84827c96","2023-09-29","Code_142","Code","http://www.cdisc.org"
"C98704","ADAPTIVE","37bc775b-2850-4257-8d18-e3f4e80827e7","2023-09-29","Code_143","Code","http://www.cdisc.org"
"C82639","Parallel Study","0b93d678-58ea-488d-b565-071eee8382d3","2023-09-29","Code_140","Code","http://www.cdisc.org"
"C25716","Visit","a062f490-ed82-4d85-b82a-b216c01b0bed","2023-09-29","Code_82","Code","http://www.cdisc.org"
"C51282","Clinic","0d70da19-0e3b-47a9-bf14-6e101e704bcd","2023-09-29","Code_83","Code","http://www.cdisc.org"
"C175574","In Person","467f3641-6665-4f0d-83c7-654e2df65410","2023-09-29","Code_84","Code","http://www.cdisc.org"
"C25716","Visit","634a262c-ebce-4f42-bf8b-2982b39ebd96","2023-09-29","Code_85","Code","http://www.cdisc.org"
"C51282","Clinic","0fa70298-e7cc-4814-9312-c0c01378fb33","2023-09-29","Code_86","Code","http://www.cdisc.org"
"C175574","In Person","f65bad0e-d6d6-493d-b00f-c08fe8ebe41e","2023-09-29","Code_87","Code","http://www.cdisc.org"
"C25716","Visit","4808fe9f-1e48-475c-99cd-3aba5478f610","2023-09-29","Code_88","Code","http://www.cdisc.org"
"C51282","Clinic","686d1c3e-af71-41c7-9b69-18fd34804724","2023-09-29","Code_89","Code","http://www.cdisc.org"
"C175574","In Person","9a8b44b9-8c22-4c58-a71f-39c057e02ba6","2023-09-29","Code_90","Code","http://www.cdisc.org"
"C25716","Visit","b710dcd6-ba72-498b-9bd7-efeecedd363d","2023-09-29","Code_91","Code","http://www.cdisc.org"
"C51282","Clinic","19e3b48b-43d1-4a7e-bd30-270ff7815fc4","2023-09-29","Code_92","Code","http://www.cdisc.org"
"C175574","In Person","ad0ad577-4bbe-478a-9dfa-dea93884541c","2023-09-29","Code_93","Code","http://www.cdisc.org"
"C25716","Visit","55373c1e-9750-4b83-8707-dca22f625074","2023-09-29","Code_94","Code","http://www.cdisc.org"
