"label","id","instanceType","description","name","uuid:ID"
"Screening 1","Encounter_1","Encounter","Screening encounter","E1","192acd3d-04b7-4092-9103-278716deb357"
"Screening 2","Encounter_2","Encounter","Screening encounter - Ambulatory ECG Placement","E2","449ce06c-3cef-48ef-bb5d-6cde64909fd8"
"Baseline","Encounter_3","Encounter","Baseline encounter - Ambulatory ECG Removal","E3","f9b782f9-582a-4fbd-8fd4-b6ee5d781a66"
"Week 2","Encounter_4","Encounter","Day 14","E4","7db33735-6c1b-4ca7-b4bc-626b6404911e"
"Week 4","Encounter_5","Encounter","Day 28","E5","13ef28e0-fdec-47d5-944e-984a179e311e"
"Week 6","Encounter_6","Encounter","Day 42","E7","459c1fb0-49ca-4e53-86ef-445178ffca97"
"Week 8","Encounter_7","Encounter","Day 56","E8","6a1d3a03-e00c-4c3f-b791-508aabe43af4"
"Week 12","Encounter_8","Encounter","Day 84","E9","7337fad8-4fd5-4695-a341-ffdfbf7ce372"
"Week 16","Encounter_9","Encounter","Day 112","E10","ef1a5c7e-c383-4606-9b56-47117b29a310"
"Week 20","Encounter_10","Encounter","Day 140","E11","c176bff3-88b5-4044-a667-d663004e69ec"
"Week 24","Encounter_11","Encounter","Day 168","E12","ef60956e-1a49-40bb-a9e9-ee6d1d5a060a"
"Week 26","Encounter_12","Encounter","Day 182","E13","b7e8cb2e-345d-4277-b829-27c2130b7083"
