"label","uuid:ID","text","id","instanceType","description","name","purpose"
"","4a51c6c2-07b8-4f3a-9abc-0811cab284ba","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1","Endpoint","","END1",""
"","def93112-d539-4b9b-8745-a65d8f31209e","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2","Endpoint","","END2",""
"","d1af1ed4-03b3-432e-a325-4302675efc69","Adverse events","Endpoint_3","Endpoint","","END3",""
"","a53f5e63-dedd-4325-b6a7-8f4c642cfe12","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4","Endpoint","","END4",""
"","f412125e-77ce-4c0d-9ebd-13453acb49b6","Laboratory evaluations (Change from Baseline)","Endpoint_5","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","END5",""
"","b7495e85-f37a-404c-b14e-8cd90cd42857","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6","Endpoint","","END6",""
"","c6984d99-c782-4d16-a696-afd8c5fd7922","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7","Endpoint","","END7",""
"","3e5742c5-aa06-4264-9377-26b3520ae641","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8","Endpoint","","END8",""
"","aa539793-1fcf-46aa-8006-ef5295b67ec4","*** To be determined from protocol ***","Endpoint_9","Endpoint","","END9",""
"","312b185b-c8c5-4823-b530-0e0e4ee76465","*** To be determined from protocol ***","Endpoint_10","Endpoint","","END10",""
"","59873c05-0f85-4204-bf06-a60ab1b4abf7","*** To be determined from protocol ***","Endpoint_11","Endpoint","","END11",""
