"label","synonyms","id","instanceType","name","uuid:ID","reference"
"Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept_20","BiomedicalConcept","Informed Consent Obtained","dd319435-58f6-4280-914b-33ae843ff097","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT"
"Sex","","BiomedicalConcept_21","BiomedicalConcept","Sex","83652880-422b-4104-9d68-0707a2dd42d4","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"Race","['Racial Group']","BiomedicalConcept_22","BiomedicalConcept","Race","cac545f8-eded-4c75-a483-08309cebf8ae","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"Temperature","['Temperature', 'Body Temperature']","BiomedicalConcept_23","BiomedicalConcept","Temperature","da4238c6-4771-49e0-921b-cbddc0a90d3b","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","['Weight', 'Body Weight']","BiomedicalConcept_24","BiomedicalConcept","Weight","fbed64e6-3fd1-454a-b210-b27f24105891","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","['Height', 'Body Height']","BiomedicalConcept_25","BiomedicalConcept","Height","299c42a9-6826-46a4-adc6-6f3e8e5a5ad5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_26","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","01607275-95f9-4f9f-8e09-3cc6193c53ed","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","BiomedicalConcept_27","BiomedicalConcept","Albumin Presence in Urine","fcd0acd8-b399-4ccc-864f-256d4253f070","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_28","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","74323085-9925-4dc3-8caf-c5466def664e","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_29","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","63396d41-06af-45cb-bfe6-4bd5db3d4c31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_30","BiomedicalConcept","Creatinine Concentration in Urine","06a77771-efa0-4ff8-b0c8-20fceb2ef72d","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_31","BiomedicalConcept","Potassium Concentration in Urine","8dc7db4b-9380-443e-a5f0-67f31a0e71fc","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_32","BiomedicalConcept","Sodium Concentration in Urine","7ddc051f-7284-49b4-9228-c821858bd12e","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_33","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","1d226992-05bc-46bf-8c40-94fba8831b22","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1","BiomedicalConcept","Adverse Event Prespecified","fdbb7acd-38d4-4f9c-985a-7753c93686f5","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2","BiomedicalConcept","Systolic Blood Pressure","1b29a022-c39e-4eba-8756-41c882c2ff15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3","BiomedicalConcept","Diastolic Blood Pressure","57cfa4f1-f2f3-48e0-b6d8-c5938ec31e9b","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Temperature","['Temperature', 'Body Temperature']","BiomedicalConcept_4","BiomedicalConcept","Temperature","6be5615f-b023-49c7-ba20-4228835b03b6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","['Weight', 'Body Weight']","BiomedicalConcept_5","BiomedicalConcept","Weight","b362c98e-1a75-43af-8d23-814410cec70f","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","['Height', 'Body Height']","BiomedicalConcept_6","BiomedicalConcept","Height","55a9dbee-286c-4ec2-a565-e30ad5fdb469","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","c72bcb3f-acd4-4c22-b69f-07bd60510a4d","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","BiomedicalConcept_8","BiomedicalConcept","Albumin Presence in Urine","74a7117e-7c22-412c-889a-e87e9ace618d","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","e8ec772e-9c14-44ad-b76e-3af223a23fe7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","e42e69fa-d8c3-427e-a9a4-e1ecc4a2e7fa","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11","BiomedicalConcept","Creatinine Concentration in Urine","1176eadf-9563-474a-9a10-419618d8ac31","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
