"text","id","instanceType","name","uuid:ID"
"Subject identifier","TransitionRule_1","TransitionRule","ENCOUNTER_START_RULE_1","75d4fa21-44c2-4020-8f59-2e8e105aa195"
"completion of screening activities","TransitionRule_2","TransitionRule","ENCOUNTER_START_RULE_1","7ef14d8f-df28-4d4c-8b1a-30a890acc1e4"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","TransitionRule","ENCOUNTER_START_RULE_2","389bae54-aa3d-4ba3-8ccd-c52babd672c6"
"subject has connection of ambulatory ECG machine removed","TransitionRule_4","TransitionRule","ENCOUNTER_START_RULE_3","a167a3d3-168b-4210-b66c-3f4f3062ea2c"
"Radomized","TransitionRule_5","TransitionRule","ENCOUNTER_START_RULE_3","82291d6f-f1e0-4d2b-8487-94ab1748eaf8"
"End of treatment","TransitionRule_6","TransitionRule","ENCOUNTER_START_RULE_12","197e3823-d448-4076-b756-75d60f9215d2"
"Informed consent","TransitionRule_7","TransitionRule","ELEMENT_START_RULE_1","a63f370a-eaea-4c9f-a89e-f6c78e2d7d82"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","TransitionRule","ELEMENT_END_RULE_1","8ac6baec-9894-48be-9f68-ba205e89d943"
"Administration of first dose","TransitionRule_9","TransitionRule","ELEMENT_START_RULE_2","9a97b529-73bd-4ea6-86cc-3ac9bfb7ff96"
"End of last scheduled visit on study (including early termination)","TransitionRule_14","TransitionRule","ELEMENT_START_RULE_7","a8b5c8db-2666-4fc9-8c4f-17cc9811cf57"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","TransitionRule","ELEMENT_END_RULE_7","5b7f34b2-dbe3-492b-a964-a464d4ab62dc"
"Administration of first dose","TransitionRule_10","TransitionRule","ELEMENT_START_RULE_3","1ce1b553-808a-49b4-a353-432b67922e8e"
"Randomized","TransitionRule_11","TransitionRule","ELEMENT_START_RULE_4","c9c6d744-26ce-43f9-bbe6-b14ec29fa995"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","TransitionRule","ELEMENT_START_RULE_5","46d1b6ca-b8af-4dec-a92c-faf13482851c"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","TransitionRule","ELEMENT_START_RULE_6","ba41999b-e112-4eaa-9034-1d02e3ae7d70"
