"label","id","instanceType","description","name","uuid:ID"
"Informed consent","Activity_1","Activity","","Informed consent","60f8f638-9c88-4344-9207-006c746a92c0"
"Inclusion and exclusion criteria","Activity_2","Activity","","Inclusion/exclusion criteria","94860be2-feb6-4588-b517-168ccdd742da"
"Patient number assigned","Activity_3","Activity","","Patient number assigned","a9c148f1-d688-4267-b0a7-9637a50e26f5"
"Demographics","Activity_4","Activity","","Demographics","38e38aac-7b92-4dd7-8932-2850edec8da9"
"Hachinski Ischemic Scale","Activity_5","Activity","","Hachinski","9561480f-7ed1-439c-8fe2-f9462534f6a9"
"MMSE","Activity_6","Activity","","MMSE","aa424874-26be-48dc-8e1b-12b65f3a660e"
"Physical examination","Activity_7","Activity","","Physical examination","d676c730-a26c-425b-8546-5a55d47457e4"
"Medical history","Activity_8","Activity","","Medical history","d44676ac-48b9-4cc9-951e-bff04a902815"
"Habits","Activity_9","Activity","","Habits","c0cd532f-f925-498c-87ac-7c1c122b55a7"
"Chest X-ray","Activity_10","Activity","","Chest X-ray","cbc3ff87-8f54-4846-9bac-be3d3377e3f5"
"Apo E genotyping","Activity_11","Activity","","Apo E genotyping","904258c4-3725-49eb-8ec3-9038306ec9c9"
"Patient randomised","Activity_12","Activity","","Patient randomised","819f1c09-14c1-4f77-be37-7fadeefb7857"
"Vital Signs and Temperature","Activity_13","Activity","","Vital signs / Temperature","03e9c7f8-3ef1-482a-b338-21dfbf03a30b"
"Ambulatory ECG placed","Activity_14","Activity","","Ambulatory ECG placed","8c8b8e9a-7d45-4c58-a7e6-db56f9039893"
"Ambulatory ECG removed","Activity_15","Activity","","Ambulatory ECG removed","e996d3fd-2325-4f0c-88d0-85c40ecda3c1"
"ECG","Activity_16","Activity","","ECG","69bc57fd-0f56-4502-9b72-be741a36fb1d"
"Placebo TTS test","Activity_17","Activity","","Placebo TTS test","bfa069d1-bd16-4e21-ad63-3799a502cf69"
"CT scan","Activity_18","Activity","","CT scan","52e380a0-ec22-4a41-8e6f-2eb3e18e996a"
"Concomitant medications","Activity_19","Activity","","Concomitant medications","be25036f-7c76-4d1a-b53b-9920167bd433"
"Hematology","Activity_20","Activity","","Hematology","20104cd2-3dc8-4d39-9e76-9e00e8618990"
"Chemistry","Activity_21","Activity","","Chemistry","481a2758-bfc2-47ca-ab1f-d3f9b438eabf"
"Uninalysis","Activity_22","Activity","","Uninalysis","24a76d93-478d-499e-92f9-f3cc6920d6d5"
"Plasma Specimen (Xanomeline)","Activity_23","Activity","","Plasma Specimen (Xanomeline)","e72629e5-44a1-461b-a34b-4bdf6eac919e"
"Hemoglobin A1C","Activity_24","Activity","","Hemoglobin A1C","6fbc5ec4-0fd8-4b1a-8175-900fa4df97ee"
"Study drug record , Medications dispensed, Medications returned","Activity_25","Activity","","Study drug","930ec0f3-5330-47c9-8477-22c3591c1e67"
"TTS Acceptability Survey","Activity_26","Activity","","TTS Acceptability Survey","8ce07199-101b-42d5-b255-3efc36c5a964"
"ADAS-Cog","Activity_27","Activity","","ADAS-Cog","f36ab6f5-2e77-4d23-8f94-b28d781209b3"
"CIBIC+","Activity_28","Activity","","CIBIC+","7e638b99-f72f-4af7-9b14-6e59e1c3ab55"
"DAD","Activity_29","Activity","","DAD","f96af23c-1eda-49bb-96a0-e2746ca05b8f"
"NPI-X","Activity_30","Activity","","NPI-X","08cd8fd6-f5bd-49d9-ac96-07050de15611"
"Adverse events","Activity_31","Activity","","Adverse events","effd300f-9d18-48ce-a9a1-8b4cfc790a95"
"Check adverse events","Activity_32","Activity","","Check adverse events","10a57099-076c-43e9-b054-5c4a4727a5ac"
"Subject supine","Activity_33","Activity","","Supine","09163a37-f7cb-40b5-b421-f19839816f5d"
"Vital signs while supine","Activity_34","Activity","","Vital Signs Supine","47a270e9-54ab-4ce6-b1ef-df82acd7444f"
"Subject Standing","Activity_35","Activity","","Stand","8cfe3df0-a2e8-4110-a79b-f248a3f11385"
"Vital signs while standing","Activity_36","Activity","","Vital Signs Standing","86f56f9e-d3ec-4a5b-a62a-4d3c26a422bc"
