"label","id","instanceType","description","name","uuid:ID"
"Screen One","ScheduledActivityInstance_9","ScheduledActivityInstance","-","SCREEN1","1d996b37-416a-4dc0-952e-50a31563d23e"
"Screen Two","ScheduledActivityInstance_10","ScheduledActivityInstance","-","SCREEN2","9b8d8d7c-7246-4997-a9d9-2b9702f2eec1"
"Dose","ScheduledActivityInstance_11","ScheduledActivityInstance","-","DOSE","3383269e-e079-4eef-89ff-78ab9222283c"
"Week 2","ScheduledActivityInstance_12","ScheduledActivityInstance","-","WK2","5d218391-5ae1-4992-a4dc-5b9edc71440c"
"Week 4","ScheduledActivityInstance_13","ScheduledActivityInstance","-","WK4","8cd19117-d7eb-44c2-bea5-6f9ba21e1e65"
"Week 6","ScheduledActivityInstance_14","ScheduledActivityInstance","-","WK6","ec4b8c42-879b-4ffd-bdb4-2a0a548abbf6"
"Week 8","ScheduledActivityInstance_15","ScheduledActivityInstance","-","WK8","dd258c55-4a64-4e8f-9e2f-8c38347846f3"
"Week NPI","ScheduledActivityInstance_16","ScheduledActivityInstance","-","WK8N","80c59d13-2ba2-40cd-92d0-0ef3c47d9e4a"
"Week 12","ScheduledActivityInstance_17","ScheduledActivityInstance","-","WK12","1a4cd247-eb69-46ef-8a83-fa99329efa00"
"Week 12 NPI","ScheduledActivityInstance_18","ScheduledActivityInstance","-","WK12N","c7b61070-db3b-414a-a22e-afd9259c46f6"
"Week 16","ScheduledActivityInstance_19","ScheduledActivityInstance","-","WK16","71ce83e5-0429-444b-aae1-d821b7274abf"
"Week 16 NPI","ScheduledActivityInstance_20","ScheduledActivityInstance","-","WK16N","4ccb9d3d-59f4-4d4b-a1fb-3390f27a48d5"
"Week 20","ScheduledActivityInstance_21","ScheduledActivityInstance","-","WK20","34c20983-c1ee-4331-aefd-1063e2b17871"
"Week 20 NPI","ScheduledActivityInstance_22","ScheduledActivityInstance","-","WK20N","27d0f470-8f45-4d6a-8c64-42e257135ea5"
"Week 24","ScheduledActivityInstance_23","ScheduledActivityInstance","-","WK24","81115694-4053-4b44-b624-4bb7eef01d0a"
"Week 26","ScheduledActivityInstance_24","ScheduledActivityInstance","-","WK26","b2be7171-08cb-417e-9ebb-10873d400e26"
"Adevers Event","ScheduledActivityInstance_1","ScheduledActivityInstance","-","AE","191af184-2c6c-4b7c-b602-287daa980b5d"
"Early Termination","ScheduledActivityInstance_2","ScheduledActivityInstance","-","ET","a0ec7781-6b0d-42fa-848d-760e91b74920"
"5 minute supine","ScheduledActivityInstance_3","ScheduledActivityInstance","","VS_5MIN","dd39e3d0-b820-4e60-8cc8-1f17c6b0e506"
"Vital signs supine","ScheduledActivityInstance_4","ScheduledActivityInstance","","VS_SUPINE","39cb8c71-30ab-4bfb-980a-27964fc46bc6"
"1 minute standing","ScheduledActivityInstance_5","ScheduledActivityInstance","","VS_1MIN","4a14b773-e13e-4c08-9c8f-9c2b2008c4ee"
"Vital signs after 1 min standing","ScheduledActivityInstance_6","ScheduledActivityInstance","","VS_STAND1","c2c2884f-ce01-477c-87dc-823afb0c37be"
"2 minute standing","ScheduledActivityInstance_7","ScheduledActivityInstance","","VS_2MIN","403cf422-8591-445b-af7e-e05affccdde2"
"Vital signs after 3 min standing","ScheduledActivityInstance_8","ScheduledActivityInstance","","VS_STAND3","51ee3c05-cf63-4069-a27b-2daab7c23138"
