"label","windowLower","windowUpper","value","windowLabel","valueLabel","id","instanceType","description","name","uuid:ID"
"Screening","","","P2W","","2 weeks","Timing_1","Timing","Screening timing","TIM1","9062f545-765f-462d-ab2c-9eeb9b4fa331"
"Pre dose","PT4H","PT0H","P2D","-4..0 hours","2 days","Timing_2","Timing","Pre dose timing","TIM2","7a53720f-fc24-42f7-b61b-752ace1e6671"
"Dosing","","","P1D","","1 Day","Timing_3","Timing","Dosing anchor","TIM3","f3286b71-3d5a-4ea8-9610-35e7abec03e7"
"Week 2","P3D","P3D","P2W","-3..3 days","2 Weeks","Timing_4","Timing","Week 2 timing","TIM4","8f1fab6f-2e60-4979-8fc9-d7528e14daa5"
"Week 4","P3D","P3D","P4W","-3..3 days","4 Weeks","Timing_5","Timing","Week 4 timing","TIM5","4f2a6e2a-ef64-45e5-8e94-2490b34834c1"
"Week 6","P3D","P3D","P6W","-3..3 days","6 Weeks","Timing_6","Timing","Week 6 timing","TIM6","156bd645-3260-4e07-a3f2-514b7d4238cb"
"Week 8","P3D","P3D","P8W","-3..3 days","8 Weeks","Timing_7","Timing","Week 8 timing","TIM7","7565547d-4804-4732-aca6-607c6776dd06"
"Week 12","P4D","P4D","P12W","-4..4 days","12 Weeks","Timing_9","Timing","Week 12 timing","TIM9","9906ddcf-5823-4544-87bd-ceda2aa0bb95"
"Week 16","P4D","P4D","P16W","-4..4 days","16 Weeks","Timing_11","Timing","Week 16 timing","TIM11","4d2c65c3-34c8-45f3-b2ca-2c620942d05f"
"Week 20","P4D","P4D","P20W","-4..4 days","20 Weeks","Timing_13","Timing","Week 20 timing","TIM13","bc8be56e-3274-4d96-83e1-df7c43f1d5ad"
"Week 24","P4D","P4D","P24W","-4..4 days","24 Weeks","Timing_15","Timing","Week 24 timing","TIM15","bb1b9716-7f46-4604-b9a1-ab2283a3935e"
"Week 26","P3D","P3D","P26W","-3..3 days","26 Weeks","Timing_16","Timing","Week 26 timing","TIM16","bf691a37-99b3-4376-aced-9262d172c95b"
"Week 8 Home","","","P2W","","2 Weeks","Timing_8","Timing","Week 8 at home timing","TIM8","4680dfa1-042d-4384-b5b2-e7e03620c548"
"Week 12 Home","","","P2W","","2 Weeks","Timing_10","Timing","Week 12 at home timing","TIM10","c7c06ab5-83b5-4607-88ef-4d626a88ab22"
"Week 16 Home","","","P2W","","2 Weeks","Timing_12","Timing","Week 16 at home timing","TIM12","b9de418d-3153-4a0f-bdee-b19379e0be18"
"Week 20 Home","","","P2W","","2 Weeks","Timing_14","Timing","Week 20 at home timing","TIM14","3a790137-1913-4383-86b8-51d9944d2643"
"Adverse Event","","","P1D","","1 Day","Timing_17","Timing","Adverse Event","TIM17","344fa612-a8d8-425a-b2f3-0580478d2bbc"
"Early Termination","","","P1D","","1 Day","Timing_18","Timing","Early Termination","TIM18","1b22297b-354c-4ebb-b486-000b8152c597"
"Supine","","","PT0M","","0 mins","Timing_19","Timing","Supine","TIM19","7b87aa1a-cb90-4857-939d-4325a59933a5"
"VS while supine","","","PT5M","","5 mins","Timing_20","Timing","VS while supine","TIM20","68234cbd-539c-44b1-885a-8479010116da"
"Standing","","","PT0M","","0 min","Timing_21","Timing","Standing","TIM21","dd66b554-cbf4-462b-b483-d271ac4fb577"
"VS while standing","","","PT1M","","1 min","Timing_22","Timing","VS while standing","TIM22","3fad0beb-d22b-4dc4-884f-e202d1cbceab"
"Standing","","","PT0M","","0 min","Timing_23","Timing","Standing","TIM23","12ac34de-c21c-49ab-bad6-d608e5f31287"
"VS while standing","","","PT2M","","2 min","Timing_24","Timing","VS while standing","TIM24","9e9888a1-2d0b-4dc5-9488-50b0375f69af"
