"uuid:ID","description","instanceType","name","id","label"
"940f82ae-236f-4da5-820d-c12aba3fae57","Screening encounter","Encounter","E1","Encounter_1","Screening 1"
"e249a791-97a6-42df-b7d4-a6dd96b5a02a","Screening encounter - Ambulatory ECG Placement","Encounter","E2","Encounter_2","Screening 2"
"d0c161e8-29bd-4fbc-969d-337cd4b9978f","Baseline encounter - Ambulatory ECG Removal","Encounter","E3","Encounter_3","Baseline"
"291fbaaf-d8af-4ec3-9a4b-973fed575805","Day 14","Encounter","E4","Encounter_4","Week 2"
"d4e3e55a-3536-435b-8e43-b83bbcae49db","Day 28","Encounter","E5","Encounter_5","Week 4"
"d4d836d2-f5ae-4724-b29c-db1bdc00bd5a","Day 42","Encounter","E7","Encounter_6","Week 6"
"573f9f12-dc67-4811-8a87-4968128edcc2","Day 56","Encounter","E8","Encounter_7","Week 8"
"c5ee7dd5-67b7-40a3-9e3a-25a142a38bd5","Day 84","Encounter","E9","Encounter_8","Week 12"
"fad059bd-eb3a-4121-8def-a80a2810bfa4","Day 112","Encounter","E10","Encounter_9","Week 16"
"fb7fe320-7a42-4016-82b4-0d0eb4061fd4","Day 140","Encounter","E11","Encounter_10","Week 20"
"d8f18ba7-4d4a-45db-9d03-e7a54bfa3453","Day 168","Encounter","E12","Encounter_11","Week 24"
"adccee59-2df4-426d-b2be-de5671f6bfbd","Day 182","Encounter","E13","Encounter_12","Week 26"
