"uuid:ID","text","instanceType","name","id"
"9e0c911b-1679-4ee9-9a73-1ff832bd50de","Subject identifier","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_1"
"29364cc7-a1c9-4c37-a786-5f1d71fd2e10","completion of screening activities","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_2"
"77adc1bc-6e73-4011-aa4a-0eb277521634","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","ENCOUNTER_START_RULE_2","TransitionRule_3"
"676e5e96-0d76-44c3-acd8-1341444b2cbc","subject has connection of ambulatory ECG machine removed","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_4"
"7208aac9-0b05-486a-8510-1755d893fabc","Radomized","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_5"
"16350dd9-63ba-4e59-875f-788400c8c53d","End of treatment","TransitionRule","ENCOUNTER_START_RULE_12","TransitionRule_6"
"29764422-a64c-44c0-8ff3-6327cd641981","Informed consent","TransitionRule","ELEMENT_START_RULE_1","TransitionRule_7"
"ceea49ab-b01f-4aa2-9dfd-b1e668ca77d0","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","ELEMENT_END_RULE_1","TransitionRule_8"
"76a8fc32-ed29-4c0c-a355-5bb7aa1a7f8c","Administration of first dose","TransitionRule","ELEMENT_START_RULE_2","TransitionRule_9"
"b17d224e-eb12-44ce-8ee8-bd1849e33484","End of last scheduled visit on study (including early termination)","TransitionRule","ELEMENT_START_RULE_7","TransitionRule_14"
"cbf89a0d-02f3-4995-a392-7216679e79b3","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","ELEMENT_END_RULE_7","TransitionRule_15"
"39348d74-c917-42f4-959d-3b087739f870","Administration of first dose","TransitionRule","ELEMENT_START_RULE_3","TransitionRule_10"
"575dd600-90f3-4585-9ae0-2f3b6aaa97af","Randomized","TransitionRule","ELEMENT_START_RULE_4","TransitionRule_11"
"646b147a-eae9-4985-8a24-c43129333e25","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","ELEMENT_START_RULE_5","TransitionRule_12"
"0c76d172-33db-42de-b175-d4711afd41c5","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","ELEMENT_START_RULE_6","TransitionRule_13"
