"uuid:ID","purpose","description","text","instanceType","name","id","label"
"d24ce88d-88d5-4538-981b-dd255bae3e70","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint","END1","Endpoint_1",""
"80c2eb56-a475-4f1a-9e34-8538320c6100","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint","END2","Endpoint_2",""
"1620a199-a6bf-4fb0-9a05-25bdbebf7413","","","Adverse events","Endpoint","END3","Endpoint_3",""
"9fa3da63-4ac9-4573-a69d-8dec7555b6fe","","","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint","END4","Endpoint_4",""
"17d6a0ad-c1d1-4122-8489-1821f0b97161","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)","Endpoint","END5","Endpoint_5",""
"62bd4073-8923-476a-b582-60c9c74f99ad","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint","END6","Endpoint_6",""
"0cb65017-4a6b-4717-9376-3f66d81019c6","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint","END7","Endpoint_7",""
"9d1af5c0-e328-43de-b563-c2cbade2b799","","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint","END8","Endpoint_8",""
"db79641e-640d-4d61-8c23-4e356cfe0fac","","","*** To be determined from protocol ***","Endpoint","END9","Endpoint_9",""
"8a5c8aa1-0764-4ac0-8495-b4be7a301e91","","","*** To be determined from protocol ***","Endpoint","END10","Endpoint_10",""
"4eb7dba0-973a-4f3a-bbf0-0c9be8694cf9","","","*** To be determined from protocol ***","Endpoint","END11","Endpoint_11",""
