"uuid:ID","instanceType","name","reference","id","label","synonyms"
"f5060079-6244-43c6-8d86-4e2ffa2c9591","BiomedicalConcept","Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept_20","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']"
"ad69cfa6-1a3a-4b80-90d4-9ff65d6dfd96","BiomedicalConcept","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept_21","Sex",""
"3bcf8df4-a4ff-4fb7-9718-55d42804ed55","BiomedicalConcept","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept_22","Race","['Racial Group']"
"6a848e60-1d22-4f21-9583-70c4ba480055","BiomedicalConcept","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_23","Temperature","['Temperature', 'Body Temperature']"
"65d89263-61a4-4bf1-ad3b-470b781e9e09","BiomedicalConcept","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_24","Weight","['Weight', 'Body Weight']"
"ec64849e-a0d2-4336-9e92-7dab7411bacd","BiomedicalConcept","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_25","Height","['Height', 'Body Height']"
"94f6713a-3a3b-4775-ac9a-064ab651aa98","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"d5012ba0-cf16-4cf4-9478-9165282838d3","BiomedicalConcept","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_27","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"0eec26fe-79f3-4b77-a5b0-5052f305734a","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"5f83cf68-0625-4e36-9c8c-ddbd65edb700","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"09c718e8-197a-4f83-85b7-011eecf1c22e","BiomedicalConcept","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept_30","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']"
"fd5dcce7-2f3a-45d7-a3da-a065272c7c75","BiomedicalConcept","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept_31","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']"
