"uuid:ID","windowLower","description","instanceType","windowUpper","valueLabel","name","id","value","label","windowLabel"
"70751664-0612-4054-9f2a-f413fa63fb2e","","Screening timing","Timing","","2 weeks","TIM1","Timing_1","P2W","Screening",""
"9c9dee81-7646-4f40-9590-879c4b26ba73","PT4H","Pre dose timing","Timing","PT0H","2 days","TIM2","Timing_2","P2D","Pre dose","-4..0 hours"
"8eb11993-1d9f-4955-9b56-c844e7d94d6d","","Dosing anchor","Timing","","1 Day","TIM3","Timing_3","P1D","Dosing",""
"79540ec2-2f62-495a-bf86-3689a27e1a34","P3D","Week 2 timing","Timing","P3D","2 Weeks","TIM4","Timing_4","P2W","Week 2","-3..3 days"
"00480c6e-8ac5-4f36-8f83-8122cd4a74f7","P3D","Week 4 timing","Timing","P3D","4 Weeks","TIM5","Timing_5","P4W","Week 4","-3..3 days"
"66eba5cc-5f6d-4bde-bc6c-c5e9a507b4ee","P3D","Week 6 timing","Timing","P3D","6 Weeks","TIM6","Timing_6","P6W","Week 6","-3..3 days"
"e24f7918-fb51-4d6b-8dc1-a6869a9afba2","P3D","Week 8 timing","Timing","P3D","8 Weeks","TIM7","Timing_7","P8W","Week 8","-3..3 days"
"d395ec84-2b6f-42ce-8517-fef90a661bf3","P4D","Week 12 timing","Timing","P4D","12 Weeks","TIM9","Timing_9","P12W","Week 12","-4..4 days"
"4bb6f4c7-a54a-489b-b7b3-6237ee4c84f5","P4D","Week 16 timing","Timing","P4D","16 Weeks","TIM11","Timing_11","P16W","Week 16","-4..4 days"
"96b162a7-4df7-4942-ac7c-554164333876","P4D","Week 20 timing","Timing","P4D","20 Weeks","TIM13","Timing_13","P20W","Week 20","-4..4 days"
"28b477fc-ed0b-4c72-af68-17df32296efd","P4D","Week 24 timing","Timing","P4D","24 Weeks","TIM15","Timing_15","P24W","Week 24","-4..4 days"
"5c5cca75-026d-4187-88a5-aaa40a45ccd8","P3D","Week 26 timing","Timing","P3D","26 Weeks","TIM16","Timing_16","P26W","Week 26","-3..3 days"
"48c87f91-8f1a-48f4-9b0c-043109be448b","","Week 8 at home timing","Timing","","2 Weeks","TIM8","Timing_8","P2W","Week 8 Home",""
"d9aa865b-e120-4b66-af6c-2098850873f4","","Week 12 at home timing","Timing","","2 Weeks","TIM10","Timing_10","P2W","Week 12 Home",""
"abd6e698-9630-49c7-9ac6-4be15516abe8","","Week 16 at home timing","Timing","","2 Weeks","TIM12","Timing_12","P2W","Week 16 Home",""
"4c8fed87-be0f-4a34-bd17-2acad2c4dd17","","Week 20 at home timing","Timing","","2 Weeks","TIM14","Timing_14","P2W","Week 20 Home",""
"892dd3c7-9837-488d-bdd5-e48a058a847f","","Adverse Event","Timing","","1 Day","TIM17","Timing_17","P1D","Adverse Event",""
"93d0b055-4473-4e66-a822-7c48665399fd","","Early Termination","Timing","","1 Day","TIM18","Timing_18","P1D","Early Termination",""
"15555d9b-9c99-40e9-a458-7730db39302e","","Supine","Timing","","0 mins","TIM19","Timing_19","PT0M","Supine",""
"6b983e40-fb30-45f1-b7e8-42a453fd44d5","","VS while supine","Timing","","5 mins","TIM20","Timing_20","PT5M","VS while supine",""
"1ae79732-50b0-4a61-8d6b-f48d08a73d6f","","Standing","Timing","","0 min","TIM21","Timing_21","PT0M","Standing",""
"73af3c2e-d4a5-4b86-8ad3-a0288f9f8184","","VS while standing","Timing","","1 min","TIM22","Timing_22","PT1M","VS while standing",""
"db3cef0a-d0fe-4316-a6d7-c77177d5007b","","Standing","Timing","","0 min","TIM23","Timing_23","PT0M","Standing",""
"40b1d27b-f823-48db-9785-9fb5591b766a","","VS while standing","Timing","","2 min","TIM24","Timing_24","PT2M","VS while standing",""
