"uuid:ID","description","instanceType","name","id","label"
"ec189845-593c-4a26-8ef2-387b1a5971a4","-","ScheduledActivityInstance","SCREEN1","ScheduledActivityInstance_9","Screen One"
"dea5ec47-999b-4e4f-8d4c-a9fb7bc676b8","-","ScheduledActivityInstance","SCREEN2","ScheduledActivityInstance_10","Screen Two"
"8ba7e7d7-dec4-49a6-b547-0ab83f407ea7","-","ScheduledActivityInstance","DOSE","ScheduledActivityInstance_11","Dose"
"00dcb233-a9c0-4556-8339-1d0fcce35821","-","ScheduledActivityInstance","WK2","ScheduledActivityInstance_12","Week 2"
"c9fc413a-297b-4b68-baf6-1c0f08fcc688","-","ScheduledActivityInstance","WK4","ScheduledActivityInstance_13","Week 4"
"2461c73d-e4fe-49fc-b562-09a49e38d3fc","-","ScheduledActivityInstance","WK6","ScheduledActivityInstance_14","Week 6"
"734fa1f1-9f06-43ad-8179-e1dc504e11cd","-","ScheduledActivityInstance","WK8","ScheduledActivityInstance_15","Week 8"
"55cbc902-c8e8-4fdb-824d-830aba5aee7f","-","ScheduledActivityInstance","WK8N","ScheduledActivityInstance_16","Week NPI"
"26bf249f-0da0-4b9a-a836-e3470d93b82a","-","ScheduledActivityInstance","WK12","ScheduledActivityInstance_17","Week 12"
"2b9e78b7-6702-4c7a-9ceb-b4409b82d213","-","ScheduledActivityInstance","WK12N","ScheduledActivityInstance_18","Week 12 NPI"
"72d77696-349f-457c-9afb-d757a286abe5","-","ScheduledActivityInstance","WK16","ScheduledActivityInstance_19","Week 16"
"985826cd-75e1-4a9d-be7d-9a64cdea5798","-","ScheduledActivityInstance","WK16N","ScheduledActivityInstance_20","Week 16 NPI"
"1ed6ff1f-14b6-417a-ad8f-093861e73297","-","ScheduledActivityInstance","WK20","ScheduledActivityInstance_21","Week 20"
"0b333172-f0d5-44ee-949f-4a35209a3f3f","-","ScheduledActivityInstance","WK20N","ScheduledActivityInstance_22","Week 20 NPI"
"52c5ed7e-1896-4e56-88a4-22a3d67aa9f7","-","ScheduledActivityInstance","WK24","ScheduledActivityInstance_23","Week 24"
"00093b94-2d63-421c-860c-47d2e4e89af4","-","ScheduledActivityInstance","WK26","ScheduledActivityInstance_24","Week 26"
"123c22d5-d2fc-4140-a9b8-6d34526f94b3","-","ScheduledActivityInstance","AE","ScheduledActivityInstance_1","Adevers Event"
"e86c70d7-81af-4b8d-9375-022b21ef8f78","-","ScheduledActivityInstance","ET","ScheduledActivityInstance_2","Early Termination"
"5e01a293-4298-4d9f-9f9b-ed59f46f19ac","","ScheduledActivityInstance","VS_5MIN","ScheduledActivityInstance_3","5 minute supine"
"52258ce7-e7ed-4b59-be78-038239bec4b9","","ScheduledActivityInstance","VS_SUPINE","ScheduledActivityInstance_4","Vital signs supine"
"c30d4a73-6608-4527-a98e-14a799183791","","ScheduledActivityInstance","VS_1MIN","ScheduledActivityInstance_5","1 minute standing"
"45e1495b-02c7-4a02-8bc4-549dc6172bcb","","ScheduledActivityInstance","VS_STAND1","ScheduledActivityInstance_6","Vital signs after 1 min standing"
"03d232d5-7d23-496e-abe7-97058a043273","","ScheduledActivityInstance","VS_2MIN","ScheduledActivityInstance_7","2 minute standing"
"df159bd7-d68f-4a17-876d-c802bafe10a4","","ScheduledActivityInstance","VS_STAND3","ScheduledActivityInstance_8","Vital signs after 3 min standing"
