"uuid:ID","codeSystem","decode","instanceType","id","code","codeSystemVersion"
"30a16cbb-e0e5-4e77-82de-5010c429c1c8","http://www.cdisc.org","Interventional Study","Code","Code_1","C98388","2023-12-15"
"90f7d0d5-eb2d-4fd4-99b2-59c04012d5a9","http://www.cdisc.org","Phase II Trial","Code","Code_2","C15601","2023-12-15"
"54b44093-8a1a-4b05-be31-eb59b9617073","http://www.cdisc.org","Sponsor Approval Date","Code","Code_9","C132352","2023-12-15"
"5d7a346b-f4f3-4b48-82f0-b5eca4f7962e","http://www.cdisc.org","Global","Code","Code_10","C68846","2023-12-15"
"15b1f052-d163-46bf-9ff1-ff15a7090b49","http://www.cdisc.org","IRB/IEC Feedback","Code","Code_72","C99904x3","2023-12-15"
"fabd5520-6b1e-4bb2-be93-fb04495d4135","http://www.cdisc.org","Other","Code","Code_73","C17649","2023-12-15"
"c206f3a3-59f4-4c24-8477-fefb87e7148b","http://www.cdisc.org","Region","Code","Code_75","C41129","2023-12-15"
"bc3543b1-ec66-4cf3-a0ae-d05987c13343","ISO 3166 1 alpha3","Europe","Code","Code_74","150","2020-08"
"02a59c38-e86b-4830-a8f6-f879b048a47a","SPONSOR","Eli Lilly","Code","Code_4","PHARMA","12"
"13ac4870-a1c6-4dd0-b0b9-904864f8324a","http://www.cdisc.org","Clinical Study Sponsor","Code","Code_76","C70793","2023-12-15"
"60eb3619-102c-4822-9c55-7d1f525818f0","ISO 3166 1 alpha3","United States of America","Code","Code_77","USA","2020-08"
"689fcb30-d2a2-4829-a387-94a6952f953f","http://www.cdisc.org","Study Registry","Code","Code_78","C93453","2023-12-15"
"78bab7b4-fa27-463e-a17d-123985152498","ISO 3166 1 alpha3","United States of America","Code","Code_79","USA","2020-08"
"4b9a5579-525d-49cd-b094-c6eb862b3403","http://www.cdisc.org","Treatment Study","Code","Code_137","C49656","2023-12-15"
"a2f28242-8f26-414c-9fd5-3ed19a1abfa3","http://www.cdisc.org","Efficacy Study","Code","Code_138","C49666","2023-12-15"
"a737478c-3c4c-45cb-a6a0-667ee71e7f72","http://www.cdisc.org","Safety Study","Code","Code_139","C49667","2023-12-15"
"fd6ef66d-46c1-4c5b-84f6-a98cf7435f1e","http://www.cdisc.org","Pharmacokinetic Study","Code","Code_140","C49663","2023-12-15"
"51c1bf68-62fd-4931-8181-080068754958","SPONSOR","Mild to Moderate Alzheimer's Disease","Code","Code_134","MILD_MOD_ALZ","12"
"f0f7e899-d36a-488c-87b8-86cec0b08564","SNOMED","Alzheimer's disease","Code","Code_135","26929004","January 31, 2018"
"47e9d7f7-94c3-4fc1-bf0b-28d700794f6b","http://www.cdisc.org","EXTENSION","Code","Code_143","C99907x1","2023-12-15"
"efebd895-3993-44ac-8938-d5ebb1988e02","http://www.cdisc.org","ADAPTIVE","Code","Code_144","C98704","2023-12-15"
"94112c71-106b-4c0d-bd69-fb29236204a3","http://www.cdisc.org","Parallel Study","Code","Code_141","C82639","2023-12-15"
