"label","synonyms","id","uuid:ID","reference","instanceType","name"
"Body Temperature","['Temperature']","BiomedicalConcept_20","8c05cf5f-cd91-430c-ada9-a0aa108f1110","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","Body Temperature"
"Body Weight","['Weight']","BiomedicalConcept_21","2adc9005-9d30-4a32-a6ef-c28fdd625250","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","Body Weight"
"Body Height","['Height']","BiomedicalConcept_22","f862142e-fbd0-4192-b131-23d9ca101368","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","Body Height"
"Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept_23","7e97108a-ff5f-486c-9735-093d6d8b36e0","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","Alanine Aminotransferase Measurement"
"Albumin Measurement","['Albumin']","BiomedicalConcept_24","7ccc34d0-fc6c-483c-8979-c37fe8fb833b","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","Albumin Measurement"
"Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept_25","b65b5620-1b38-4eb4-b85a-75f54dbebe86","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","Alkaline Phosphatase Measurement"
"Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept_26","d5126c91-b27a-4c8c-a6cb-e71faa3efc5e","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","Aspartate Aminotransferase Measurement"
"Creatinine Measurement","['Creatinine']","BiomedicalConcept_27","8330efca-ea73-41b3-acb5-b0b8b08e475d","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","Creatinine Measurement"
"Potassium Measurement","['Potassium', 'K']","BiomedicalConcept_28","81f35d7e-1a0a-4ca6-bd77-b2a3afe6d5aa","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","Potassium Measurement"
"Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept_29","c4e4aaef-11b4-4c03-8c28-b4b37ff44299","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","Sodium Measurement"
"Adverse Event","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept_1","08a9472c-5d0b-4aff-9f74-66eedeac35ee","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept","Adverse Event"
"Systolic Blood Pressure","['SYSBP']","BiomedicalConcept_2","54e6d9a5-708e-4ed0-8bf7-6b8fff81d6c1","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","Systolic Blood Pressure"
"Diastolic Blood Pressure","['DIABP']","BiomedicalConcept_3","5506fe8a-49fb-463c-a872-d84cad8d6b86","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","Diastolic Blood Pressure"
"Body Temperature","['Temperature']","BiomedicalConcept_4","59d0108a-b470-4102-aa24-cc417686eb7c","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","Body Temperature"
"Body Weight","['Weight']","BiomedicalConcept_5","8ec7dff2-ffb3-4608-9355-a3f5858d84c0","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","Body Weight"
"Body Height","['Height']","BiomedicalConcept_6","d956028d-6f1a-4270-940b-62fc7c2783e8","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","Body Height"
"Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept_7","2c6fd5b1-0628-4df0-8fc3-f30b33a9aac4","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","Alanine Aminotransferase Measurement"
"Albumin Measurement","['Albumin']","BiomedicalConcept_8","de71f9b6-6047-4a16-8537-4a2efdb8dd17","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","Albumin Measurement"
"Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept_9","b987b540-0e02-4fee-a842-fea347162de2","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","Alkaline Phosphatase Measurement"
"Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept_10","0371e922-769b-4f14-a3d9-1f510046318e","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","Aspartate Aminotransferase Measurement"
"Creatinine Measurement","['Creatinine']","BiomedicalConcept_11","ebb0a8b4-e018-4426-94a5-548d50206858","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","Creatinine Measurement"
"Potassium Measurement","['Potassium', 'K']","BiomedicalConcept_12","54593e62-ea6f-4d3c-98dd-300d917d3c72","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","Potassium Measurement"
