"uuid:ID","id","instanceType","text","name"
"97d46a0a-e6b8-4c26-be69-526eb7bfcf2f","TransitionRule_1","TransitionRule","Subject identifier","ENCOUNTER_START_RULE_1"
"d1430e2c-1255-44b1-927b-a4cda0508deb","TransitionRule_2","TransitionRule","completion of screening activities","ENCOUNTER_START_RULE_1"
"7f99c4dd-2f2b-4ce3-9b8e-716f3c97b5af","TransitionRule_3","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2"
"884fcedb-7612-4c5d-8b87-24ab4f7fcb63","TransitionRule_4","TransitionRule","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3"
"db3b06d0-17d1-4c51-8aaa-27acee4c77ff","TransitionRule_5","TransitionRule","Radomized","ENCOUNTER_START_RULE_3"
"1433ddea-4123-433a-904a-ef6523107636","TransitionRule_6","TransitionRule","End of treatment","ENCOUNTER_START_RULE_12"
"7fb6dbaa-0912-431b-9bb0-76d0e2cae6e2","TransitionRule_7","TransitionRule","Informed consent","ELEMENT_START_RULE_1"
"2b46fdde-3302-4eba-bbef-e682d4de3f4e","TransitionRule_8","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1"
"b765b9c9-f531-44d7-a063-0019b8e3c4f5","TransitionRule_9","TransitionRule","Administration of first dose","ELEMENT_START_RULE_2"
"b2efe5f9-522e-41b6-80e4-0d9960eb14fe","TransitionRule_14","TransitionRule","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7"
"e8553def-8b4c-426c-af7c-e3dbfab3608c","TransitionRule_15","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7"
"c76e354e-4966-4f4c-a057-14f81f9e9c45","TransitionRule_10","TransitionRule","Administration of first dose","ELEMENT_START_RULE_3"
"2280427b-2be8-413f-a417-01894cf2d356","TransitionRule_11","TransitionRule","Randomized","ELEMENT_START_RULE_4"
"e70af783-aeb7-4715-b490-328b2d32ad24","TransitionRule_12","TransitionRule","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5"
"acd740cb-08e3-47fa-9391-6f9d1477126b","TransitionRule_13","TransitionRule","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6"
