"label","isEnabled","uuid:ID","id","datatype","instanceType","isRequired","name"
"Vital Signs Result","True","0b819093-5bc7-44cb-a9d0-9a4485ef832b","BiomedicalConceptProperty_98","decimal","BiomedicalConceptProperty","True","Vital Signs Result"
"Unit of Temperature","True","ca777319-2c31-4965-a9a1-37c4d9d2bc94","BiomedicalConceptProperty_99","string","BiomedicalConceptProperty","True","Unit of Temperature"
"Vital Signs Location","True","9d37cd72-8401-42c5-b62d-ae0fa48a99e9","BiomedicalConceptProperty_100","string","BiomedicalConceptProperty","True","Vital Signs Location"
"Vital Signs Result","True","6e2347a9-f2ac-45b9-baf9-98837531d0e8","BiomedicalConceptProperty_101","decimal","BiomedicalConceptProperty","True","Vital Signs Result"
"Unit of Weight","True","04dc2e68-0f63-413d-85fd-6139110d177e","BiomedicalConceptProperty_102","string","BiomedicalConceptProperty","True","Unit of Weight"
"Vital Signs Result","True","97e85e02-7913-4c42-92f3-91cc36b752ce","BiomedicalConceptProperty_103","decimal","BiomedicalConceptProperty","True","Vital Signs Result"
"Unit of Height","True","1120f0f3-78ea-4753-89e8-f995f04f2767","BiomedicalConceptProperty_104","string","BiomedicalConceptProperty","True","Unit of Height"
"Laboratory Test Result","True","76e8f27c-d26d-4701-835b-c53746f92ebe","BiomedicalConceptProperty_105","decimal","BiomedicalConceptProperty","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","078e911e-da4c-4c9a-95cc-a2014e54809b","BiomedicalConceptProperty_106","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","True","9fffc4e0-0341-4cb8-8c83-8820e58321be","BiomedicalConceptProperty_107","string","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration"
"Biospecimen Type","True","cddbe82f-52c5-4ad4-bc12-55fac90898d4","BiomedicalConceptProperty_108","string","BiomedicalConceptProperty","True","Biospecimen Type"
"Laboratory Test Result","True","e5b49648-d8e8-4f18-82f9-a24904dc937e","BiomedicalConceptProperty_109","string","BiomedicalConceptProperty","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","e9a69c52-2945-4940-9ac2-3ebba71e1052","BiomedicalConceptProperty_110","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"Unit of Concentration","True","da61dd4a-d0e8-4f31-8a3c-a64600835d85","BiomedicalConceptProperty_111","string","BiomedicalConceptProperty","True","Unit of Concentration"
"Biospecimen Type","True","849b0560-3706-481c-bf20-586c4324abbd","BiomedicalConceptProperty_112","string","BiomedicalConceptProperty","True","Biospecimen Type"
"Laboratory Test Result","True","98265169-56a9-4538-9674-2f6a72e6d673","BiomedicalConceptProperty_113","decimal","BiomedicalConceptProperty","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","6c85bc01-84e1-4c1f-84f2-8d0e2e3fa486","BiomedicalConceptProperty_114","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","True","2504438a-6022-4502-aba0-4cd4a60bca49","BiomedicalConceptProperty_115","string","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration"
"Biospecimen Type","True","1c2a03c4-c502-467a-ac10-9efae2bc90aa","BiomedicalConceptProperty_116","string","BiomedicalConceptProperty","True","Biospecimen Type"
"Laboratory Test Result","True","2c70079f-02c3-4548-918c-584bc59115d5","BiomedicalConceptProperty_117","decimal","BiomedicalConceptProperty","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","e744d612-d034-45d5-bdd0-8e5ee600832b","BiomedicalConceptProperty_118","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","True","41e1a633-3ebe-4fa5-bf88-fc789ab42b87","BiomedicalConceptProperty_119","string","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration"
"Biospecimen Type","True","5b99d8ef-6199-4e46-82d8-d68c620553c1","BiomedicalConceptProperty_120","string","BiomedicalConceptProperty","True","Biospecimen Type"
"Laboratory Test Result","True","c1f7dadd-1ca6-43f9-88ea-0e7e90398fd4","BiomedicalConceptProperty_121","string","BiomedicalConceptProperty","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","0e416569-d590-4b03-b5ed-f1d744f946f2","BiomedicalConceptProperty_122","boolean","BiomedicalConceptProperty","True","Laboratory Test Fasting Status"
