"uuid:ID","id","codeSystemVersion","instanceType","codeSystem","code","decode"
"df7833dc-e841-4694-8af8-b37f18c0f26b","Code_1","2023-09-29","Code","http://www.cdisc.org","C98388","Interventional Study"
"b0a29c7e-c9a1-4038-be77-c99849cc7c45","Code_2","2023-09-29","Code","http://www.cdisc.org","C15601","Phase II Trial"
"29e545cb-74f5-41b1-93ed-aa9b514c2268","Code_9","2023-09-29","Code","http://www.cdisc.org","C132352","Sponsor Approval Date"
"044c7d07-138c-4193-8209-3bc7716bcb80","Code_10","2023-09-29","Code","http://www.cdisc.org","C68846","Global"
"37e9989d-3037-48cb-9e15-dd8e4672b10b","Code_72","2023-09-29","Code","http://www.cdisc.org","C99904x3","IRB/IEC Feedback"
"e39630ae-9729-460d-9b0c-61f85df98f79","Code_73","2023-09-29","Code","http://www.cdisc.org","C17649","Other"
"ddef6862-2d73-440d-9ca5-229b2303537b","Code_75","2023-09-29","Code","http://www.cdisc.org","C41129","Region"
"f8143350-dbe5-46da-b677-3eb18d4575f5","Code_74","2020-08","Code","ISO 3166 1 alpha3","150","Europe"
"97d09a3d-39c2-42d9-9854-c74f22be8c8a","Code_4","12","Code","SPONSOR","PHARMA","Eli Lilly"
"9c224142-24a9-433f-8dbb-f45b4b4823ad","Code_76","2023-09-29","Code","http://www.cdisc.org","C70793","Clinical Study Sponsor"
"1c2854b2-2872-4dbd-9845-657db51b860b","Code_77","2020-08","Code","ISO 3166 1 alpha3","DNK","Denmark"
"7007fa91-cf2c-48f4-b29b-88cb32553989","Code_78","2023-09-29","Code","http://www.cdisc.org","C93453","Study Registry"
"00c9d7ab-270c-46c5-b2dd-cf71af5ce311","Code_136","2023-09-29","Code","http://www.cdisc.org","C49656","Treatment Study"
"2990090b-8016-4638-ba3e-da56f2f97ee6","Code_137","2023-09-29","Code","http://www.cdisc.org","C49666","Efficacy Study"
"29b2d6c9-998d-4fd4-814d-5a91decdbad9","Code_138","2023-09-29","Code","http://www.cdisc.org","C49667","Safety Study"
"2f246a67-eac7-428b-b5c3-81d24b43febf","Code_139","2023-09-29","Code","http://www.cdisc.org","C49663","Pharmacokinetic Study"
"de091c13-0518-4442-8619-9d5e2c25f8b4","Code_133","12","Code","SPONSOR","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease"
"f50fc893-498d-41e4-8c70-52cce8e87bd6","Code_134","January 31, 2018","Code","SNOMED","26929004","Alzheimer's disease"
