"uuid:ID","id","instanceType","text","name","sectionTitle","sectionNumber"
"6988e617-3f96-4f35-a908-6155f34ac4b4","NarrativeContent_1","NarrativeContent","","ROOT","Root","0"
"a5022269-9223-4f43-998d-319faf841f35","NarrativeContent_2","NarrativeContent","<div><usdm:section name=""M11-title-page""></div>","SECTION 0","TITLE PAGE","0"
"f198c6fa-8baa-499b-a29c-f0498378e660","NarrativeContent_3","NarrativeContent","<div></div>","SECTION 1","PROTOCOL SUMMARY","1"
"cc178dda-d2ce-4c82-8ccd-a16bcbe1e3ed","NarrativeContent_4","NarrativeContent","<div></div>","SECTION 1.1","Protocol Synopsis","1.1"
"1816ec6d-2431-4888-8b99-c1514b9f6aef","NarrativeContent_5","NarrativeContent","<div></div>","SECTION 1.2","Trial Schema","1.2"
"b7a3e153-6bb6-4235-86f2-2f3c036793be","NarrativeContent_6","NarrativeContent","<div></div>","SECTION 1.3","Schedule of Activities","1.3"
"ae7dbeed-7ed8-44e0-97bc-265356059495","NarrativeContent_7","NarrativeContent","<div></div>","SECTION 2","INTRODUCTION","2"
"1e7de9ba-707b-426e-a339-e5c84bbed5d7","NarrativeContent_8","NarrativeContent","<div></div>","SECTION 2.1","Purpose of Trial","2.1"
"6f232ba7-70ea-4745-987a-1c6cf24a49e3","NarrativeContent_9","NarrativeContent","<div></div>","SECTION 2.2","Summary of Benefits and Risks","2.2"
"6604374b-d8e5-4803-9e82-2d3c2d9854f8","NarrativeContent_10","NarrativeContent","<div></div>","SECTION 3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3"
"1cb3f255-6c65-48fd-86e0-97c3f20f9261","NarrativeContent_11","NarrativeContent","<div><usdm:section name=""M11-objective-endpoints""></div>","SECTION 3.1","Primary Objectives","3.1"
"d17a2428-ac20-4201-ab24-8f445ab259d8","NarrativeContent_12","NarrativeContent","<div></div>","SECTION 4","TRIAL DESIGN","4"
"ac3464fe-1e86-4c7c-a940-17f195c09c33","NarrativeContent_13","NarrativeContent","<div></div>","SECTION 4.1","Description of Trial Design","4.1"
"c0795846-ce13-4d69-afae-10b9088e55bd","NarrativeContent_14","NarrativeContent","<div></div>","SECTION 4.1.1","Participant Input into Design","4.1.1"
"c5df1b23-5621-4421-9502-d0844a522649","NarrativeContent_15","NarrativeContent","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","SECTION 4.2","Rationale for Trial Design","4.2"
