"label","window","description","uuid:ID","id","windowLower","windowUpper","instanceType","name","value"
"Screening","","Screening timing","f9c14a0d-0a4f-409d-828d-400ca77aaa1f","Timing_1","","","Timing","TIM1","P2W"
"Pre dose","-4..0 hours","Pre dose timing","89b7e13d-36f2-45b6-a30f-4c354feb4bad","Timing_2","PT4H","PT0H","Timing","TIM2","P2D"
"Dosing","","Dosing anchor","a529e960-3f48-40c3-8c8b-d373f8fae708","Timing_3","","","Timing","TIM3","P1D"
"Week 2","-3..3 days","Week 2 timing","574ce235-3b95-42a2-9809-496317e4847c","Timing_4","P3D","P3D","Timing","TIM4","P2W"
"Week 4","-3..3 days","Week 4 timing","5fb13d3f-e76c-4928-adae-6be671c7f4cf","Timing_5","P3D","P3D","Timing","TIM5","P4W"
"Week 6","-3..3 days","Week 6 timing","3fc2b4fc-37d1-462c-9523-2274ef680bac","Timing_6","P3D","P3D","Timing","TIM6","P6W"
"Week 8","-3..3 days","Week 8 timing","538aab8d-1336-41e2-9588-c09f3ec86994","Timing_7","P3D","P3D","Timing","TIM7","P8W"
"Week 12","-4..4 days","Week 12 timing","fdb2b331-3aca-477d-9216-c3cbe6e5a8ca","Timing_9","P4D","P4D","Timing","TIM9","P12W"
"Week 16","-4..4 days","Week 16 timing","5b80ddf5-4c65-4edf-91d7-68006675a120","Timing_11","P4D","P4D","Timing","TIM11","P16W"
"Week 20","-4..4 days","Week 20 timing","9753af0c-ce1b-4f06-894d-9dc8ea8593de","Timing_13","P4D","P4D","Timing","TIM13","P20W"
"Week 24","-4..4 days","Week 24 timing","62d91118-183c-4e29-92a6-18f1802508a0","Timing_15","P4D","P4D","Timing","TIM15","P24W"
"Week 26","-3..3 days","Week 26 timing","32958e3e-0d5f-4326-bf39-7a39d9a10e02","Timing_16","P3D","P3D","Timing","TIM16","P26W"
"Week 8 Home","","Week 8 at home timing","12e29bfc-974c-47d2-8fc1-737eff12e3b3","Timing_8","","","Timing","TIM8","P2W"
"Week 12 Home","","Week 12 at home timing","7335cd4c-e04c-48e8-9c2d-53c9a6a87071","Timing_10","","","Timing","TIM10","P2W"
"Week 16 Home","","Week 16 at home timing","244b6105-ddb7-45bb-b4ac-37c867fbb723","Timing_12","","","Timing","TIM12","P2W"
"Week 20 Home","","Week 20 at home timing","7f832683-17bf-46b9-8102-3976b1b299da","Timing_14","","","Timing","TIM14","P2W"
"Adverse Event","","Adverse Event","d75c9fe7-0e19-479a-bac3-8432d1955a9a","Timing_17","","","Timing","TIM17","P1D"
"Early Termination","","Early Termination","36b56484-92c6-48f0-bee8-bfed35bc3989","Timing_18","","","Timing","TIM18","P1D"
"Supine","","Supine","df04fd08-6dba-47f4-8c3d-041d33adc1e2","Timing_19","","","Timing","TIM19","PT0M"
"VS while supine","","VS while supine","2333a36a-5618-45f5-bf1f-01eed717a2c8","Timing_20","","","Timing","TIM20","PT5M"
"Standing","","Standing","e1d2d965-c2ac-49c9-bb47-ad1a912c099b","Timing_21","","","Timing","TIM21","PT0M"
"VS while standing","","VS while standing","8696e7b0-a105-446c-8cea-60149c9e655f","Timing_22","","","Timing","TIM22","PT1M"
"Standing","","Standing","dc39e2c2-0988-48e6-abca-11a82073c6f4","Timing_23","","","Timing","TIM23","PT0M"
"VS while standing","","VS while standing","c8a0ad87-ea3a-411b-8ca1-b53375c44d44","Timing_24","","","Timing","TIM24","PT2M"
