"label","description","uuid:ID","id","instanceType","name"
"","","f9218064-8190-4a30-8ea8-70dfcd356eaa","Activity_1","Activity","Informed consent"
"","","2d71f18b-3999-4d99-89f3-1cdb7e7ffdc1","Activity_2","Activity","Inclusion/exclusion criteria"
"","","0e00e423-1ed5-4817-bf53-4adfb305af3e","Activity_3","Activity","Patient number assigned"
"Demographics","","40fa9cb3-69b4-4960-bd7a-cbd40ee5266a","Activity_4","Activity","Demographics"
"Hachinski","","5df120f9-0f8e-4dd8-8726-16cd26b7f692","Activity_5","Activity","Hachinski"
"MMSE","","38357370-cfb0-465a-90e3-ee49a4f0d587","Activity_6","Activity","MMSE"
"","","17a2dfc6-097b-4aef-b4b6-c155692482e6","Activity_7","Activity","Physical examination"
"","","5264ea19-e1fd-4b1f-a3fe-26fbf7d2abab","Activity_8","Activity","Medical history"
"","","aa706cb1-a8db-41d6-892c-00220692bb84","Activity_9","Activity","Habits"
"","","2bec3a30-af79-41dc-aab2-297adaee4be2","Activity_10","Activity","Chest X-ray"
"","","0dab856e-8d98-4515-99c8-28855b3871f9","Activity_11","Activity","Apo E genotyping"
"","","af081f04-9d55-4c82-8bed-3fdbb7835951","Activity_12","Activity","Patient randomised"
"Vital Signs and Temperature","","4e2da001-9859-4ba8-9cdf-6a4b127d604c","Activity_13","Activity","Vital signs / Temperature"
"","","538be6a4-a16e-4be2-b867-1e43ba243e42","Activity_14","Activity","Ambulatory ECG placed"
"","","65aa7727-dcc8-4cae-b2ea-3990724305d6","Activity_15","Activity","Ambulatory ECG removed"
"","","026eb1de-31a3-4262-bd12-a679b07e0864","Activity_16","Activity","ECG"
"","","1fd91cf7-f3f7-46bb-8bcf-3d832d6e65c8","Activity_17","Activity","Placebo TTS test"
"","","dfc58be1-bbeb-414e-8844-a851fc8e41d1","Activity_18","Activity","CT scan"
"","","0c8bab9b-0d3c-4073-835e-22344ac25e8f","Activity_19","Activity","Concomitant medications"
"","","c56cbfad-ec2c-4c73-ab27-0b9c87817b7d","Activity_20","Activity","Hematology"
"","","4e65a217-5bcf-4371-bd43-77cb7da0ef2b","Activity_21","Activity","Chemistry"
"","","f91b6c96-9897-4fef-a470-271819003477","Activity_22","Activity","Uninalysis"
"","","6678653b-f051-4945-a0ef-88c3363fd835","Activity_23","Activity","Plasma Specimen (Xanomeline)"
"","","31d010ed-1417-4f03-bf9f-f5d3e2e81f9c","Activity_24","Activity","Hemoglobin A1C"
"Study drug record , Medications dispensed, Medications returned","","6e150b4b-be5c-4b33-a99f-86c19c51c066","Activity_25","Activity","Study drug"
"","","78b2cd81-a4a4-4c69-b38a-2bbb1e707a30","Activity_26","Activity","TTS Acceptability Survey"
"","","b9dd57d2-7cf0-4adc-9407-e33fd654b825","Activity_27","Activity","ADAS-Cog"
"","","5ce97b60-b6bb-481e-8822-95cc29347533","Activity_28","Activity","CIBIC+"
"","","1e3f16a2-8ede-4531-bfdc-3d65e72e1aa9","Activity_29","Activity","DAD"
"","","e63371ea-6f32-4e90-af2e-e488275c5e69","Activity_30","Activity","NPI-X"
"","","5663ec7c-3277-45cd-b466-ebb076d66f14","Activity_31","Activity","Adverse events"
"","","e9ec0b8a-82f2-4183-a4f0-2e030f631047","Activity_32","Activity","Check adverse events"
"Subject supine","","817d1816-fb77-450f-bab1-94a3ac43ae38","Activity_33","Activity","Supine"
"Vital signs while supine","","dba8b274-3f4a-4e5f-a9e2-6577644c3edf","Activity_34","Activity","Vital Signs Supine"
"Subject Standing","","38902be3-3c8b-4e07-9c93-e9085403ce2a","Activity_35","Activity","Stand"
"Vital signs while standing","","fe020a68-cedb-418d-ba3f-1bb566623a03","Activity_36","Activity","Vital Signs Standing"
