"label","description","uuid:ID","id","instanceType","name"
"Screening 1","Screening encounter","ddc28b71-f049-4865-beb0-9ad7e34fe98b","Encounter_1","Encounter","E1"
"Screening 2","Screening encounter - Ambulatory ECG Placement","383df19a-760e-42ff-acb3-eb0b833054ca","Encounter_2","Encounter","E2"
"Baseline","Baseline encounter - Ambulatory ECG Removal","b102dc00-2668-4fc3-a1bc-e43f2d2ecdd2","Encounter_3","Encounter","E3"
"Week 2","Day 14","75f22a75-c3cf-44d5-9991-91aa66e7bf39","Encounter_4","Encounter","E4"
"Week 4","Day 28","e612f9a0-430a-4eed-bff1-c6e4de167a57","Encounter_5","Encounter","E5"
"Week 6","Day 42","0d1de71b-2b52-48da-b56d-fdeab7920da8","Encounter_6","Encounter","E7"
"Week 8","Day 56","abbef25a-ee35-48cd-96e3-454250ec5b5d","Encounter_7","Encounter","E8"
"Week 12","Day 84","d79f3e38-64c7-4013-9940-103d0f3cdb83","Encounter_8","Encounter","E9"
"Week 16","Day 112","0a1b8fbe-5c0a-449e-b380-1af5038af871","Encounter_9","Encounter","E10"
"Week 20","Day 140","9f6c6ec6-3579-4633-86e0-6065cf9ab50c","Encounter_10","Encounter","E11"
"Week 24","Day 168","6b58f576-f0e2-4398-a323-2e21f6ff7d5e","Encounter_11","Encounter","E12"
"Week 26","Day 182","b35afb19-260f-4e4e-a805-6233cfd2ae6f","Encounter_12","Encounter","E13"
