"description","id","name","purpose","instanceType","uuid:ID","label","text"
"","Endpoint_1","END1","","Endpoint","df61c967-e06b-4746-b0e3-b5f367a5fd7d","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"","Endpoint_2","END2","","Endpoint","b63156ac-a6e3-4dff-bcbe-a40187adf8ca","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"","Endpoint_3","END3","","Endpoint","aadab157-bb74-4caa-b61d-bb33c8b9442d","","Adverse events"
"","Endpoint_4","END4","","Endpoint","0b0bf561-8d26-452f-a4a4-2575153b30f0","","Vital signs (weight, standing and supine blood pressure, heart rate)"
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5","END5","","Endpoint","392833ff-c84d-47e7-827b-1bd1228be751","","Laboratory evaluations (Change from Baseline)"
"","Endpoint_6","END6","","Endpoint","2bf4cc03-e259-4792-9f3f-7c1a0490d1e2","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"","Endpoint_7","END7","","Endpoint","385dcc55-09d7-436d-a08f-f44c8e6733b1","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"","Endpoint_8","END8","","Endpoint","7b8a84ac-1686-4fba-97b7-2a3a84b31c3d","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"","Endpoint_9","END9","","Endpoint","a906593c-bed7-4985-8482-ed7adb1b64c7","","*** To be determined from protocol ***"
"","Endpoint_10","END10","","Endpoint","fb63ad1f-6524-4557-a4d6-7724a17a441d","","*** To be determined from protocol ***"
"","Endpoint_11","END11","","Endpoint","a369f8ab-8ed1-4798-8a4f-5f3ea26266d6","","*** To be determined from protocol ***"
