"description","id","instanceType","uuid:ID","label","name"
"-","ScheduledActivityInstance_9","ScheduledActivityInstance","43a9a05e-4bfd-4d2f-aa4f-4c9b7f09c857","Screen One","SCREEN1"
"-","ScheduledActivityInstance_10","ScheduledActivityInstance","f7d36cfd-6a6f-49fd-b99c-21450f455ae6","Screen Two","SCREEN2"
"-","ScheduledActivityInstance_11","ScheduledActivityInstance","b0a14ffb-2a67-41f7-8b8a-1e1fffcf3ce2","Dose","DOSE"
"-","ScheduledActivityInstance_12","ScheduledActivityInstance","4e35edb0-779d-49b6-b5b6-6b4843334e7b","Week 2","WK2"
"-","ScheduledActivityInstance_13","ScheduledActivityInstance","a4013278-101f-40f7-b050-9e4053f491a9","Week 4","WK4"
"-","ScheduledActivityInstance_14","ScheduledActivityInstance","e78063a5-042e-4766-8f57-fccef641b27e","Week 6","WK6"
"-","ScheduledActivityInstance_15","ScheduledActivityInstance","c9506d05-3d83-4e3e-8300-c483f765857e","Week 8","WK8"
"-","ScheduledActivityInstance_16","ScheduledActivityInstance","ac87046f-2a7f-4889-9773-c9e7161abb29","Week NPI","WK8N"
"-","ScheduledActivityInstance_17","ScheduledActivityInstance","534786b9-0078-4af9-aa64-b82f666de618","Week 12","WK12"
"-","ScheduledActivityInstance_18","ScheduledActivityInstance","98d41fe4-f03e-4fab-8095-068989afd213","Week 12 NPI","WK12N"
"-","ScheduledActivityInstance_19","ScheduledActivityInstance","aad246fd-2079-4517-b78c-8b422ead63fc","Week 16","WK16"
"-","ScheduledActivityInstance_20","ScheduledActivityInstance","02265de7-1a62-4356-b9f8-cac9174274b4","Week 16 NPI","WK16N"
"-","ScheduledActivityInstance_21","ScheduledActivityInstance","f8d25be6-c72d-47b2-821f-ab92835fc323","Week 20","WK20"
"-","ScheduledActivityInstance_22","ScheduledActivityInstance","f6ef93e1-38d5-48cf-868a-e7633396158b","Week 20 NPI","WK20N"
"-","ScheduledActivityInstance_23","ScheduledActivityInstance","17ad9363-38c6-4943-8265-31dd9af649f0","Week 24","WK24"
"-","ScheduledActivityInstance_24","ScheduledActivityInstance","8a07d95c-7729-4ccd-ad65-cf7cd0bd01ac","Week 26","WK26"
"-","ScheduledActivityInstance_1","ScheduledActivityInstance","47708449-81ad-4cdd-b812-8e6d9311666f","Adevers Event","AE"
"-","ScheduledActivityInstance_2","ScheduledActivityInstance","15402189-e2a6-449b-9b7d-60403cd5e24a","Early Termination","ET"
"","ScheduledActivityInstance_3","ScheduledActivityInstance","247eff8c-d4a9-497e-86cb-d9c058e37214","5 minute supine","VS_5MIN"
"","ScheduledActivityInstance_4","ScheduledActivityInstance","54cf40ec-0f3f-4b68-9e3a-55adff08b118","Vital signs supine","VS_SUPINE"
"","ScheduledActivityInstance_5","ScheduledActivityInstance","33450037-f31f-4b69-b692-75125abcf033","1 minute standing","VS_1MIN"
"","ScheduledActivityInstance_6","ScheduledActivityInstance","c00efe8d-3adc-45f7-b19a-8a0da65139fb","Vital signs after 1 min standing","VS_STAND1"
"","ScheduledActivityInstance_7","ScheduledActivityInstance","b63a25b2-fbc5-4201-8359-1283f75b6dc0","2 minute standing","VS_2MIN"
"","ScheduledActivityInstance_8","ScheduledActivityInstance","e5664be3-1976-426d-84bf-62890253ba4d","Vital signs after 3 min standing","VS_STAND3"
