"id","name","instanceType","uuid:ID","text"
"TransitionRule_1","ENCOUNTER_START_RULE_1","TransitionRule","538e3ac8-f3ab-4ab1-b2df-284d8af37aef","Subject identifier"
"TransitionRule_2","ENCOUNTER_START_RULE_1","TransitionRule","f9d09e29-fcf5-4f1a-8304-f93354992274","completion of screening activities"
"TransitionRule_3","ENCOUNTER_START_RULE_2","TransitionRule","1f72163b-0f0c-4cbb-bcd9-e2016cd94891","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","ENCOUNTER_START_RULE_3","TransitionRule","cb90fba1-68da-4ae8-93b0-296c59b916fa","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","ENCOUNTER_START_RULE_3","TransitionRule","36364ca8-8b48-42aa-a4aa-8db2f4dffc57","Radomized"
"TransitionRule_6","ENCOUNTER_START_RULE_12","TransitionRule","7f14191f-baf7-4869-81a8-599d6e37097c","End of treatment"
"TransitionRule_7","ELEMENT_START_RULE_1","TransitionRule","fecd6cf9-4175-4b27-bead-6576d09374e4","Informed consent"
"TransitionRule_8","ELEMENT_END_RULE_1","TransitionRule","cfd03cdc-c240-4672-962b-9bd9c8dd8700","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","ELEMENT_START_RULE_2","TransitionRule","7d349fcf-bd5f-4ca7-af49-5e719bf6156a","Administration of first dose"
"TransitionRule_14","ELEMENT_START_RULE_7","TransitionRule","0d9af5a3-11f3-4e47-b71d-0cacd00f5783","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","ELEMENT_END_RULE_7","TransitionRule","4b81ba6d-a50b-4c21-8d13-e4466be46d18","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","ELEMENT_START_RULE_3","TransitionRule","a9e3f159-1225-4168-90b6-59b705b8f9e2","Administration of first dose"
"TransitionRule_11","ELEMENT_START_RULE_4","TransitionRule","6aaed6bc-77f9-4bad-a45f-332cd7f370a2","Randomized"
"TransitionRule_12","ELEMENT_START_RULE_5","TransitionRule","86ef1880-5187-4aff-a361-af0b37a7d55c","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","ELEMENT_START_RULE_6","TransitionRule","3c356420-53ed-4510-80d4-1847a3450b33","Administration of first dose (from patches supplied at Visit 12)"
