"description","id","instanceType","uuid:ID","label","name"
"","Activity_1","Activity","17259463-9469-495b-baf6-70ec9590937d","Informed consent","Informed consent"
"","Activity_2","Activity","e4507100-133b-47b0-a2b4-db16273513f2","Inclusion and exclusion criteria","Inclusion/exclusion criteria"
"","Activity_3","Activity","f922d490-a108-45e5-af42-639712993443","Patient number assigned","Patient number assigned"
"","Activity_4","Activity","029f2c22-59c4-4827-a16c-1cf379a4adc3","Demographics","Demographics"
"","Activity_5","Activity","1d73af29-3334-465d-8474-d1651853a137","Hachinski Ischemic Scale","Hachinski"
"","Activity_6","Activity","f5761737-42ed-4a3d-b59e-407c77ebb30b","MMSE","MMSE"
"","Activity_7","Activity","b573f054-19d0-44e2-9ff3-b617e614142b","Physical examination","Physical examination"
"","Activity_8","Activity","6acab85b-7f2d-4412-8269-94f3e08d40b6","Medical history","Medical history"
"","Activity_9","Activity","2141000e-88c0-46c3-8c1d-77b3e29cf26f","Habits","Habits"
"","Activity_10","Activity","67f76582-336f-442e-a84f-73234f90ba0e","Chest X-ray","Chest X-ray"
"","Activity_11","Activity","656f2bc5-4da9-4f15-94ab-c7fdf4c7bdde","Apo E genotyping","Apo E genotyping"
"","Activity_12","Activity","3f1b2c52-5045-4cf4-8649-e48b4f460984","Patient randomised","Patient randomised"
"","Activity_13","Activity","502bfdfc-2d35-452c-8f5b-2419be69212f","Vital Signs and Temperature","Vital signs / Temperature"
"","Activity_14","Activity","4dcd888a-408e-4b45-8649-41f8e0fa815b","Ambulatory ECG placed","Ambulatory ECG placed"
"","Activity_15","Activity","d6f00616-6450-40de-af79-da906d304a5a","Ambulatory ECG removed","Ambulatory ECG removed"
"","Activity_16","Activity","d29521b9-e232-46c7-be92-065c2326a9c2","ECG","ECG"
"","Activity_17","Activity","8f49554a-4b2b-4ba1-b12d-7746b25c677a","Placebo TTS test","Placebo TTS test"
"","Activity_18","Activity","dd540f25-4bee-475f-83d1-f809edac987c","CT scan","CT scan"
"","Activity_19","Activity","b45bfd36-fd1e-4b7c-96d9-346d7af4a8c5","Concomitant medications","Concomitant medications"
"","Activity_20","Activity","36da8a60-b29f-4b00-82bd-55ef0ed5c95c","Hematology","Hematology"
"","Activity_21","Activity","f47b446f-ef07-4e3c-995a-94e6efd95d7c","Chemistry","Chemistry"
"","Activity_22","Activity","2b3d226a-5da3-4cac-867a-df279b668b1a","Uninalysis","Uninalysis"
"","Activity_23","Activity","e1ce110b-e28b-4cd2-934e-b5521e08d046","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)"
"","Activity_24","Activity","9a425e28-45b4-40e2-bc91-91dd6c0d6b1b","Hemoglobin A1C","Hemoglobin A1C"
"","Activity_25","Activity","e328fe69-c409-4eb9-abf1-7b84c41f9b5f","Study drug record , Medications dispensed, Medications returned","Study drug"
"","Activity_26","Activity","d1c2838b-0bb0-4303-9c31-f655f89b83a8","TTS Acceptability Survey","TTS Acceptability Survey"
"","Activity_27","Activity","9d0fb73c-4276-490a-8359-c2da2e993207","ADAS-Cog","ADAS-Cog"
"","Activity_28","Activity","59d13127-1f50-440d-87ec-ee7289ac2f05","CIBIC+","CIBIC+"
"","Activity_29","Activity","f2317d68-3a1f-4f4b-b113-8de85dadcf55","DAD","DAD"
"","Activity_30","Activity","0ee7a601-bfe1-4485-a4ba-320ffee6b5c9","NPI-X","NPI-X"
"","Activity_31","Activity","25f658f6-5a17-4bff-8d1d-878e7edd2948","Adverse events","Adverse events"
"","Activity_32","Activity","97096589-8156-4958-8a38-60b6ba147a45","Check adverse events","Check adverse events"
"","Activity_33","Activity","59b28825-2897-46cb-a700-0905fe9049d0","Subject supine","Supine"
"","Activity_34","Activity","6278c97e-168a-4bc6-82ff-3a1ff22b7247","Vital signs while supine","Vital Signs Supine"
"","Activity_35","Activity","a1364de4-653b-433f-821d-f516fc1a3717","Subject Standing","Stand"
"","Activity_36","Activity","3a8ba88e-d481-474e-b4be-f98a00d96b5e","Vital signs while standing","Vital Signs Standing"
