"valueLabel","value","windowUpper","windowLabel","description","id","windowLower","instanceType","uuid:ID","label","name"
"2 weeks","P2W","","","Screening timing","Timing_1","","Timing","21cfde1d-9bb7-4401-ba7a-4cc642b964e6","Screening","TIM1"
"2 days","P2D","PT0H","-4..0 hours","Pre dose timing","Timing_2","PT4H","Timing","0201ceb3-2cab-49e5-b04e-a4e96587882c","Pre dose","TIM2"
"1 Day","P1D","","","Dosing anchor","Timing_3","","Timing","a6b39c8a-3a09-430e-9734-288f19a7b57b","Dosing","TIM3"
"2 Weeks","P2W","P3D","-3..3 days","Week 2 timing","Timing_4","P3D","Timing","08d8d34f-5586-4673-9c9e-c550387ce18f","Week 2","TIM4"
"4 Weeks","P4W","P3D","-3..3 days","Week 4 timing","Timing_5","P3D","Timing","75ca34e4-163c-41ff-a370-57f0af79c79a","Week 4","TIM5"
"6 Weeks","P6W","P3D","-3..3 days","Week 6 timing","Timing_6","P3D","Timing","9c14183f-8c32-4f6b-9dce-c6e3ebd31fa2","Week 6","TIM6"
"8 Weeks","P8W","P3D","-3..3 days","Week 8 timing","Timing_7","P3D","Timing","09ebcd09-0d9e-45a1-8d64-ccfbe5525e7b","Week 8","TIM7"
"12 Weeks","P12W","P4D","-4..4 days","Week 12 timing","Timing_9","P4D","Timing","4ab579da-04a0-4a16-a75d-996522b949fc","Week 12","TIM9"
"16 Weeks","P16W","P4D","-4..4 days","Week 16 timing","Timing_11","P4D","Timing","3726858b-2608-422c-98b2-482e846d587b","Week 16","TIM11"
"20 Weeks","P20W","P4D","-4..4 days","Week 20 timing","Timing_13","P4D","Timing","336c0d86-3d44-4306-9900-34f9aa6e7cf5","Week 20","TIM13"
"24 Weeks","P24W","P4D","-4..4 days","Week 24 timing","Timing_15","P4D","Timing","69f1ba9a-2113-4456-bcbb-a6f085850deb","Week 24","TIM15"
"26 Weeks","P26W","P3D","-3..3 days","Week 26 timing","Timing_16","P3D","Timing","a0560ab6-26fd-4af4-9def-a84c89c2eecf","Week 26","TIM16"
"2 Weeks","P2W","","","Week 8 at home timing","Timing_8","","Timing","1633e0db-be55-4027-b0b1-a34b12d89ba3","Week 8 Home","TIM8"
"2 Weeks","P2W","","","Week 12 at home timing","Timing_10","","Timing","4633251d-d026-4e31-b3e4-bf49747305b8","Week 12 Home","TIM10"
"2 Weeks","P2W","","","Week 16 at home timing","Timing_12","","Timing","5aeb36f8-62c2-444a-abe6-d53ef68b3ac8","Week 16 Home","TIM12"
"2 Weeks","P2W","","","Week 20 at home timing","Timing_14","","Timing","a9d4b10d-cfd5-4b22-8156-a9535e8f19d6","Week 20 Home","TIM14"
"1 Day","P1D","","","Adverse Event","Timing_17","","Timing","5b2ac371-f1fe-45c1-8ce8-91ed84d24bd2","Adverse Event","TIM17"
"1 Day","P1D","","","Early Termination","Timing_18","","Timing","59049fa2-9356-49ca-8b2c-f23c2a069f7b","Early Termination","TIM18"
"0 mins","PT0M","","","Supine","Timing_19","","Timing","a27cd22a-42b9-4557-be1e-9d555043f32d","Supine","TIM19"
"5 mins","PT5M","","","VS while supine","Timing_20","","Timing","6728fa41-bdeb-418e-ab13-67715c111a79","VS while supine","TIM20"
"0 min","PT0M","","","Standing","Timing_21","","Timing","e0026fc1-5681-43ca-b9b8-e143c5c543a9","Standing","TIM21"
"1 min","PT1M","","","VS while standing","Timing_22","","Timing","b1f37f86-4c36-47b4-bf21-2398ec3523f8","VS while standing","TIM22"
"0 min","PT0M","","","Standing","Timing_23","","Timing","6a037be6-8077-49ce-af13-0af3fda8d5c0","Standing","TIM23"
"2 min","PT2M","","","VS while standing","Timing_24","","Timing","a4315d50-a62f-479f-98c2-da95034da517","VS while standing","TIM24"
