"description","id","instanceType","uuid:ID","label","name"
"Screening encounter","Encounter_1","Encounter","42b7a17d-5834-4724-9113-6415f62131bf","Screening 1","E1"
"Screening encounter - Ambulatory ECG Placement","Encounter_2","Encounter","fe65c329-6ab3-48cd-b576-98ae648db001","Screening 2","E2"
"Baseline encounter - Ambulatory ECG Removal","Encounter_3","Encounter","03f3810c-2358-4840-a18e-b481cdf9c072","Baseline","E3"
"Day 14","Encounter_4","Encounter","92c6fa1d-8c5b-4f25-968a-ceb248d70831","Week 2","E4"
"Day 28","Encounter_5","Encounter","e26ed90b-42a5-41e2-98c8-850513ffb9ad","Week 4","E5"
"Day 42","Encounter_6","Encounter","5aebed70-55eb-416e-8291-59ef371ebc34","Week 6","E7"
"Day 56","Encounter_7","Encounter","1a08410b-d03f-4569-b421-7cc288ec11f8","Week 8","E8"
"Day 84","Encounter_8","Encounter","f1530c4e-d69b-469c-9e25-b5eb638936a5","Week 12","E9"
"Day 112","Encounter_9","Encounter","7f5f6490-6d92-47b5-9994-2f0b6b54c4f0","Week 16","E10"
"Day 140","Encounter_10","Encounter","5c846388-0ab9-4afb-a2b2-fe5649319c63","Week 20","E11"
"Day 168","Encounter_11","Encounter","ab346eea-a699-4b39-8ca2-8aa70877f9d7","Week 24","E12"
"Day 182","Encounter_12","Encounter","01cbe73f-1984-4ae5-8416-1c63d0601f84","Week 26","E13"
