"decode","codeSystemVersion","code","uuid:ID","id","instanceType","codeSystem"
"Interventional Study","2023-12-15","C98388","648ed141-4a24-4b4f-9fb6-4acf45c8bde3","Code_1","Code","http://www.cdisc.org"
"Phase II Trial","2023-12-15","C15601","3905dd2d-920e-4b07-979b-19694ad5c52f","Code_2","Code","http://www.cdisc.org"
"Sponsor Approval Date","2023-12-15","C132352","2322658e-fe94-4111-a518-12e6b0836655","Code_9","Code","http://www.cdisc.org"
"Global","2023-12-15","C68846","67b5dda9-b75b-4398-93a1-3ff8a0b164e3","Code_10","Code","http://www.cdisc.org"
"IRB/IEC Feedback","2023-12-15","C99904x3","e85c0f25-a5ab-4bf8-a08a-95751af8fbee","Code_72","Code","http://www.cdisc.org"
"Other","2023-12-15","C17649","dcc0db69-0ccc-4ff8-9c7c-2099f9f8477a","Code_73","Code","http://www.cdisc.org"
"Region","2023-12-15","C41129","5ff12137-8f8c-4f4d-81aa-923a822b6a04","Code_75","Code","http://www.cdisc.org"
"Europe","2020-08","150","dd94bff9-af31-487b-afac-8eb1ba99c46c","Code_74","Code","ISO 3166 1 alpha3"
"Eli Lilly","12","PHARMA","745435d6-be1b-4c83-a0b5-6cf7b38f4ec6","Code_4","Code","SPONSOR"
"Clinical Study Sponsor","2023-12-15","C70793","eb0fa9cb-c8f9-454a-bb19-992309affae1","Code_76","Code","http://www.cdisc.org"
"United States of America","2020-08","USA","3934064e-95ee-4486-8613-97ee8ee26db6","Code_77","Code","ISO 3166 1 alpha3"
"Study Registry","2023-12-15","C93453","51067018-9d14-46a4-9427-999dc5106ce8","Code_78","Code","http://www.cdisc.org"
"United States of America","2020-08","USA","cb094f8d-40e8-4303-b76a-6fbe61f200df","Code_79","Code","ISO 3166 1 alpha3"
"Treatment Study","2023-12-15","C49656","c246c223-8bb5-4f93-9d18-c2581325748e","Code_137","Code","http://www.cdisc.org"
"Efficacy Study","2023-12-15","C49666","a795c4a0-fb17-4b76-8c74-ba8c0451d3d9","Code_138","Code","http://www.cdisc.org"
"Safety Study","2023-12-15","C49667","3e8f99cf-672a-4d9f-96d0-08c150301c99","Code_139","Code","http://www.cdisc.org"
"Pharmacokinetic Study","2023-12-15","C49663","479588c3-8bb9-4cd2-97ea-eee89f03ab2e","Code_140","Code","http://www.cdisc.org"
"Mild to Moderate Alzheimer's Disease","12","MILD_MOD_ALZ","0e091a9f-0e02-4ba6-a7d3-df2497cea187","Code_134","Code","SPONSOR"
"Alzheimer's disease","January 31, 2018","26929004","94a1c76e-b306-4691-a763-1609013aa459","Code_135","Code","SNOMED"
"EXTENSION","2023-12-15","C99907x1","c77de19d-9679-4413-836b-982b0a88fb24","Code_143","Code","http://www.cdisc.org"
"ADAPTIVE","2023-12-15","C98704","c2a81a4c-d57e-40c2-89ab-2410e195c03c","Code_144","Code","http://www.cdisc.org"
"Parallel Study","2023-12-15","C82639","24455ad0-3be6-422c-87b0-7c6a1638989a","Code_141","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","65f37336-6cea-4f73-a6f5-86c2956e398f","Code_83","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","7ed4bcbc-0358-4de1-9ef8-eadbd446097f","Code_84","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","d361faab-19d8-401c-b290-29c4c0d35dca","Code_85","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","33c6068e-6095-4a8c-82db-d816325d2a80","Code_86","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","75a81fa9-191e-4739-a18e-0dfa1ecb79ab","Code_87","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","90490104-3010-43bf-ac66-6b44bd29d79c","Code_88","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","deabca44-fc31-46a9-bc48-43b18bf64f18","Code_89","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","23f8d045-b02a-49fa-9c03-3e9622ca867b","Code_90","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","c97e4051-1214-4b13-a512-1cdfa4fc7eab","Code_91","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","3911d4a8-7f27-4c7c-a8ef-f2fb34216ad2","Code_92","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","7e64cca7-1c00-41b0-827c-79ab8731b5f8","Code_93","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","0c7e55e8-e6db-45ee-a2dd-24abf584145f","Code_94","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","c69f9231-9bcb-442c-a86d-0e88fb05dbba","Code_95","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","a2491bbf-711e-4232-baa7-996c98358712","Code_96","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","c296cc8c-e2e9-4235-a5c4-f7961022869d","Code_97","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","0a2e8648-2370-44df-a87f-2566b8ef73c6","Code_98","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","111432b3-30a8-4569-8a33-c7b77fc06c4d","Code_99","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","c49134ad-f369-4b8e-b725-82d4410c1def","Code_100","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","543c41dc-cf0e-44a8-86eb-563c690f8ec5","Code_101","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","49534bbf-585d-49f4-96a1-e52024922a15","Code_102","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","134c3618-6620-44d0-a4f5-252d10acbff9","Code_103","Code","http://www.cdisc.org"
"Telephone Call","2023-12-15","C171537","8a595d31-7158-4f5b-9d34-fc5ef185f983","Code_104","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","ac05af4d-a76e-4b67-a2e5-eb7d91b533cd","Code_105","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","08a4d008-4355-4906-85f2-a6cd94674783","Code_106","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","347fbcd3-19f6-4560-8e73-872b3be2028c","Code_107","Code","http://www.cdisc.org"
"Telephone Call","2023-12-15","C171537","74d6c371-250e-4b9d-889f-615d1adc4fd2","Code_108","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","2a7d2095-62e6-4d93-af04-3a03634d74e2","Code_109","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","b0f26d80-952c-422c-af54-97d970a709a3","Code_110","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","02ec2e8c-f420-41b2-b273-c081600c6659","Code_111","Code","http://www.cdisc.org"
"Telephone Call","2023-12-15","C171537","bc7bc402-cb1c-4aea-9dac-f660a8136276","Code_112","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","3f3c35fe-c67f-4a40-b2ea-0dbc1153d18f","Code_113","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","0e32dc02-4118-49d7-9246-e081bc303cbc","Code_114","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","97196d9b-269f-4c7d-95cd-6006cb0ea272","Code_115","Code","http://www.cdisc.org"
"Telephone Call","2023-12-15","C171537","1a4f484d-0853-4534-9e10-75299fbea4d0","Code_116","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","b03ee22b-84b0-4d3e-b892-b931dfd8d153","Code_117","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","8910a5fc-8a04-4554-8535-498d43f8ed83","Code_118","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","f15b4366-1f37-41d6-978f-14dc47be5c0b","Code_119","Code","http://www.cdisc.org"
"Visit","2023-12-15","C25716","1e6ba59b-6f9f-4409-a12e-ff48d5b2195e","Code_120","Code","http://www.cdisc.org"
"Clinic","2023-12-15","C51282","5d867bfd-73cb-4a46-a175-204ca2169036","Code_121","Code","http://www.cdisc.org"
"In Person","2023-12-15","C175574","e437b0c0-c994-494f-81d0-daaec1933165","Code_122","Code","http://www.cdisc.org"
"CT of head without contrast","January 31, 2018","383371000119108","ada74c79-51a7-45dd-b75c-63d0c4e71c6d","Code_80","Code","SNOMED"
"Subject Supine","12","123","00001d26-8a9d-444a-86a9-cb4867102954","Code_81","Code","SPONSOR"
"Subject Standing","12","124","60fbdfdc-a0d1-42de-b28a-e0fe4e305f8e","Code_82","Code","SPONSOR"
"Dictionary-derived Term","2023-12-15","C82977","b4debe35-8dfa-468e-839d-50ea031c9348","Code_429","Code","http://www.cdisc.org"
"Reported Event Term","2023-12-15","C82571","c208f0cc-fffa-4ebe-8676-afa83c09963e","Code_430","Code","http://www.cdisc.org"
"Observation Start Date Time","2023-12-15","C82517","d8a56804-b3e8-47b0-a2d6-3c03189b4359","Code_431","Code","http://www.cdisc.org"
"Informed Consent","2023-12-15","C16735","0cf03c43-f8a6-470b-a705-74d7f8427a63","Code_432","Code","http://www.cdisc.org"
"Male","2023-12-15","C20197","5d868f65-daac-47a7-abb7-124a68d0091f","Code_433","Code","http://www.cdisc.org"
"Female","2023-12-15","C16576","7195b397-0735-4651-b9e0-4fb574b5af6d","Code_434","Code","http://www.cdisc.org"
"Sex","2023-12-15","C28421","cb2b2449-65a3-429c-8f8e-8642c6ccdd45","Code_435","Code","http://www.cdisc.org"
"Sex","2023-12-15","C28421","62020cc7-3bd6-4501-84ec-bcc3af0f1952","Code_436","Code","http://www.cdisc.org"
"Race","2023-12-15","C17049","ea48ff60-31d4-46a5-8fad-65d9bad3a66c","Code_437","Code","http://www.cdisc.org"
"Race","2023-12-15","C17049","f1b744b2-e215-450d-a9ce-eda9832b833f","Code_438","Code","http://www.cdisc.org"
