"synonyms","id","reference","instanceType","uuid:ID","label","name"
"['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept","04f9ec74-6825-4db6-8531-ccf44a2a2f9e","Informed Consent Obtained","Informed Consent Obtained"
"","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","beaa2a08-68a8-4829-bbfd-9004da06224f","Sex","Sex"
"['Racial Group']","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","7f995372-d417-49f8-894c-4646129ae54a","Race","Race"
"['Temperature', 'Body Temperature']","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","71a9ea5a-f7f1-4502-881e-0622eff3402f","Temperature","Temperature"
"['Weight', 'Body Weight']","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","d5c19f85-cc38-4fa9-a342-44bd0cdead43","Weight","Weight"
"['Height', 'Body Height']","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","87240e70-39d6-4ba4-88d0-c5a9df83e3d5","Height","Height"
"['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","af834ab5-c39c-4f0c-9ad1-1596b722becb","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma"
"['Albumin', 'Albumin Measurement']","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","ff538ec1-300d-4363-824f-2d256c6fa432","Albumin Presence in Urine","Albumin Presence in Urine"
"['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","bc35ce95-b887-4e85-8913-a2d9c2c4b492","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma"
"['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","877db65f-5047-4771-8b81-e26a90a85deb","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma"
"['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","186d4f3a-548b-4a80-8f1c-467d4b2000f8","Creatinine Concentration in Urine","Creatinine Concentration in Urine"
"['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","a5daade9-e152-4e48-8ad1-87bc9e491ce6","Potassium Concentration in Urine","Potassium Concentration in Urine"
"['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","9342cb08-e67d-4d81-a5e3-d4cbaba7ce68","Sodium Concentration in Urine","Sodium Concentration in Urine"
"['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","0f2927a1-bfca-46c6-8b2b-f5172919d2d4","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood"
