"uuid:ID","name","id","text","instanceType"
"ec206353-c8d4-4a8e-a645-ace7562c6f0d","ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier","TransitionRule"
"d99890cb-f41b-45a1-a385-fdac47d6ee67","ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities","TransitionRule"
"f3ff253a-9981-4f36-9625-208ed425dcc9","ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"fbdb9f81-e00e-49eb-92b1-289b627c7978","ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule"
"104e5d99-bafd-432f-bc22-78fd53c50c35","ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized","TransitionRule"
"21479607-49c1-46d7-8ccb-b8e92756e5da","ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment","TransitionRule"
"966cd01a-1d2c-44c4-965a-b9ceab517d83","ELEMENT_START_RULE_1","TransitionRule_7","Informed consent","TransitionRule"
"742b5c87-5490-4a50-9391-e538511482d2","ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"b46463c0-eeaf-412a-bbfc-30d8e98e8c2e","ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose","TransitionRule"
"c81b33d0-1f12-4086-babf-efc997895001","ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule"
"2311d1c5-f62e-4627-aac1-b81354ebb81d","ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"013ec7c6-39aa-4d2b-b822-51a5f008dbb8","ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose","TransitionRule"
"27574bac-a8fd-49c4-9e20-68d47af039a6","ELEMENT_START_RULE_4","TransitionRule_11","Randomized","TransitionRule"
"efd44c47-ed27-4c66-9fac-07ef248ef3df","ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"17d7d9ab-bbf6-43e5-a0ac-99ea90334796","ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
