"uuid:ID","value","name","id","window","windowLower","description","instanceType","label","windowUpper"
"3ca4fd34-8a43-48ff-97be-bd9ddaa09bcc","P2W","TIM1","Timing_1","","","Screening timing","Timing","Screening",""
"6dc1865a-dc09-4281-928a-204d2b9c8e71","P2D","TIM2","Timing_2","-4..0 hours","PT4H","Pre dose timing","Timing","Pre dose","PT0H"
"1729ac2f-5d2a-47f2-8d49-7ef8b2994b0b","P1D","TIM3","Timing_3","","","Dosing anchor","Timing","Dosing",""
"4705471d-a32f-4287-a8e9-1230bc30b5ab","P2W","TIM4","Timing_4","-3..3 days","P3D","Week 2 timing","Timing","Week 2","P3D"
"c4f0c01a-ab29-40d1-92ea-bc04e321612f","P4W","TIM5","Timing_5","-3..3 days","P3D","Week 4 timing","Timing","Week 4","P3D"
"40075ac9-a73a-486c-96f9-287d8f8be799","P6W","TIM6","Timing_6","-3..3 days","P3D","Week 6 timing","Timing","Week 6","P3D"
"fafed7d3-dfe7-431d-a7eb-086cd3d4ee86","P8W","TIM7","Timing_7","-3..3 days","P3D","Week 8 timing","Timing","Week 8","P3D"
"69691e5b-f7f4-4899-842a-aee3c8f603da","P12W","TIM9","Timing_9","-4..4 days","P4D","Week 12 timing","Timing","Week 12","P4D"
"6de1487d-ddeb-4046-8794-6c92f551800e","P16W","TIM11","Timing_11","-4..4 days","P4D","Week 16 timing","Timing","Week 16","P4D"
"3029a515-4d2a-4bc0-b217-deb16067768a","P20W","TIM13","Timing_13","-4..4 days","P4D","Week 20 timing","Timing","Week 20","P4D"
"ffca74c9-2099-403f-8b43-37cb9665687e","P24W","TIM15","Timing_15","-4..4 days","P4D","Week 24 timing","Timing","Week 24","P4D"
"b3795104-fbbc-4a40-9ff7-02bce23eee50","P26W","TIM16","Timing_16","-3..3 days","P3D","Week 26 timing","Timing","Week 26","P3D"
"c18f3cc7-b31a-4642-ac2a-7819758ada45","P2W","TIM8","Timing_8","","","Week 8 at home timing","Timing","Week 8 Home",""
"1266e8b2-bfcd-4765-863c-3761b6ab81b0","P2W","TIM10","Timing_10","","","Week 12 at home timing","Timing","Week 12 Home",""
"e8b5bd6c-ea64-431d-89d6-e1f1081bfb03","P2W","TIM12","Timing_12","","","Week 16 at home timing","Timing","Week 16 Home",""
"730a368b-0db9-43da-ac84-cf487a385546","P2W","TIM14","Timing_14","","","Week 20 at home timing","Timing","Week 20 Home",""
"c4230c6b-83b3-4b26-84d2-b19d2755d087","P1D","TIM17","Timing_17","","","Adverse Event","Timing","Adverse Event",""
"5d539f1e-18c8-43a1-a612-ad3b424255ac","P1D","TIM18","Timing_18","","","Early Termination","Timing","Early Termination",""
"240ebd43-d036-49f8-a0b1-ff1e30946f60","PT0M","TIM19","Timing_19","","","Supine","Timing","Supine",""
"07b6ce8d-a11d-4662-a59e-31cf8943f3c0","PT5M","TIM20","Timing_20","","","VS while supine","Timing","VS while supine",""
"0aa6290e-c8c2-43b5-8d44-fec26c987674","PT0M","TIM21","Timing_21","","","Standing","Timing","Standing",""
"ec3cbe83-19a2-45af-b640-2d6201fb8671","PT1M","TIM22","Timing_22","","","VS while standing","Timing","VS while standing",""
"a6c42905-d780-4bb4-80f4-982c3670fc94","PT0M","TIM23","Timing_23","","","Standing","Timing","Standing",""
"7c55544b-2a34-4c41-9ce7-5700c1a90f20","PT2M","TIM24","Timing_24","","","VS while standing","Timing","VS while standing",""
