"uuid:ID","name","id","sectionNumber","text","instanceType","sectionTitle"
"3d29b044-8d05-4701-8349-4a2859a3219b","ROOT","NarrativeContent_1","0","","NarrativeContent","Root"
"9252cc05-ed3e-4627-94cd-f50b43e5e425","SECTION 0","NarrativeContent_2","0","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent","TITLE PAGE"
"3c475c2d-e891-4f0b-9323-e9c88c3cf9e4","SECTION 1","NarrativeContent_3","1","<div></div>","NarrativeContent","PROTOCOL SUMMARY"
"0d0de33c-a22b-4003-aa92-70226ffd5fac","SECTION 1.1","NarrativeContent_4","1.1","<div></div>","NarrativeContent","Protocol Synopsis"
"30f52cfa-7cff-4142-8f7a-6c71d77dbb5b","SECTION 1.2","NarrativeContent_5","1.2","<div></div>","NarrativeContent","Trial Schema"
"ff275785-2da4-4ff3-b76d-404ca971446e","SECTION 1.3","NarrativeContent_6","1.3","<div></div>","NarrativeContent","Schedule of Activities"
"1a46e107-8b06-465a-804e-bf06faaf3e7f","SECTION 2","NarrativeContent_7","2","<div></div>","NarrativeContent","INTRODUCTION"
"b28b506f-b45a-4849-b770-1da6e0c747f4","SECTION 2.1","NarrativeContent_8","2.1","<div></div>","NarrativeContent","Purpose of Trial"
"a683c854-1163-4419-ab27-473dffc78bae","SECTION 2.2","NarrativeContent_9","2.2","<div></div>","NarrativeContent","Summary of Benefits and Risks"
"cbae1b55-b344-4faf-8392-0893aedc9966","SECTION 3","NarrativeContent_10","3","<div></div>","NarrativeContent","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"eed2ab03-5031-4bb8-bdf8-7bfea114a04e","SECTION 3.1","NarrativeContent_11","3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent","Primary Objectives"
"5f393395-bcdf-4059-9b34-6785343c9297","SECTION 4","NarrativeContent_12","4","<div></div>","NarrativeContent","TRIAL DESIGN"
"9839a064-19fc-453a-a2cb-dfc8cb550fbc","SECTION 4.1","NarrativeContent_13","4.1","<div></div>","NarrativeContent","Description of Trial Design"
"5eb6cf00-60b2-4bb3-86d0-d298a27dfdbf","SECTION 4.1.1","NarrativeContent_14","4.1.1","<div></div>","NarrativeContent","Participant Input into Design"
"c6e491c9-814a-4226-b029-0594c2289881","SECTION 4.2","NarrativeContent_15","4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent","Rationale for Trial Design"
"ac5465d2-268d-4f17-984a-4fe2be2e8b70","SECTION 4.2.1","NarrativeContent_16","4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent","Rationale for Comparator"
"a2e212f0-cb0d-4af0-b059-c427c5adad32","SECTION 4.2.2","NarrativeContent_17","4.2.2","<div></div>","NarrativeContent","Rationale for Adaptive or Novel Trial Design"
"88d1b8b6-5bd4-42a4-b707-c862286a1ca8","SECTION 4.2.3","NarrativeContent_18","4.2.3","<div></div>","NarrativeContent","Other Trial Design Considerations"
"34688ff0-fb62-42e8-93d0-332c8879d3e5","SECTION 4.3","NarrativeContent_19","4.3","<div></div>","NarrativeContent","Access to Trial Intervention After End of Trial"
"3412bdaa-6262-4f3d-951e-849a51618bd3","SECTION 4.4","NarrativeContent_20","4.4","<div></div>","NarrativeContent","Start of Trial and End of Trial"
"8ef1f059-b218-426b-8f89-203fafd1f564","SECTION 5","NarrativeContent_21","5","<div></div>","NarrativeContent","TRIAL POPULATION"
