"uuid:ID","synonyms","name","reference","id","instanceType","label"
"08999596-5394-4de9-8f60-e519e5b6483a","['Temperature']","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_20","BiomedicalConcept","Body Temperature"
"69105dda-75ee-486b-9666-2e4722af0f16","['Weight']","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_21","BiomedicalConcept","Body Weight"
"7f2ac295-d439-4ac4-95f5-dae8639ed23b","['Height']","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_22","BiomedicalConcept","Body Height"
"ed84802b-01da-4d23-ad5d-7bc69c741c29","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_23","BiomedicalConcept","Alanine Aminotransferase Measurement"
"a8c84a92-5f2d-49ed-a11d-5bf07fc90688","['Albumin']","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_24","BiomedicalConcept","Albumin Measurement"
"61e043fb-28d6-46a0-b486-aa9bf25c0bf9","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_25","BiomedicalConcept","Alkaline Phosphatase Measurement"
"0aa4754e-d5dd-48b8-8163-2e7a307e498f","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_26","BiomedicalConcept","Aspartate Aminotransferase Measurement"
"ee2c13d2-ade3-4d95-a779-cf829b735d51","['Creatinine']","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_27","BiomedicalConcept","Creatinine Measurement"
"b2866e6f-5164-4a34-a2b9-80da0523d4f0","['Potassium', 'K']","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_28","BiomedicalConcept","Potassium Measurement"
"1a903db5-f163-4143-b9a8-0c219d8ac7af","['Sodium', 'NA']","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_29","BiomedicalConcept","Sodium Measurement"
"c5df1c69-74c2-4399-be1c-4aae37f4f8d7","['Adverse Event Reported Term', 'AETERM']","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept_1","BiomedicalConcept","Adverse Event"
"96621416-5aa1-4e64-81d6-253fbc462993","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_2","BiomedicalConcept","Systolic Blood Pressure"
"93c842cc-7c5b-491c-b0b5-c1911ebe723e","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_3","BiomedicalConcept","Diastolic Blood Pressure"
"2525cca4-26a7-4b41-9bbe-0cab2366380d","['Temperature']","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_4","BiomedicalConcept","Body Temperature"
"22650f26-7322-4a6d-b1c4-58660df387f2","['Weight']","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_5","BiomedicalConcept","Body Weight"
"ce0045a1-fa11-4271-a3e6-5c9ff6893627","['Height']","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_6","BiomedicalConcept","Body Height"
"f8ebcd7c-3c22-4be0-aab7-7c40944c82ea","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_7","BiomedicalConcept","Alanine Aminotransferase Measurement"
"2c27ebb2-9579-4557-a9bc-819be9dd44c1","['Albumin']","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_8","BiomedicalConcept","Albumin Measurement"
"56995b64-617c-4a9c-b185-fcd9be118a62","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_9","BiomedicalConcept","Alkaline Phosphatase Measurement"
