"uuid:ID","name","id","description","instanceType","label"
"3aed6831-16ca-4a8c-beb0-794ff9e9f564","E1","Encounter_1","Screening encounter","Encounter","Screening 1"
"d75e1173-5a48-459d-b86c-d95588eaf1f2","E2","Encounter_2","Screening encounter - Ambulatory ECG Placement","Encounter","Screening 2"
"e97f4bd2-117c-40e7-ab4e-b4b51ef133c2","E3","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Encounter","Baseline"
"5dcef103-4729-4c74-933a-4817da6a036a","E4","Encounter_4","Day 14","Encounter","Week 2"
"fa70fd63-08d6-4ff0-af5b-273c7a5ee4de","E5","Encounter_5","Day 28","Encounter","Week 4"
"6616a117-7226-4a4f-975e-01ef5aa4e122","E7","Encounter_6","Day 42","Encounter","Week 6"
"b6c3407e-6e8a-482d-94d6-733381125bc1","E8","Encounter_7","Day 56","Encounter","Week 8"
"e3ebb97e-096b-44b7-9d79-04b25251d393","E9","Encounter_8","Day 84","Encounter","Week 12"
"3fdb29d8-3f16-494c-8753-d5f3bd1f23d7","E10","Encounter_9","Day 112","Encounter","Week 16"
"c21b2c51-828c-4aea-8c76-3ea949eeb5a8","E11","Encounter_10","Day 140","Encounter","Week 20"
"b7802058-45e2-4fbb-bebd-42c3967a8426","E12","Encounter_11","Day 168","Encounter","Week 24"
"93890b43-c5ed-4ae0-83c2-cfb2efec84fd","E13","Encounter_12","Day 182","Encounter","Week 26"
