"sectionTitle","uuid:ID","text","sectionNumber","id","name"
"Root","b3d1fc59-c560-4621-b885-cfdd823f75d3","","0","NarrativeContent_1","ROOT"
"PROTOCOL SUMMARY","c38fd670-6aed-4a62-a28d-30f4f10fb21f","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","1","NarrativeContent_2","SECTION 1"
"Protocol Synopsis","4d79a06a-62c2-4685-a909-cd769cd9335a","<div></div>","1.1","NarrativeContent_3","SECTION 1.1"
"Trial Schema","b7a15112-0d57-427b-bc51-fb4e38f8b1b8","<div></div>","1.2","NarrativeContent_4","SECTION 1.2"
"Schedule of Activities","9c0687c6-d91d-41d1-9cd5-e9c876fcd9e9","<div></div>","1.3","NarrativeContent_5","SECTION 1.3"
"INTRODUCTION","876a0c5c-ba75-45f3-8793-15863bc731f3","<div></div>","2","NarrativeContent_6","SECTION 2"
"Purpose of Trial","d9248d9a-d281-4c9c-98fa-d4b52209766a","<div></div>","2.1","NarrativeContent_7","SECTION 2.1"
"Summary of Benefits and Risks","2b75a34e-8ef4-4b3b-bcb2-b78f4cff274a","<div></div>","2.2","NarrativeContent_8","SECTION 2.2"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","6d019393-0fe8-431b-8028-f425c0880c66","<div></div>","3","NarrativeContent_9","SECTION 3"
"Primary Objectives","edf4f62c-fce7-4f18-a809-ca3dd43bfff0","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","3.1","NarrativeContent_10","SECTION 3.1"
"TRIAL DESIGN","f3a19e4a-4842-44d3-a07b-9767c3f263fd","<div></div>","4","NarrativeContent_11","SECTION 4"
"Description of Trial Design","40e1ccf7-91d4-405a-ac0b-3f2bedc7e473","<div></div>","4.1","NarrativeContent_12","SECTION 4.1"
"Participant Input into Design","70a64cf8-239d-411e-ab0b-bc6510603fb8","<div></div>","4.1.1","NarrativeContent_13","SECTION 4.1.1"
"Rationale for Trial Design","8f4cffd3-3ef3-4dda-98e2-6f9cd587a17f","<div></div>","4.2","NarrativeContent_14","SECTION 4.2"
"Rationale for Comparator","4d644a65-8316-4ddc-92e9-90dd717ae49c","<div></div>","4.2.1","NarrativeContent_15","SECTION 4.2.1"
"Rationale for Adaptive or Novel Trial Design","1a9aa912-8731-4c7d-ac89-cdc54946758e","<div></div>","4.2.2","NarrativeContent_16","SECTION 4.2.2"
"Other Trial Design Considerations","cd3f1c7d-3bc1-4561-86c6-d35c9e6ef604","<div></div>","4.2.3","NarrativeContent_17","SECTION 4.2.3"
"Access to Trial Intervention After End of Trial","4e127d9c-6f06-430f-94be-8b8c7db2fd04","<div></div>","4.3","NarrativeContent_18","SECTION 4.3"
"Start of Trial and End of Trial","a84809a4-fc0d-4841-b6f9-d20cef138390","<div></div>","4.4","NarrativeContent_19","SECTION 4.4"
"TRIAL POPULATION","d708c9a2-13e2-4817-a051-369d6cc755ea","<div></div>","5","NarrativeContent_20","SECTION 5"
"Selection of Trial Population","8281271f-7853-4d40-812a-87957e24a32d","<div></div>","5.1","NarrativeContent_21","SECTION 5.1"
"Rationale for Trial Population","65806916-bc04-4c26-a415-9e430e32df01","<div></div>","5.2","NarrativeContent_22","SECTION 5.2"
"Inclusion Criteria","895d68f2-a98b-49c8-876a-e07d106c56da","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","5.3","NarrativeContent_23","SECTION 5.3"
"Exclusion Criteria","befc28d8-5789-4d86-84a1-535010a9f408","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","5.4","NarrativeContent_24","SECTION 5.4"
"Lifestyle Considerations","baabefa3-996d-45f5-876c-9e710ae2abe9","<div></div>","5.5","NarrativeContent_25","SECTION 5.5"
"Meals and Dietary Restrictions","308b656e-b6a2-4979-8f2a-9bfc810a16f8","<div></div>","5.5.1","NarrativeContent_26","SECTION 5.5.1"
"Caffeine, Alcohol, Tobacco, and Other Habits","a4023096-e8ce-44f0-a9a3-0379d7caa028","<div></div>","5.5.2","NarrativeContent_27","SECTION 5.5.2"
"Physical Activity","39fb0a7a-e037-4ce4-9103-be650280b05b","<div></div>","5.5.3","NarrativeContent_28","SECTION 5.5.3"
"Other Activity","287aa5f8-0748-4d31-a02a-b458b58d5d7c","<div></div>","5.5.4","NarrativeContent_29","SECTION 5.5.4"
