"label","uuid:ID","text","id","name","instanceType","purpose","description"
"","52bf316b-fc23-4e18-9ce3-daef8e729926","Clinical status assessed using a 7-category ordinal scale at Day 28","Endpoint_1","END1","ENDPOINT","",""
"","fa822c47-465a-4199-aec1-22f3cd452f16","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","Endpoint_2","END2","ENDPOINT","",""
"","d75ec928-cb32-4451-b29c-155cf3b1c77f","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","Endpoint_3","END3","ENDPOINT","",""
"","e11672f9-b111-4b17-8a70-81705d8952f0","Incidence of mechanical ventilation","Endpoint_4","END4","ENDPOINT","",""
"","3e4f15a9-51e4-44fb-bb8f-337f04dc9d85","Ventilator-free days to Day 28","Endpoint_5","END5","ENDPOINT","",""
"","0f3600c5-3345-4139-b329-247f3b062243","Incidence of intensive care unit (ICU) stay","Endpoint_6","END6","ENDPOINT","",""
"","5713c1f6-be94-4ea7-8787-7da3cbb41ae3","Duration of ICU stay","Endpoint_7","END7","ENDPOINT","",""
"","c20c4690-5d66-492e-a836-d62c89837f94","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","Endpoint_8","END8","ENDPOINT","",""
"","2c46a3bf-2c04-4680-97ff-9b90a7ac4177","Mortality rate at Days 7, 14, 21, 28, and 60","Endpoint_9","END9","ENDPOINT","",""
"","e74c5f52-ec13-4f48-923f-3a673bb0cb22","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","Endpoint_10","END10","ENDPOINT","",""
"","a14afe4e-d4f4-4d52-bc6c-e35273b7faf7","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","Endpoint_11","END11","ENDPOINT","",""
"","b6b3e8d2-eac5-4855-a0d8-9cfee1bfcdd5","Duration of supplemental oxygen","Endpoint_12","END12","ENDPOINT","",""
