"instanceType","name","description","label","uuid:ID","id"
"Encounter","E1","Screening encounter","Screening 1","d99b8f5b-5b89-45bf-8fba-923cb1b88131","Encounter_1"
"Encounter","E2","Screening encounter - Ambulatory ECG Placement","Screening 2","6ee6bf19-6558-4882-abf2-d6f6b7fe1e8d","Encounter_2"
"Encounter","E3","Baseline encounter - Ambulatory ECG Removal","Baseline","fea3978a-e044-4a32-b684-fa4ebf590ef9","Encounter_3"
"Encounter","E4","Day 14","Week 2","8cce3f13-3f89-4058-a88f-e3c51e281232","Encounter_4"
"Encounter","E5","Day 28","Week 4","51f79e7a-2a22-494a-a99b-f832739920fb","Encounter_5"
"Encounter","E7","Day 42","Week 6","9733a692-10ce-43e2-a321-520a88400616","Encounter_6"
"Encounter","E8","Day 56","Week 8","e7889567-9dcc-4655-98fe-a916623b8e97","Encounter_7"
"Encounter","E9","Day 84","Week 12","10ecb81a-19b4-481a-965c-4cb7c1703483","Encounter_8"
"Encounter","E10","Day 112","Week 16","54131129-0bae-4eb0-a7de-0889b796dff7","Encounter_9"
"Encounter","E11","Day 140","Week 20","7597c928-93b6-4abb-b120-da341c2f1bff","Encounter_10"
"Encounter","E12","Day 168","Week 24","4c664dbf-3738-41aa-b587-30894bec4821","Encounter_11"
"Encounter","E13","Day 182","Week 26","e23f4134-735d-4cb0-81a3-fd7599ed6450","Encounter_12"
