"instanceType","name","description","label","uuid:ID","id"
"Activity","Informed consent","","Informed consent","bc4ad4c2-dc79-49a6-b9af-9b67421c31ee","Activity_1"
"Activity","Inclusion/exclusion criteria","","Inclusion and exclusion criteria","5a0b23c8-7c68-45f3-8a3c-46120ea980fc","Activity_2"
"Activity","Patient number assigned","","Patient number assigned","70a98b3c-43a2-4072-9cf5-aed71b27e1f1","Activity_3"
"Activity","Demographics","","Demographics","f3cce13f-f404-480d-9f00-386a44e8a3b0","Activity_4"
"Activity","Hachinski","","Hachinski Ischemic Scale","3492b781-35dc-4bfb-aad1-628a5975a6c3","Activity_5"
"Activity","MMSE","","MMSE","16b6448d-bbf4-4584-a788-0c495e015838","Activity_6"
"Activity","Physical examination","","Physical examination","ecaa85b1-3857-4596-b0f1-90c27fa06556","Activity_7"
"Activity","Medical history","","Medical history","5a647faf-10af-453b-9916-f4e78f2b3dbe","Activity_8"
"Activity","Habits","","Habits","35eda69b-959b-470c-9cc8-0c77a2fb85b6","Activity_9"
"Activity","Chest X-ray","","Chest X-ray","51577188-d76e-47bc-94da-37eaaaf82f9e","Activity_10"
"Activity","Apo E genotyping","","Apo E genotyping","f62dbfeb-628c-4644-a096-bd6c0a95e5c2","Activity_11"
"Activity","Patient randomised","","Patient randomised","61469df1-e35c-47ff-a143-e858a0ed7330","Activity_12"
"Activity","Vital signs / Temperature","","Vital Signs and Temperature","efedd22a-a84a-4e34-87ce-81947d2ce800","Activity_13"
"Activity","Ambulatory ECG placed","","Ambulatory ECG placed","b8ecd233-a0db-4d3c-a3d6-986d4e8d5534","Activity_14"
"Activity","Ambulatory ECG removed","","Ambulatory ECG removed","9e8ced98-9e81-4b3b-8e52-4735d073edf6","Activity_15"
"Activity","ECG","","ECG","96d32b14-5575-4671-aae3-75841491f932","Activity_16"
"Activity","Placebo TTS test","","Placebo TTS test","9ffb7fa9-dfb5-41c9-bbdd-8054c4d25952","Activity_17"
"Activity","CT scan","","CT scan","5a6409a9-9480-4122-96fb-856d98b2c6cc","Activity_18"
"Activity","Concomitant medications","","Concomitant medications","9a02e26d-a335-41b8-91e3-adbdae0c2e02","Activity_19"
"Activity","Hematology","","Hematology","58883620-55b0-47b5-9cda-5a968dd32876","Activity_20"
"Activity","Chemistry","","Chemistry","47206bd2-eed2-4d2b-8472-ebc1c2be6502","Activity_21"
"Activity","Uninalysis","","Uninalysis","c172b483-ad8b-4b88-9cb5-d7260efd4884","Activity_22"
"Activity","Plasma Specimen (Xanomeline)","","Plasma Specimen (Xanomeline)","834999ac-a5ab-4eef-bcfa-ae321255e160","Activity_23"
"Activity","Hemoglobin A1C","","Hemoglobin A1C","f500e238-26be-42d6-9205-1660ec1bfeb1","Activity_24"
"Activity","Study drug","","Study drug record , Medications dispensed, Medications returned","514c0eed-3c7e-49db-8be8-aa3412e98a81","Activity_25"
"Activity","TTS Acceptability Survey","","TTS Acceptability Survey","ea500e2e-380b-4435-802b-1a4eae3e5742","Activity_26"
"Activity","ADAS-Cog","","ADAS-Cog","bd31133b-1338-4234-8af8-a2c6ce78e79d","Activity_27"
"Activity","CIBIC+","","CIBIC+","0a26abb3-7a14-4ac7-95dd-1e25a33a3070","Activity_28"
"Activity","DAD","","DAD","b2f4dc21-bbe4-429e-9d1f-f5cbb9267f96","Activity_29"
"Activity","NPI-X","","NPI-X","83a88c38-a416-4f6e-bc81-c691189d16a9","Activity_30"
"Activity","Adverse events","","Adverse events","b71adf4a-cee9-4a5f-84e2-84d2d54926b1","Activity_31"
"Activity","Check adverse events","","Check adverse events","cf62104d-f9f9-4536-be26-e9553492f2b4","Activity_32"
"Activity","Supine","","Subject supine","8668a7b6-30b3-4816-b097-c0b78d3f9974","Activity_33"
"Activity","Vital Signs Supine","","Vital signs while supine","0d86a606-235a-454d-b78a-c5049f38e3d3","Activity_34"
"Activity","Stand","","Subject Standing","4a30eaf8-50b2-4271-9060-985bcc0c6a59","Activity_35"
"Activity","Vital Signs Standing","","Vital signs while standing","68a9bf2f-2815-4b43-8fb8-228e5344a86f","Activity_36"
