"codeSystemVersion","instanceType","uuid:ID","decode","codeSystem","code","id"
"2023-12-15","Code","818ea166-482c-4b9c-bf0a-1451112e7e2b","Interventional Study","http://www.cdisc.org","C98388","Code_1"
"2023-12-15","Code","99e6d475-54f2-4adb-9d94-88ba02c1e7d9","Phase II Trial","http://www.cdisc.org","C15601","Code_2"
"2023-12-15","Code","a4ed94d4-64ca-4f96-bda8-1d51901692af","Sponsor Approval Date","http://www.cdisc.org","C132352","Code_9"
"2023-12-15","Code","83f5f61c-f1cb-4f37-aade-a559164e6be8","Global","http://www.cdisc.org","C68846","Code_10"
"2023-12-15","Code","89f2e6e1-8309-4f3e-a1e9-8132118cd040","IRB/IEC Feedback","http://www.cdisc.org","C99904x3","Code_72"
"2023-12-15","Code","54c80b9d-9b2b-4344-b159-3eeefe4053e0","Other","http://www.cdisc.org","C17649","Code_73"
"2023-12-15","Code","ac8fad45-2023-4134-b470-a2fa8bb8c32a","Region","http://www.cdisc.org","C41129","Code_75"
"2020-08","Code","f1efe2a7-5e74-438d-9516-28b49bfae937","Europe","ISO 3166 1 alpha3","150","Code_74"
"12","Code","fbe9d0f0-153c-4ac2-8bc2-8a63342c9709","Eli Lilly","SPONSOR","PHARMA","Code_4"
"2023-12-15","Code","ba2f9105-3c39-434d-acff-1040719c7a73","Clinical Study Sponsor","http://www.cdisc.org","C70793","Code_76"
"2020-08","Code","937297fb-191b-4333-b094-d07b49423fed","United States of America","ISO 3166 1 alpha3","USA","Code_77"
"2023-12-15","Code","638060d3-c457-4d5c-ab37-7ec19e810821","Study Registry","http://www.cdisc.org","C93453","Code_78"
"2020-08","Code","ba5fd012-6c2c-4b8d-94ba-9f8954c0a8e8","United States of America","ISO 3166 1 alpha3","USA","Code_79"
"2023-12-15","Code","aba54497-78d3-46b5-8b48-ab2ad9b3924c","Treatment Study","http://www.cdisc.org","C49656","Code_137"
"2023-12-15","Code","aa067886-2643-4e8e-a1e1-0bd5cd268da1","Efficacy Study","http://www.cdisc.org","C49666","Code_138"
"2023-12-15","Code","433b349b-429f-4378-9cfb-1b98060e5b87","Safety Study","http://www.cdisc.org","C49667","Code_139"
"2023-12-15","Code","c7ca9828-1610-4689-87c7-9d829c496ca5","Pharmacokinetic Study","http://www.cdisc.org","C49663","Code_140"
"12","Code","589054af-5082-4636-94c2-959c8c2898ed","Mild to Moderate Alzheimer's Disease","SPONSOR","MILD_MOD_ALZ","Code_134"
"January 31, 2018","Code","8e84adcf-7f06-4ca4-aa0e-d960ab9c4108","Alzheimer's disease","SNOMED","26929004","Code_135"
"2023-12-15","Code","ffe8d9a8-068f-481a-89de-093df9126ba3","EXTENSION","http://www.cdisc.org","C99907x1","Code_143"
"2023-12-15","Code","0498e0e3-adc0-493d-b910-a2d51c54cd27","ADAPTIVE","http://www.cdisc.org","C98704","Code_144"
"2023-12-15","Code","0be15180-dec4-4ba1-8cc4-1ca32dbab2c7","Parallel Study","http://www.cdisc.org","C82639","Code_141"
"2023-12-15","Code","539ffbb1-2e2b-4d12-b56a-e0694662b718","Visit","http://www.cdisc.org","C25716","Code_83"
"2023-12-15","Code","5c799534-1a2e-4c9a-bcd4-e6649ae796d9","Clinic","http://www.cdisc.org","C51282","Code_84"
"2023-12-15","Code","f23435af-7a46-4124-9dd6-4fd6725468ac","In Person","http://www.cdisc.org","C175574","Code_85"
"2023-12-15","Code","d808bb05-8dc8-472f-8e0a-7aff4f2bf53c","Visit","http://www.cdisc.org","C25716","Code_86"
"2023-12-15","Code","fc52d65f-9e0f-48aa-b38e-417d7705d8cd","Clinic","http://www.cdisc.org","C51282","Code_87"
"2023-12-15","Code","c85762ad-30a7-4383-a0ac-982eb41148fe","In Person","http://www.cdisc.org","C175574","Code_88"
"2023-12-15","Code","ec2e98c5-4a6a-425f-88d5-8378ed9118be","Visit","http://www.cdisc.org","C25716","Code_89"
"2023-12-15","Code","2e2627e9-f23c-4bef-8874-a4aa5c3a0501","Clinic","http://www.cdisc.org","C51282","Code_90"
"2023-12-15","Code","5c838d79-7015-441c-b4cb-a60db98849a1","In Person","http://www.cdisc.org","C175574","Code_91"
"2023-12-15","Code","c0f2d9b8-6092-479a-8754-0c88e911d911","Visit","http://www.cdisc.org","C25716","Code_92"
"2023-12-15","Code","63577ed9-68db-4ec2-966c-7829c58a7836","Clinic","http://www.cdisc.org","C51282","Code_93"
"2023-12-15","Code","d49dc2ab-b13a-4356-9edf-47a9f1d53dc5","In Person","http://www.cdisc.org","C175574","Code_94"
"2023-12-15","Code","04d24191-5f94-401a-b8eb-223bed9eb54e","Visit","http://www.cdisc.org","C25716","Code_95"
"2023-12-15","Code","bde3bd3f-b78e-4338-ac6e-a73d35c5be04","Clinic","http://www.cdisc.org","C51282","Code_96"
"2023-12-15","Code","19d3db30-3d8f-451e-a1cd-9716ab650f17","In Person","http://www.cdisc.org","C175574","Code_97"
"2023-12-15","Code","f52e6c75-7dc0-4ac2-bbae-a75c3826b726","Visit","http://www.cdisc.org","C25716","Code_98"
"2023-12-15","Code","1b4dc913-c89c-4d52-ad8c-5271b92ae45a","Clinic","http://www.cdisc.org","C51282","Code_99"
"2023-12-15","Code","e4c61946-5646-4f71-a635-c2aa11e6ed9a","In Person","http://www.cdisc.org","C175574","Code_100"
"2023-12-15","Code","c0a82714-33c7-4ce5-a1b5-2d989224cba8","Visit","http://www.cdisc.org","C25716","Code_101"
"2023-12-15","Code","5485f6e6-19fc-4976-8501-46013edf1e2b","Clinic","http://www.cdisc.org","C51282","Code_102"
"2023-12-15","Code","7b1bda28-9642-47b8-80b3-d7369f3964c7","In Person","http://www.cdisc.org","C175574","Code_103"
"2023-12-15","Code","e7401a4c-3de2-4d5f-93c6-9f4b465086c0","Telephone Call","http://www.cdisc.org","C171537","Code_104"
"2023-12-15","Code","5f9d0142-78ce-4f24-8130-7c6a6e766221","Visit","http://www.cdisc.org","C25716","Code_105"
"2023-12-15","Code","57fbdacd-3c57-4294-b1ff-a1040393d2c4","Clinic","http://www.cdisc.org","C51282","Code_106"
"2023-12-15","Code","43a7c86c-568f-49c7-9fba-838cfaec70a1","In Person","http://www.cdisc.org","C175574","Code_107"
"2023-12-15","Code","92c45c4d-ccd3-4433-b7ce-3372b7612288","Telephone Call","http://www.cdisc.org","C171537","Code_108"
"2023-12-15","Code","4ec19158-3ddb-4e18-945c-193fd2e2852b","Visit","http://www.cdisc.org","C25716","Code_109"
"2023-12-15","Code","e3316639-6bba-4a61-9e3a-e93452bf7688","Clinic","http://www.cdisc.org","C51282","Code_110"
"2023-12-15","Code","11242c5f-e654-430e-927a-d018f6e36f40","In Person","http://www.cdisc.org","C175574","Code_111"
"2023-12-15","Code","0f8fd10f-f4e3-48cc-acaa-44cb89e560a9","Telephone Call","http://www.cdisc.org","C171537","Code_112"
"2023-12-15","Code","cd3deb93-bff5-45ba-b568-feb5b3a70fd5","Visit","http://www.cdisc.org","C25716","Code_113"
"2023-12-15","Code","b25a9def-2901-478c-8c65-7eb662aeaa38","Clinic","http://www.cdisc.org","C51282","Code_114"
"2023-12-15","Code","90c14389-4f05-431b-8993-4504e2b55f81","In Person","http://www.cdisc.org","C175574","Code_115"
"2023-12-15","Code","da65c6f4-cdc7-465d-8d2b-c60b77af8184","Telephone Call","http://www.cdisc.org","C171537","Code_116"
"2023-12-15","Code","5b06838a-d829-4e48-85c1-0d1218cf050b","Visit","http://www.cdisc.org","C25716","Code_117"
"2023-12-15","Code","d34ea7f8-0259-4678-99d4-abb408bd94cf","Clinic","http://www.cdisc.org","C51282","Code_118"
"2023-12-15","Code","7574f39e-c168-48ff-b81a-347d726c840c","In Person","http://www.cdisc.org","C175574","Code_119"
"2023-12-15","Code","a9075723-6549-40e1-9eff-9cd838fee57d","Visit","http://www.cdisc.org","C25716","Code_120"
"2023-12-15","Code","703b1b7d-f824-472b-8f30-b125b5ac7f11","Clinic","http://www.cdisc.org","C51282","Code_121"
"2023-12-15","Code","94b6c64b-c49b-4dfb-84f1-8bb303e4d4bb","In Person","http://www.cdisc.org","C175574","Code_122"
"January 31, 2018","Code","563d8792-1d2f-4fa1-b8b9-4aedb96da9ad","CT of head without contrast","SNOMED","383371000119108","Code_80"
"12","Code","394729cc-403c-4ec5-aeea-b69abfc25bf8","Subject Supine","SPONSOR","123","Code_81"
"12","Code","c6a6e68a-9b1b-42a6-b909-f4cfa1b3e1f7","Subject Standing","SPONSOR","124","Code_82"
"2023-12-15","Code","85933962-2f1c-4a24-a448-2ae160f9d4ec","Dictionary-derived Term","http://www.cdisc.org","C82977","Code_429"
"2023-12-15","Code","cd48b005-8d89-4529-98bc-6e0cb88fbb78","Reported Event Term","http://www.cdisc.org","C82571","Code_430"
"2023-12-15","Code","4d48f09c-6c25-4871-beb1-a29f1486c435","Observation Start Date Time","http://www.cdisc.org","C82517","Code_431"
"2023-12-15","Code","ec7afa50-b753-43d0-b24f-728dc01efa13","Informed Consent","http://www.cdisc.org","C16735","Code_432"
"2023-12-15","Code","fa1b1597-f067-436f-8345-754178e77253","Male","http://www.cdisc.org","C20197","Code_433"
"2023-12-15","Code","4c01f880-adea-44a9-9de0-a0e970a8cf60","Female","http://www.cdisc.org","C16576","Code_434"
"2023-12-15","Code","d6e44e67-960f-466a-a1d6-40fe45b97c10","Sex","http://www.cdisc.org","C28421","Code_435"
"2023-12-15","Code","98abc60a-f851-4e8d-9100-4efe8a48a22c","Sex","http://www.cdisc.org","C28421","Code_436"
"2023-12-15","Code","2285153e-3f96-4177-b71d-5f71c54c7512","Race","http://www.cdisc.org","C17049","Code_437"
"2023-12-15","Code","f740a92f-922a-4ee9-b206-501d4a438346","Race","http://www.cdisc.org","C17049","Code_438"
"2023-12-15","Code","c97f236a-a265-44c8-9555-5697b741f5db","TEMP","http://www.cdisc.org","C174446","Code_439"
"2023-12-15","Code","a2c9d297-6fe6-454c-a190-9076462e7958","Clinical Test Result","http://www.cdisc.org","C77140","Code_440"
"2023-12-15","Code","2a12cde3-d9f3-4a97-ae01-c994e2e8eb0d","Degree Celsius","http://www.cdisc.org","C42559","Code_441"
"2023-12-15","Code","d1ed865f-9e19-4642-bd60-dfb9135be076","Degree Fahrenheit","http://www.cdisc.org","C44277","Code_442"
"2023-12-15","Code","0a3b7567-1c2f-4c85-9138-762d4915f2f9","Kelvin","http://www.cdisc.org","C42537","Code_443"
"2023-12-15","Code","00ac7eed-305b-42f1-97ce-c7d56943f1c9","Unit of Temperature","http://www.cdisc.org","C44276","Code_444"
"2023-12-15","Code","1b23a16e-ffe8-4836-9115-42db2f658917","Axilla","http://www.cdisc.org","C12674","Code_445"
"2023-12-15","Code","4fd627d5-402f-4590-a56b-1c819f402123","Ear","http://www.cdisc.org","C12394","Code_446"
"2023-12-15","Code","25a55c74-c546-4f8c-bd13-bc369825d92b","Forehead","http://www.cdisc.org","C89803","Code_447"
