"instanceType","name","uuid:ID","text","id"
"TransitionRule","ENCOUNTER_START_RULE_1","580e6141-b1eb-4273-97c9-70cf06db6fee","Subject identifier","TransitionRule_1"
"TransitionRule","ENCOUNTER_START_RULE_1","313c65a6-c442-4f18-9ced-13fb8eb86006","completion of screening activities","TransitionRule_2"
"TransitionRule","ENCOUNTER_START_RULE_2","c8aae24d-b069-4123-86d2-33b96a1d1dfa","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"TransitionRule","ENCOUNTER_START_RULE_3","4d9a1881-27c0-4c78-b799-1cf87468296c","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"TransitionRule","ENCOUNTER_START_RULE_3","127f695e-7875-4c56-8078-8ef4ea470674","Radomized","TransitionRule_5"
"TransitionRule","ENCOUNTER_START_RULE_12","1c48813e-27bc-45e3-8aff-13d82149d812","End of treatment","TransitionRule_6"
"TransitionRule","ELEMENT_START_RULE_1","e3a24c86-6065-44b4-8d05-050ba2f1c0a4","Informed consent","TransitionRule_7"
"TransitionRule","ELEMENT_END_RULE_1","eff697bb-3a42-4572-970f-753d4be25cf3","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"TransitionRule","ELEMENT_START_RULE_2","80e083a2-b0e4-4e6f-9497-3f6324aebc30","Administration of first dose","TransitionRule_9"
"TransitionRule","ELEMENT_START_RULE_7","26dc1ea0-59e3-4d6e-9d16-ff77dbc854ae","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"TransitionRule","ELEMENT_END_RULE_7","0f266ef3-fe4c-47b5-843d-79b526f58dfd","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"TransitionRule","ELEMENT_START_RULE_3","7d04979c-1a85-4787-82d0-c49c72935b55","Administration of first dose","TransitionRule_10"
"TransitionRule","ELEMENT_START_RULE_4","c2e8f150-2d30-41d0-b47f-3b19d1cb9a46","Randomized","TransitionRule_11"
"TransitionRule","ELEMENT_START_RULE_5","4ce186b9-4a55-4892-9b33-6c11e323a373","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"TransitionRule","ELEMENT_START_RULE_6","858fb976-1bf2-446a-987d-adfa9d8e7a92","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
