"instanceType","name","description","label","uuid:ID","purpose","text","id"
"Endpoint","END1","","","d773f785-d603-4176-bbbc-a147fb85c2e1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1"
"Endpoint","END2","","","f51722af-83bf-4c99-a352-918af70cf57f","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2"
"Endpoint","END3","","","1483a6a3-c176-4cf8-b1f4-38ad46ecf6bf","","Adverse events","Endpoint_3"
"Endpoint","END4","","","82137e0f-81f0-42db-a56e-a89687ddf8a0","","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4"
"Endpoint","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","48947c15-f3a1-4958-9ca5-e10608316534","","Laboratory evaluations (Change from Baseline)","Endpoint_5"
"Endpoint","END6","","","889fa145-02ce-4d18-b598-d0f26bb21094","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6"
"Endpoint","END7","","","669f5949-fcf2-4224-a107-4f87c504ecce","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7"
"Endpoint","END8","","","5e35a8be-a1e6-401d-a1e1-960d100a92ba","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8"
"Endpoint","END9","","","84a4a8a8-d54f-43a2-8990-0e149506f0ff","","*** To be determined from protocol ***","Endpoint_9"
"Endpoint","END10","","","42ec4529-8c32-4ad2-a419-f191c94fe14d","","*** To be determined from protocol ***","Endpoint_10"
"Endpoint","END11","","","08e8c25e-1402-42a6-b78f-286a5ebb2bd7","","*** To be determined from protocol ***","Endpoint_11"
