"instanceType","windowLower","name","description","valueLabel","windowUpper","value","label","uuid:ID","windowLabel","id"
"Timing","","TIM1","Screening timing","2 weeks","","P2W","Screening","a439bb74-479c-427c-b766-62d1b426c606","","Timing_1"
"Timing","PT4H","TIM2","Pre dose timing","2 days","PT0H","P2D","Pre dose","5be95c53-e22a-423c-8d1a-1d5de4c15f29","-4..0 hours","Timing_2"
"Timing","","TIM3","Dosing anchor","1 Day","","P1D","Dosing","0c72e930-aadf-4fe4-98b1-3b343f06f11c","","Timing_3"
"Timing","P3D","TIM4","Week 2 timing","2 Weeks","P3D","P2W","Week 2","7430ae6a-14af-4db6-b936-d0a4291886cf","-3..3 days","Timing_4"
"Timing","P3D","TIM5","Week 4 timing","4 Weeks","P3D","P4W","Week 4","02ba19fc-c9c6-40af-bffd-6689b218cf8b","-3..3 days","Timing_5"
"Timing","P3D","TIM6","Week 6 timing","6 Weeks","P3D","P6W","Week 6","1b1fac80-5584-4a21-98cf-dd6704f5b14f","-3..3 days","Timing_6"
"Timing","P3D","TIM7","Week 8 timing","8 Weeks","P3D","P8W","Week 8","bbe5ea07-e57e-4233-a828-dfa64463c0a4","-3..3 days","Timing_7"
"Timing","P4D","TIM9","Week 12 timing","12 Weeks","P4D","P12W","Week 12","13a999f0-df2b-4370-82d9-c53022ae2263","-4..4 days","Timing_9"
"Timing","P4D","TIM11","Week 16 timing","16 Weeks","P4D","P16W","Week 16","a02d9b1e-cf32-4325-8291-a3b332486b9c","-4..4 days","Timing_11"
"Timing","P4D","TIM13","Week 20 timing","20 Weeks","P4D","P20W","Week 20","a94ba95c-3c11-4513-9f85-812d09f8c992","-4..4 days","Timing_13"
"Timing","P4D","TIM15","Week 24 timing","24 Weeks","P4D","P24W","Week 24","44537618-3ae0-4187-a1e6-19500221716f","-4..4 days","Timing_15"
"Timing","P3D","TIM16","Week 26 timing","26 Weeks","P3D","P26W","Week 26","8daf5db9-7d52-4249-a15d-aaeca6acf9ef","-3..3 days","Timing_16"
"Timing","","TIM8","Week 8 at home timing","2 Weeks","","P2W","Week 8 Home","73a12c74-75e5-48ed-aeb9-bf722bb18ec0","","Timing_8"
"Timing","","TIM10","Week 12 at home timing","2 Weeks","","P2W","Week 12 Home","0f786fb7-84de-400a-bbea-eb34e7c7d966","","Timing_10"
"Timing","","TIM12","Week 16 at home timing","2 Weeks","","P2W","Week 16 Home","d215e55b-ae10-4204-88a5-bcb5b81471ed","","Timing_12"
"Timing","","TIM14","Week 20 at home timing","2 Weeks","","P2W","Week 20 Home","4deca410-a2b1-41c0-b4eb-a017562a646f","","Timing_14"
"Timing","","TIM17","Adverse Event","1 Day","","P1D","Adverse Event","30476c45-5a34-404c-8e03-be3c20c7af03","","Timing_17"
"Timing","","TIM18","Early Termination","1 Day","","P1D","Early Termination","7a867b7b-c30e-42be-ac3a-38dd9cde4a39","","Timing_18"
"Timing","","TIM19","Supine","0 mins","","PT0M","Supine","7bfea39c-dfb8-4341-b2f1-65afd195275a","","Timing_19"
"Timing","","TIM20","VS while supine","5 mins","","PT5M","VS while supine","48ebaf8f-e523-4007-89ac-7980ad72f761","","Timing_20"
"Timing","","TIM21","Standing","0 min","","PT0M","Standing","d3c9b5ac-e09f-476e-b8a6-41f34b962767","","Timing_21"
"Timing","","TIM22","VS while standing","1 min","","PT1M","VS while standing","9ccbf066-c37a-435d-a8f5-b85df45d2a0a","","Timing_22"
"Timing","","TIM23","Standing","0 min","","PT0M","Standing","fc998a70-692c-49cd-9e82-c3459d8e779a","","Timing_23"
"Timing","","TIM24","VS while standing","2 min","","PT2M","VS while standing","ed5844b3-d54a-4d9a-8170-45134d72c9bd","","Timing_24"
