"reference","instanceType","name","label","synonyms","uuid:ID","id"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept","Informed Consent Obtained","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","0fe6c0fc-61dd-4f56-a284-0f0c6f3382bc","BiomedicalConcept_20"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","Sex","Sex","","579b8e91-1990-4bbf-8dfc-e476ecb29745","BiomedicalConcept_21"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","Race","Race","['Racial Group']","2b5ea3c3-c026-48e4-863f-40bfe7fad04d","BiomedicalConcept_22"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","Temperature","Temperature","['Temperature', 'Body Temperature']","959d24d7-d51d-4a8f-bb2c-c2756c7b4b46","BiomedicalConcept_23"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","Weight","Weight","['Weight', 'Body Weight']","2bc7748f-3a14-4acd-8ad2-1ac5439104bf","BiomedicalConcept_24"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","Height","Height","['Height', 'Body Height']","56e2e705-221c-49c3-83c9-c0e1ae7d3dd4","BiomedicalConcept_25"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","92a1dd79-079c-4650-9a31-f88407c29c3c","BiomedicalConcept_26"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","Albumin Presence in Urine","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","88974d07-e032-4ddc-a02f-8daf48817839","BiomedicalConcept_27"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","e0d91155-9b03-45a3-8997-a15f0658cff5","BiomedicalConcept_28"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","a68359e4-5035-46e4-abf7-b4da263ce585","BiomedicalConcept_29"
