"name","id","description","label","instanceType","uuid:ID"
"Informed consent","Activity_1","","","Activity","a38809c4-84ed-41aa-847b-9da12f91580a"
"Inclusion/exclusion criteria","Activity_2","","","Activity","972acf54-c53a-4daa-8685-c72951570216"
"Patient number assigned","Activity_3","","","Activity","26238424-7823-4884-a82c-ce3708f2ba18"
"Demographics","Activity_4","","Demographics","Activity","9534f0bd-7d5b-4204-89c7-ef181043b347"
"Hachinski","Activity_5","","Hachinski","Activity","d4daeea4-22fd-440d-9378-0884559c065b"
"MMSE","Activity_6","","MMSE","Activity","4a818973-5752-4293-827e-092fb0606857"
"Physical examination","Activity_7","","","Activity","7beb84d4-0770-454b-9370-0903d1a33a94"
"Medical history","Activity_8","","","Activity","27f8859c-f1db-49c5-9ed2-977b30980fdf"
"Habits","Activity_9","","","Activity","00dae7a4-b231-45fc-8d0c-ba561b138683"
"Chest X-ray","Activity_10","","","Activity","6b0083eb-bb8a-4e35-a84d-968f8e140e37"
"Apo E genotyping","Activity_11","","","Activity","15e8b99c-3210-4155-b559-116463e5ffcd"
"Patient randomised","Activity_12","","","Activity","8441172d-2938-4a73-9e20-c33755799091"
"Vital signs / Temperature","Activity_13","","Vital Signs and Temperature","Activity","185adbf4-a36e-4d06-9045-52efbefacdc5"
"Ambulatory ECG placed","Activity_14","","","Activity","86339fe8-a04e-4e01-b218-45cbd966b5d0"
"Ambulatory ECG removed","Activity_15","","","Activity","93406c05-b4d6-4b60-9eea-25f1236a66ce"
"ECG","Activity_16","","","Activity","02b151f1-b001-4083-b732-8c130a43b54e"
"Placebo TTS test","Activity_17","","","Activity","78777c38-9d83-4969-a446-56478cbca6d9"
"CT scan","Activity_18","","","Activity","6aad94fe-400d-4a35-93b0-b3650cfe5893"
"Concomitant medications","Activity_19","","","Activity","07121f76-76c7-4a5a-a6fa-fd337dfc5784"
"Hematology","Activity_20","","","Activity","7a07f99c-6e2c-4c3c-8e74-0f960e73add5"
"Chemistry","Activity_21","","","Activity","44217d0d-a9b0-4fbd-8109-994de629edd8"
"Uninalysis","Activity_22","","","Activity","6d2c2779-d49d-4337-bcd7-8d71d910d489"
"Plasma Specimen (Xanomeline)","Activity_23","","","Activity","8c86b705-d0dc-4e77-aea1-e37e6d177a7a"
"Hemoglobin A1C","Activity_24","","","Activity","934cf686-c4ff-4604-85c1-919bb0037ea7"
"Study drug","Activity_25","","Study drug record , Medications dispensed, Medications returned","Activity","b4336807-f345-4259-b2c2-1d0a1d0945db"
"TTS Acceptability Survey","Activity_26","","","Activity","309050f6-605e-4922-a320-9565b5d88d9f"
"ADAS-Cog","Activity_27","","","Activity","abe8a8df-b348-4022-b673-3b794e9fe6b6"
"CIBIC+","Activity_28","","","Activity","84cfc7a7-fc9b-485b-88b2-dcc418aac69f"
"DAD","Activity_29","","","Activity","b4bd8fb3-f017-4062-b8c6-84ab36ceb1ba"
"NPI-X","Activity_30","","","Activity","ed37ced6-3b53-4634-ab71-add8d8a40598"
"Adverse events","Activity_31","","","Activity","2319d4c8-1c89-4ce3-837c-cfb7903da171"
"Check adverse events","Activity_32","","","Activity","4142f54f-f2b1-4e28-a9ed-dc634189632d"
"Supine","Activity_33","","Subject supine","Activity","df30be7a-b3ea-4ea6-be89-c77245f23ab8"
"Vital Signs Supine","Activity_34","","Vital signs while supine","Activity","6a3346a6-832f-4c32-8f6c-1a4620b71def"
"Stand","Activity_35","","Subject Standing","Activity","55c49669-08a2-4cca-8232-c49f5e0ee40b"
"Vital Signs Standing","Activity_36","","Vital signs while standing","Activity","7a73b31c-d795-429f-b0a0-09a364eb3244"
