"decode","id","codeSystemVersion","instanceType","code","uuid:ID","codeSystem"
"Interventional Study","Code_1","2023-09-29","Code","C98388","88678de3-1abc-4d6d-9a2a-9a4114ed35ac","http://www.cdisc.org"
"Phase II Trial","Code_2","2023-09-29","Code","C15601","7e563f12-57d2-4f07-acfb-e13e8cb8418e","http://www.cdisc.org"
"Sponsor Approval Date","Code_9","2023-09-29","Code","C132352","b0e3d545-9fba-47f6-a8a4-e5ce069ebebd","http://www.cdisc.org"
"Global","Code_10","2023-09-29","Code","C68846","34bd543a-55a4-4ffd-a894-e9f34cd4e77c","http://www.cdisc.org"
"IRB/IEC Feedback","Code_72","2023-09-29","Code","C99904x3","87d36195-b185-4bab-a52a-e2d442aa2eff","http://www.cdisc.org"
"Other","Code_73","2023-09-29","Code","C17649","ce676555-2769-4e11-9398-cebba45bd886","http://www.cdisc.org"
"Region","Code_75","2023-09-29","Code","C41129","c372f7af-b425-4c68-83fe-917bec34682d","http://www.cdisc.org"
"Europe","Code_74","2020-08","Code","150","e597a4ab-b722-43af-bf71-b7ed75e798f9","ISO 3166 1 alpha3"
"Eli Lilly","Code_4","12","Code","PHARMA","ead292d2-c6ad-4d82-a56a-c10b4d25ab4e","SPONSOR"
"Clinical Study Sponsor","Code_76","2023-09-29","Code","C70793","cb09a39a-5c7d-441d-98d7-ab161e897f23","http://www.cdisc.org"
"Denmark","Code_77","2020-08","Code","DNK","6b2c083d-1c32-4535-adff-7f7e40cb3290","ISO 3166 1 alpha3"
"Study Registry","Code_78","2023-09-29","Code","C93453","991e9f7a-f9eb-430a-9b24-caba6b187711","http://www.cdisc.org"
"Treatment Study","Code_136","2023-09-29","Code","C49656","30d5a45f-c195-48d1-a360-58fb2963de35","http://www.cdisc.org"
"Efficacy Study","Code_137","2023-09-29","Code","C49666","e9060210-df4b-4dfa-ae5e-d5fde8397e2e","http://www.cdisc.org"
"Safety Study","Code_138","2023-09-29","Code","C49667","0c8edf6a-8b79-43d1-881d-f552f183e097","http://www.cdisc.org"
"Pharmacokinetic Study","Code_139","2023-09-29","Code","C49663","f22966ea-9dea-4c4f-a78c-1cbba32dee19","http://www.cdisc.org"
"Mild to Moderate Alzheimer's Disease","Code_133","12","Code","MILD_MOD_ALZ","f4697964-ab70-49ea-b52d-4261afc8ee47","SPONSOR"
"Alzheimer's disease","Code_134","January 31, 2018","Code","26929004","baf41107-6f24-4ad2-a92c-be99beabeed9","SNOMED"
"EXTENSION","Code_142","2023-09-29","Code","C99907x1","44eaefac-8ab0-4fd6-a34f-3b0e1e324709","http://www.cdisc.org"
"ADAPTIVE","Code_143","2023-09-29","Code","C98704","5c69b110-dbd2-400f-a39b-8b39f4407fcd","http://www.cdisc.org"
"Parallel Study","Code_140","2023-09-29","Code","C82639","9d88f7d7-1cb3-4c80-b971-2c6c7fe35bb5","http://www.cdisc.org"
"Visit","Code_82","2023-09-29","Code","C25716","589ef983-93bf-4ee7-8f96-5932b9444d19","http://www.cdisc.org"
"Clinic","Code_83","2023-09-29","Code","C51282","520c2ba6-8f2e-4da4-b9c3-ff5a91659cae","http://www.cdisc.org"
"In Person","Code_84","2023-09-29","Code","C175574","addae55d-b061-43b7-a11e-06cb44327fd1","http://www.cdisc.org"
"Visit","Code_85","2023-09-29","Code","C25716","4fa053b4-43f0-4ef9-b26e-87da787a3b8e","http://www.cdisc.org"
"Clinic","Code_86","2023-09-29","Code","C51282","af590eac-6e7a-4807-9dd2-3afe7bc5edbf","http://www.cdisc.org"
"In Person","Code_87","2023-09-29","Code","C175574","b94ec00f-6fbe-4716-8313-3485ab0ee640","http://www.cdisc.org"
"Visit","Code_88","2023-09-29","Code","C25716","7bd43716-7a0c-4800-a9ed-d5dfc943cd57","http://www.cdisc.org"
"Clinic","Code_89","2023-09-29","Code","C51282","7745b9a4-0ac3-4d1f-9f43-7ad9e8e1d7c2","http://www.cdisc.org"
"In Person","Code_90","2023-09-29","Code","C175574","edd64adf-4945-467d-ae4e-ec9339066920","http://www.cdisc.org"
"Visit","Code_91","2023-09-29","Code","C25716","a435489a-e010-4165-a3fb-7a1fb0e1faf3","http://www.cdisc.org"
"Clinic","Code_92","2023-09-29","Code","C51282","479bae48-b811-4c73-9457-b546da9fb727","http://www.cdisc.org"
"In Person","Code_93","2023-09-29","Code","C175574","e2d67ef0-5f0a-45a1-895d-4758cafa176d","http://www.cdisc.org"
"Visit","Code_94","2023-09-29","Code","C25716","10e78514-d9f4-4ec0-90a3-f10e71c809cd","http://www.cdisc.org"
"Clinic","Code_95","2023-09-29","Code","C51282","ab655016-8938-4edb-94f1-e71e048bd551","http://www.cdisc.org"
"In Person","Code_96","2023-09-29","Code","C175574","a595921a-d357-45dc-95dd-7c91046e7181","http://www.cdisc.org"
