"name","id","description","label","instanceType","uuid:ID"
"E1","Encounter_1","Screening encounter","Screening 1","Encounter","033e1c84-c425-40ff-9506-f047a3280b28"
"E2","Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter","992c1af8-f2d1-4a06-820f-b35d9528c27c"
"E3","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter","5ac6a0c1-4950-4e3c-8f05-c7ba460763e0"
"E4","Encounter_4","Day 14","Week 2","Encounter","0d20aa70-8fa7-407e-806f-a98d858533ac"
"E5","Encounter_5","Day 28","Week 4","Encounter","b5f16ef0-f55a-45cb-b3ce-eeed15b8a846"
"E7","Encounter_6","Day 42","Week 6","Encounter","58a5aadb-92cd-4693-ab5e-85f7b830c46c"
"E8","Encounter_7","Day 56","Week 8","Encounter","49dffb80-1ad4-4c61-a8a4-4be7569c69ce"
"E9","Encounter_8","Day 84","Week 12","Encounter","212c994a-29b9-4984-8134-4bd74e1a8b49"
"E10","Encounter_9","Day 112","Week 16","Encounter","9bb2381d-5fd2-47c7-971f-8c2f7207149e"
"E11","Encounter_10","Day 140","Week 20","Encounter","5d66a74e-4a16-4d48-82ff-8d63d6151c29"
"E12","Encounter_11","Day 168","Week 24","Encounter","a0e851bd-c7c2-476c-bb1d-275b48ab3d1c"
"E13","Encounter_12","Day 182","Week 26","Encounter","9772ff87-d279-461e-af44-d33fb46ae51b"
