"synonyms","name","id","label","reference","instanceType","uuid:ID"
"['Temperature']","Body Temperature","BiomedicalConcept_20","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","86331d11-6edc-4de1-9ee0-5afe4c9ff368"
"['Weight']","Body Weight","BiomedicalConcept_21","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","f5d8cb8a-5f9e-4268-b598-5b73f638094c"
"['Height']","Body Height","BiomedicalConcept_22","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","82f5e2fd-4c46-41a2-828f-506d4c789829"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_23","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","01242d80-91a8-475d-90bf-c633830dd6c3"
"['Albumin']","Albumin Measurement","BiomedicalConcept_24","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","0263d902-de5a-4f8f-8938-bc0c869e8e7b"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_25","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","b234255d-0e1e-40ba-bf75-65489c68d980"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_26","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","487927c8-11a2-4b76-82dd-6625002f8217"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_27","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","75db31f1-5800-45c5-ba19-c153711df8d6"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_28","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","d5f3cf75-f554-4df5-ae1c-dbf41c62940e"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_29","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","879c6bb3-2a6b-40c9-b93f-2abdaed9b576"
