"windowLower","value","name","id","description","label","instanceType","window","uuid:ID","windowUpper"
"","P2W","TIM1","Timing_1","Screening timing","Screening","Timing","","d9810271-ff55-4b1d-97e1-566a165a3388",""
"PT4H","P2D","TIM2","Timing_2","Pre dose timing","Pre dose","Timing","-4..0 hours","05e4492d-0562-45ed-bd8e-85a4dea3441f","PT0H"
"","P1D","TIM3","Timing_3","Dosing anchor","Dosing","Timing","","6b312104-4540-4309-adbd-b8a8f12eaabc",""
"P3D","P2W","TIM4","Timing_4","Week 2 timing","Week 2","Timing","-3..3 days","ec89f546-5489-4d33-9629-c4dd67bc2874","P3D"
"P3D","P4W","TIM5","Timing_5","Week 4 timing","Week 4","Timing","-3..3 days","0785e3ab-acbd-4086-b5c8-b5979412861a","P3D"
"P3D","P6W","TIM6","Timing_6","Week 6 timing","Week 6","Timing","-3..3 days","8a0d5790-67b4-41c3-8dfb-78ce09dc6c29","P3D"
"P3D","P8W","TIM7","Timing_7","Week 8 timing","Week 8","Timing","-3..3 days","2641ab65-4a15-41ac-a016-593537ae98c9","P3D"
"P4D","P12W","TIM9","Timing_9","Week 12 timing","Week 12","Timing","-4..4 days","0d230201-4dce-4705-adce-6f5285ddae31","P4D"
"P4D","P16W","TIM11","Timing_11","Week 16 timing","Week 16","Timing","-4..4 days","c61e437b-4c2e-4859-b0c3-d4ba7a2012d1","P4D"
"P4D","P20W","TIM13","Timing_13","Week 20 timing","Week 20","Timing","-4..4 days","72b925b2-f284-43b4-8b9e-bfa97210bc2f","P4D"
"P4D","P24W","TIM15","Timing_15","Week 24 timing","Week 24","Timing","-4..4 days","ec1d5b05-e693-4446-88cd-a6286fe29ff6","P4D"
"P3D","P26W","TIM16","Timing_16","Week 26 timing","Week 26","Timing","-3..3 days","ba7e8be7-fb4e-4cb4-bac0-479538572a05","P3D"
"","P2W","TIM8","Timing_8","Week 8 at home timing","Week 8 Home","Timing","","0fdd1134-ba4f-4a37-abf6-ec7b40533b3f",""
"","P2W","TIM10","Timing_10","Week 12 at home timing","Week 12 Home","Timing","","d9102394-39f5-480d-a36c-83088a9258bb",""
"","P2W","TIM12","Timing_12","Week 16 at home timing","Week 16 Home","Timing","","1d35e7d2-afa2-4f2a-9d44-5200bf1b8e98",""
"","P2W","TIM14","Timing_14","Week 20 at home timing","Week 20 Home","Timing","","5876c80a-c34a-4b4f-86a3-fd690a9f4866",""
"","P1D","TIM17","Timing_17","Adverse Event","Adverse Event","Timing","","56f86822-8607-43c8-94dd-77748850edcc",""
"","P1D","TIM18","Timing_18","Early Termination","Early Termination","Timing","","e24fd74a-91cc-4fa5-97c9-2eb539bbe747",""
"","PT0M","TIM19","Timing_19","Supine","Supine","Timing","","a1675a14-126b-4e41-a444-6a0110c9e536",""
"","PT5M","TIM20","Timing_20","VS while supine","VS while supine","Timing","","26ebefea-6b8d-4988-9162-34149575498b",""
"","PT0M","TIM21","Timing_21","Standing","Standing","Timing","","948ad0cf-d12d-4cf2-96ab-4dd018e169ac",""
"","PT1M","TIM22","Timing_22","VS while standing","VS while standing","Timing","","6902d56a-0eef-42f9-b8b7-cb82228963a6",""
"","PT0M","TIM23","Timing_23","Standing","Standing","Timing","","070aa1a6-4eef-409c-bea5-070f4a9fdfb1",""
"","PT2M","TIM24","Timing_24","VS while standing","VS while standing","Timing","","3cbf1c7c-69a7-4215-abad-776feddb33c9",""
