"datatype","name","id","isEnabled","label","instanceType","isRequired","uuid:ID"
"decimal","Vital Signs Result","BiomedicalConceptProperty_98","True","Vital Signs Result","BiomedicalConceptProperty","True","3a6ccd17-cd1d-45f5-ada0-7523e36161be"
"string","Unit of Temperature","BiomedicalConceptProperty_99","True","Unit of Temperature","BiomedicalConceptProperty","True","5650914e-21cc-4b61-87e3-a4c11b99fba8"
"string","Vital Signs Location","BiomedicalConceptProperty_100","True","Vital Signs Location","BiomedicalConceptProperty","True","1c188b4f-9def-4152-a749-08d4ff27927e"
"decimal","Vital Signs Result","BiomedicalConceptProperty_101","True","Vital Signs Result","BiomedicalConceptProperty","True","9a54d7a6-5628-4b9f-b8b8-26c867f95b4c"
"string","Unit of Weight","BiomedicalConceptProperty_102","True","Unit of Weight","BiomedicalConceptProperty","True","c4c8fe9c-4ba6-44e4-b31b-66edd380a749"
"decimal","Vital Signs Result","BiomedicalConceptProperty_103","True","Vital Signs Result","BiomedicalConceptProperty","True","d7dbddc0-c4a5-4501-adb4-0fc61809eaee"
"string","Unit of Height","BiomedicalConceptProperty_104","True","Unit of Height","BiomedicalConceptProperty","True","b066e580-6484-42c9-ac54-6fada6ea9b4d"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_105","True","Laboratory Test Result","BiomedicalConceptProperty","True","4957f3de-df6a-4f64-8235-02fb3c6d3c2f"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_106","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","True","8fa544eb-80ff-4f8d-93a9-6729328ad0dc"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","True","c2d7d7cf-fb2b-46c2-bad9-1bf85004e47c"
"string","Biospecimen Type","BiomedicalConceptProperty_108","True","Biospecimen Type","BiomedicalConceptProperty","True","f5389e8f-dff1-4e78-bcab-76499dc0816e"
"string","Laboratory Test Result","BiomedicalConceptProperty_109","True","Laboratory Test Result","BiomedicalConceptProperty","True","1831a0b5-d4ea-4164-a868-4ad5324f2905"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_110","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","True","ebe4f925-bc93-4a3e-9db6-771a93bd5ab9"
"string","Unit of Concentration","BiomedicalConceptProperty_111","True","Unit of Concentration","BiomedicalConceptProperty","True","393abc4e-098f-49b8-b09e-2cc930def4a0"
"string","Biospecimen Type","BiomedicalConceptProperty_112","True","Biospecimen Type","BiomedicalConceptProperty","True","f5c00902-069c-499d-8bcd-9a22fad0e8c0"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_113","True","Laboratory Test Result","BiomedicalConceptProperty","True","859c8f99-c763-47bf-b556-f1c6633525b4"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_114","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","True","b9607965-024d-4202-a8fb-5a3a6c4c9023"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_115","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","True","74955bec-f9b7-48cf-8359-407d7539bbe2"
"string","Biospecimen Type","BiomedicalConceptProperty_116","True","Biospecimen Type","BiomedicalConceptProperty","True","5ddd29b4-2bee-4469-8169-d10403d74c82"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_117","True","Laboratory Test Result","BiomedicalConceptProperty","True","a27cdc91-7371-4083-9413-51654357a01a"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_118","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","True","410c137d-5ab3-491d-ade3-b52ee6dcf6c0"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_119","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","True","ebb4ae00-5ad8-4b2b-afab-758bd515105f"
"string","Biospecimen Type","BiomedicalConceptProperty_120","True","Biospecimen Type","BiomedicalConceptProperty","True","81859e1b-9b95-481f-b113-fe1835a4092e"
"string","Laboratory Test Result","BiomedicalConceptProperty_121","True","Laboratory Test Result","BiomedicalConceptProperty","True","4e881821-c68c-4299-ba66-f89c50116edc"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_122","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","True","47ece3c9-d5f2-47ac-9b77-ebceb27189e7"
"string","Unit of Concentration","BiomedicalConceptProperty_123","True","Unit of Concentration","BiomedicalConceptProperty","True","7b0717e9-d001-4b2b-904c-a8470e0c7fcf"
"string","Biospecimen Type","BiomedicalConceptProperty_124","True","Biospecimen Type","BiomedicalConceptProperty","True","f8289c06-26ec-4ed5-909a-02ca6aa071dc"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_125","True","Laboratory Test Result","BiomedicalConceptProperty","True","e0f5b6fb-ca25-4383-9ec8-9507254d728c"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_126","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","True","f0580fd2-db5f-4a5a-a1ea-8bb61c32e069"
"string","Molarity Unit","BiomedicalConceptProperty_127","True","Molarity Unit","BiomedicalConceptProperty","True","8fd16da1-3c05-4236-bd90-102356449b7c"
"string","Biospecimen Type","BiomedicalConceptProperty_128","True","Biospecimen Type","BiomedicalConceptProperty","True","7ac38e94-0aad-454d-aff9-61004826f08c"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_129","True","Laboratory Test Result","BiomedicalConceptProperty","True","b479468a-f965-4eb2-8fac-7299232d0eca"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_130","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","True","7b47e5b9-8e7d-4b64-bfed-995fbce15047"
"string","Molarity Unit","BiomedicalConceptProperty_131","True","Molarity Unit","BiomedicalConceptProperty","True","a064e071-5937-441e-b272-26e48d2c3eb4"
"string","Biospecimen Type","BiomedicalConceptProperty_132","True","Biospecimen Type","BiomedicalConceptProperty","True","4602e490-8095-49c5-8c27-617c9c404956"
"string","Adverse Event Verbatim Description","BiomedicalConceptProperty_1","True","Adverse Event Verbatim Description","BiomedicalConceptProperty","True","5dda87cc-28f4-4256-b3ec-e5e29d60ecc2"
"string","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2","True","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty","True","608cb98f-8e48-42fa-bcd1-80a968d67359"
"string","Adverse Event Category","BiomedicalConceptProperty_3","True","Adverse Event Category","BiomedicalConceptProperty","True","f07f1508-4354-48c1-bd74-f80a20d094b3"
