"description","uuid:ID","timingWindowLower","timingValue","timingWindowUpper","label","id","name","timingWindow"
"Screening timing","66a6199a-fb2d-45b1-b884-b5f183e274f1","","P2W","","Screening","Timing_1","TIM1",""
"Pre dose timing","9e23b9c7-6f8d-480a-8262-c5104a856b9b","PT4H","P2D","PT0H","Pre dose","Timing_2","TIM2","-4..0 hours"
"Dosing anchor","d899a36e-cc25-424e-bdfd-8110b626bed8","","P1D","","Dosing","Timing_3","TIM3",""
"Week 2 timing","fe56254b-5681-4753-8d4b-3ff07c8347df","P3D","P2W","P3D","Week 2","Timing_4","TIM4","-3..3 days"
"Week 4 timing","56db81a3-aa37-47cf-a52e-b737d1a890ba","P3D","P4W","P3D","Week 4","Timing_5","TIM5","-3..3 days"
"Week 6 timing","35a8034b-9041-40db-a080-e4afd36e2577","P3D","P6W","P3D","Week 6","Timing_6","TIM6","-3..3 days"
"Week 8 timing","2adaef20-9db3-4bd9-b48e-ef73e2dfde9a","P3D","P8W","P3D","Week 8","Timing_7","TIM7","-3..3 days"
"Week 8 at home timing","04538c43-9892-4698-9c46-491177f101c3","","P2W","","Week 8 Home","Timing_8","TIM8",""
"Week 12 timing","9117f906-68bb-4cb4-a6d2-d521c80a9e5a","P4D","P12W","P4D","Week 12","Timing_9","TIM9","-4..4 days"
"Week 12 at home timing","b1e85396-05c3-4ccf-9669-9262a8d966e6","","P2W","","Week 12 Home","Timing_10","TIM10",""
"Week 16 timing","7436894f-cdf7-4782-805b-faff185841dc","P4D","P16W","P4D","Week 16","Timing_11","TIM11","-4..4 days"
"Week 16 at home timing","e427525a-4419-4e99-89e0-c8e576f9fdb9","","P2W","","Week 16 Home","Timing_12","TIM12",""
"Week 20 timing","380e9cd9-da36-4f60-a5b8-fd559f39c574","P4D","P20W","P4D","Week 20","Timing_13","TIM13","-4..4 days"
"Week 20 at home timing","dcfb94ca-b88c-4b0b-88c5-0282ade40575","","P2W","","Week 20 Home","Timing_14","TIM14",""
"Week 24 timing","b704a422-0ee9-4750-93dd-b921d48c233f","P4D","P24W","P4D","Week 24","Timing_15","TIM15","-4..4 days"
"Week 26 timing","7684dce7-47ad-4d0c-82e0-be06ffb0e901","P3D","P26W","P3D","Week 26","Timing_16","TIM16","-3..3 days"
"Adverse Event","dba57034-08c4-4a88-82c3-25d87d8f9e2e","","P1D","","Adverse Event","Timing_17","TIM17",""
"Early Termination","cc0aff71-b3e2-48fe-b5f7-affb6f6edcd2","","P1D","","Early Termination","Timing_18","TIM18",""
"BP Anchor","98773fd3-a9dd-47ae-aefd-d9f1d7357774","","PT0M","","BP Anchor","Timing_19","TIM19",""
"BP while Supine","5d592446-e186-47ae-8e06-f7ea97f217a1","","PT5M","","BP while Supine","Timing_20","TIM20",""
"BP Stand Up","6902b4b2-f5c1-4ba6-b98b-d25d79e4ced7","PT2M","PT3M","PT0M","BP Stand Up","Timing_21","TIM21","-2..0 mins"
"BP while standing","50b305ba-ccb4-450a-ae24-1ee5f11f5a4d","","PT0M","","BP while standing","Timing_22","TIM22",""
