"uuid:ID","name","id","text"
"e382943d-ba89-4813-ad94-268f94494079","ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier"
"0359ee51-0269-489a-b554-d86cec1c076a","ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities"
"f416fade-5db8-4ea1-9f26-cbc9ea1d407c","ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"a3077420-2e14-4351-8263-fce1aacd782f","ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"226be376-dcff-4bd3-b8a9-2b1481f2ecf5","ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized"
"b2e2fb7c-6212-46ed-8840-8d0a78d56808","ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment"
"78dfe9ca-42a2-4000-9070-dbc9afc507f2","ELEMENT_START_RULE_1","TransitionRule_7","Informed consent"
"dbb606e1-48a8-42db-ae43-3410c12519ba","ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"81cb2c74-b0d2-4663-a3bf-dca18442f207","ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose"
"d91653e1-08ff-4d0d-8d2a-f23d8d87adf1","ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"a831d947-9b2b-4942-a8e6-a2ae1ae3fc6e","ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"4cd8d676-387a-487b-8d03-b9f88bc27f36","ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose"
"a879fabd-a206-4929-9f70-f2eb6d86ea59","ELEMENT_START_RULE_4","TransitionRule_11","Randomized"
"a7c0d89f-21da-4ed1-87eb-0264ea186cca","ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"b83ec996-2bb2-4b80-86aa-73364b41c4f0","ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
