"uuid:ID","label","id","bcSynonyms","name","bcReference"
"fc6d7d73-ddec-4fe3-b6ad-0a8bde6f139b","Body Temperature","BiomedicalConcept_18","['Temperature']","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"a1531980-a544-4e5b-8cae-7afd597b0666","Body Weight","BiomedicalConcept_19","['Weight']","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"c063f11e-7a53-4978-a6f6-96ebfe56382c","Body Height","BiomedicalConcept_20","['Height']","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"6ec201d1-96d7-4d3f-9a5d-4cf007e129f3","Alanine Aminotransferase Measurement","BiomedicalConcept_21","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"118806bb-362e-45c8-874d-7dea3194c7c7","Albumin Measurement","BiomedicalConcept_22","['Albumin']","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"cd3faffd-b9cf-4590-8666-25a0cd9579f9","Alkaline Phosphatase Measurement","BiomedicalConcept_23","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"0ccf37ad-efe5-4752-97fc-10039382a515","Aspartate Aminotransferase Measurement","BiomedicalConcept_24","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"618f6c99-0c73-44ef-9f2a-e908e99e141b","Creatinine Measurement","BiomedicalConcept_25","['Creatinine']","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"370b6676-a3d7-4ac3-a02f-80745e2a2001","Potassium Measurement","BiomedicalConcept_26","['Potassium', 'K']","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"406b242a-b0ec-4079-aac0-429ddfbd9fc0","Sodium Measurement","BiomedicalConcept_27","['Sodium', 'NA']","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
