"sectionTitle","uuid:ID","id","sectionNumber","name","text"
"Root","5d7cfc3b-f988-403b-a00c-8ebece85f1e3","NarrativeContent_1","0","ROOT",""
"TITLE PAGE","a75a79ea-1dbe-4d78-8295-742e2364d323","NarrativeContent_2","0","SECTION 0","<div><usdm:section name=""M11-title-page""></div>"
"PROTOCOL SUMMARY","9c5ea1cd-d1c3-44ce-ad5c-f16a6af1f71d","NarrativeContent_3","1","SECTION 1","<div></div>"
"Protocol Synopsis","6775b9f6-d89f-470c-80a0-35872d08ad35","NarrativeContent_4","1.1","SECTION 1.1","<div></div>"
"Trial Schema","50c59db8-f5bd-40db-a572-ca99872f33f1","NarrativeContent_5","1.2","SECTION 1.2","<div></div>"
"Schedule of Activities","a48e5ae2-b924-4384-8675-3f97ea1ddd51","NarrativeContent_6","1.3","SECTION 1.3","<div></div>"
"INTRODUCTION","a48b47c0-849b-499f-8ef7-7f5631796460","NarrativeContent_7","2","SECTION 2","<div></div>"
"Purpose of Trial","b82cd677-66b2-46f0-8194-a0a83e84531e","NarrativeContent_8","2.1","SECTION 2.1","<div></div>"
"Summary of Benefits and Risks","7540bc63-0a31-473d-80a1-fd51208dcf0f","NarrativeContent_9","2.2","SECTION 2.2","<div></div>"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","5ad230d6-4df9-4066-925f-70056ea4116c","NarrativeContent_10","3","SECTION 3","<div></div>"
"Primary Objectives","5415bea7-d660-4e4d-bf52-eeb624a88a8b","NarrativeContent_11","3.1","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>"
"TRIAL DESIGN","461fa66d-43a3-48c6-b4d9-9a95a6630f15","NarrativeContent_12","4","SECTION 4","<div></div>"
"Description of Trial Design","aad8b9c7-b282-4f7a-8d1f-7fcb08191035","NarrativeContent_13","4.1","SECTION 4.1","<div></div>"
"Participant Input into Design","de56a10f-a322-48fb-a744-5097e5a8e0ff","NarrativeContent_14","4.1.1","SECTION 4.1.1","<div></div>"
"Rationale for Trial Design","097e653f-afdc-4649-ae9c-ed621c5a6f83","NarrativeContent_15","4.2","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"Rationale for Comparator","26635e4d-f3bb-465d-9239-33733e636674","NarrativeContent_16","4.2.1","SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"Rationale for Adaptive or Novel Trial Design","2c88b25c-2bc2-4132-b020-434a7a03d133","NarrativeContent_17","4.2.2","SECTION 4.2.2","<div></div>"
"Other Trial Design Considerations","b46630a7-fa4b-47d3-9d78-909e5d5f97a9","NarrativeContent_18","4.2.3","SECTION 4.2.3","<div></div>"
"Access to Trial Intervention After End of Trial","a8e34c15-2884-46c3-93fc-69d4ae40f48a","NarrativeContent_19","4.3","SECTION 4.3","<div></div>"
"Start of Trial and End of Trial","a5bd4ae8-2c3f-4910-b426-57b8e511bd37","NarrativeContent_20","4.4","SECTION 4.4","<div></div>"
"TRIAL POPULATION","14fed3f3-9fd0-40de-a91a-2a793e9de9a8","NarrativeContent_21","5","SECTION 5","<div></div>"
