"description","uuid:ID","label","id","name"
"Screening encounter","ea5744a5-d3c4-4471-9090-bbfc1d5f08d4","Screening 1","Encounter_1","E1"
"Screening encounter - Ambulatory ECG Placement","77c344f6-30db-439b-bee3-e45880e59682","Screening 2","Encounter_2","E2"
"Baseline encounter - Ambulatory ECG Removal","3b999b28-31e8-4838-aa28-d3a1516e5701","Baseline","Encounter_3","E3"
"Day 14","6cb104ba-bfc1-4f24-815e-72b47faffde3","Week 2","Encounter_4","E4"
"Day 28","be2e4d8d-3750-4fc4-a8bd-66a64d3ef329","Week 4","Encounter_5","E5"
"Day 42","9282351f-832c-4c32-8194-ee96f3a13c2e","Week 6","Encounter_6","E7"
"Day 56","1955c8f5-6812-47fb-b945-fab01dcd15fb","Week 8","Encounter_7","E8"
"Day 84","3b0c7c11-2542-4d09-82a4-51b716e037ab","Week 12","Encounter_8","E9"
"Day 112","33910973-cf94-46e2-a6b5-173993ec998a","Week 16","Encounter_9","E10"
"Day 140","09a87745-e110-49fc-b0cb-7258b98abda4","Week 20","Encounter_10","E11"
"Day 168","f4b6e402-13c9-4e90-a859-3f8ef2b83a29","Week 24","Encounter_11","E12"
"Day 182","41185c8d-b8e4-49fe-9df5-a8d91a301934","Week 26","Encounter_12","E13"
