"codeSystem","uuid:ID","decode","codeSystemVersion","id","code"
"http://www.cdisc.org","db3f3c0d-6fa1-442d-bced-73563922b68e","Interventional Study","2023-09-29","Code_1","C98388"
"http://www.cdisc.org","a75e0346-327e-4525-a8e0-c8f5ea2f9248","Phase II Trial","2023-09-29","Code_2","C15601"
"http://www.cdisc.org","2b3a5493-8375-427e-9d29-09dcafe96f26","Sponsor Approval Date","2023-09-29","Code_5","C132352"
"http://www.cdisc.org","897362eb-131c-4e87-960b-370a85b681cd","Global","2023-09-29","Code_6","C68846"
"http://www.cdisc.org","c63bcfd0-7fe7-4919-ae60-af1aac638e12","IRB/IEC Feedback","2023-09-29","Code_54","C99904x3"
"http://www.cdisc.org","42bc8201-4512-4378-81ad-aa3c22def9a9","Other","2023-09-29","Code_55","C17649"
"http://www.cdisc.org","0f45c5a3-e602-4506-ad3f-573fbeceadf3","Region","2023-09-29","Code_57","C41129"
"ISO 3166 1 alpha3","8a41a9b1-48d0-40c0-89bc-ffa9af528ce5","Europe","2020-08","Code_56","150"
"SPONSOR","a7794a7c-658f-4ee1-b571-3d8a14705202","Eli Lilly","12","Code_3","PHARMA"
"http://www.cdisc.org","aed5eb5d-c08f-43fe-bf6b-5d87b05a519f","Clinical Study Sponsor","2023-09-29","Code_58","C70793"
"ISO 3166 1 alpha3","35ce2948-04eb-41f9-831e-d3c363dafe7d","United States of America","2020-08","Code_59","USA"
"http://www.cdisc.org","11baae7f-413f-4829-8a20-9520e0b85304","Study Registry","2023-09-29","Code_60","C93453"
"http://www.cdisc.org","36cc69ca-7695-42b4-8e34-9bfa088925dd","Treatment Study","2023-09-29","Code_118","C49656"
"http://www.cdisc.org","6f9a450b-ca16-448d-ab4c-feb0489ba844","Efficacy Study","2023-09-29","Code_119","C49666"
"http://www.cdisc.org","54a2a5a6-72ff-4133-8f43-5c6cafb2e7e8","Safety Study","2023-09-29","Code_120","C49667"
"http://www.cdisc.org","a0593b4d-7008-452d-96f3-65a54bd9c053","Pharmacokinetic Study","2023-09-29","Code_121","C49663"
"SPONSOR","e9f321ae-6e23-480d-8b1f-f22ef08dc0cb","Mild to Moderate Alzheimer\'s Disease","12","Code_115","MILD_MOD_ALZ"
"SNOMED","351e9a7c-551a-456c-9400-c58c81a6ab0b","Alzheimer\'s disease","January 31, 2018","Code_116","26929004"
"http://www.cdisc.org","6ee4f489-18d3-4b94-9397-f736f52249d9","Parallel Study","2023-09-29","Code_122","C82639"
"http://www.cdisc.org","0e5a9862-53fa-4765-9d79-7fcfc6b5e097","Visit","2023-09-29","Code_64","C25716"
"http://www.cdisc.org","c22b2336-e58d-457d-bc6c-7d8a07977376","Clinic","2023-09-29","Code_65","C51282"
"http://www.cdisc.org","e4a5f4c7-645f-40e6-a3d6-33883f07bbaf","In Person","2023-09-29","Code_66","C175574"
"http://www.cdisc.org","168a9504-aaa4-4fcf-96b5-bff9bcc85a49","Visit","2023-09-29","Code_67","C25716"
"http://www.cdisc.org","a99792f9-d065-4aa5-b376-1505f7dc6aab","Clinic","2023-09-29","Code_68","C51282"
"http://www.cdisc.org","3564d5e6-509f-4722-b0f1-1ecaa68a4c3e","In Person","2023-09-29","Code_69","C175574"
