"synonyms","label","id","uuid:ID","name","reference","instanceType"
"['Temperature']","Body Temperature","BiomedicalConcept_20","2dbbba56-3809-4bf5-adcf-4ea4db4e2b33","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept"
"['Weight']","Body Weight","BiomedicalConcept_21","4245e499-5dfc-4cc1-9ad7-65073d627594","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept"
"['Height']","Body Height","BiomedicalConcept_22","37a65025-0e1f-4477-9984-4e4056c92aaf","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_23","604a1840-b74f-4a2b-a118-498bfebcf33b","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept"
"['Albumin']","Albumin Measurement","BiomedicalConcept_24","a7f48efe-8ce3-4bd9-84e9-235a8f109182","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_25","d1280a62-bfa7-42ef-a510-d8f08389cfe5","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_26","a9e52189-023e-4182-ae13-2965b33d9c0a","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_27","e36c5898-4f1c-459c-b17f-403bd4aa9b0d","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_28","d1e300d0-6eeb-4bff-b5a1-5175d5f3ab93","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_29","d350af4a-07a1-48fc-ad8a-6fb7a6a1afa1","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept"
"['Adverse Event Reported Term', 'AETERM']","Adverse Event","BiomedicalConcept_1","67f702c1-4f51-43e4-999d-eb8c8da7d996","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_2","efda8a0d-a1e7-46e3-8a30-c7f7a9675724","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_3","ae086ead-4be3-4a13-9da7-ee2a8e9bcca8","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept"
"['Temperature']","Body Temperature","BiomedicalConcept_4","1ac8d3ab-44f9-43b0-9981-81f6b74f0f97","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept"
"['Weight']","Body Weight","BiomedicalConcept_5","5db11e13-bf78-4f96-81c4-174cfbf06c59","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept"
"['Height']","Body Height","BiomedicalConcept_6","fec05df2-da88-43d2-aff3-70a13f8c39fe","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_7","1dac53a6-a1ba-46e2-b62d-95f84f0dee23","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept"
"['Albumin']","Albumin Measurement","BiomedicalConcept_8","0545e9ce-3e3a-494b-858d-091ca9cae44f","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_9","96b589ed-233d-4938-a357-e0c1a6026020","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","3cec80dd-81ac-416e-b989-b31d462eb3d9","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_11","428586b7-b83e-4787-818c-dec4f58ec579","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_12","bc920e82-6b3b-478d-9924-8057ff78732c","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_13","105867fe-d710-4d02-b6f5-9dc35d199df8","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_14","9df80da2-0492-4a84-9267-a9a1ea284aad","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_15","496841af-c746-4d6b-8988-3d5a83e3292d","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept"
"","Heart Rate","BiomedicalConcept_16","226c24a4-4dee-46c8-97b4-a9767de5c7f7","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_17","cead1cfd-2ea1-478b-bf52-346bd6018370","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_18","818bc0c0-c7b4-49e7-9640-d3b85f2f44b5","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept"
"","Heart Rate","BiomedicalConcept_19","98a52275-4c95-4d4c-ae9c-1929a267574d","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept"
