"description","label","id","uuid:ID","name","instanceType"
"Screening encounter","Screening 1","Encounter_1","df110398-654c-4f6a-a294-02720a889f7e","E1","Encounter"
"Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter_2","8b2a8d90-4ff6-4c1d-ae76-31cc3c03b81a","E2","Encounter"
"Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter_3","a6786708-f3c1-43d2-9275-9e70bb50349e","E3","Encounter"
"Day 14","Week 2","Encounter_4","34bfa31d-2c1e-4fc5-84e9-1311e45169a7","E4","Encounter"
"Day 28","Week 4","Encounter_5","c5d42efe-254d-4f75-875b-308937572cd8","E5","Encounter"
"Day 42","Week 6","Encounter_6","d246a4de-9c38-4918-9714-cabae2a0f8c2","E7","Encounter"
"Day 56","Week 8","Encounter_7","b7b41772-027c-446d-b8c9-6d1161be948d","E8","Encounter"
"Day 84","Week 12","Encounter_8","591c3f56-ae43-48b8-aa2c-5cc335d64f1f","E9","Encounter"
"Day 112","Week 16","Encounter_9","c1e07835-4d4a-4f1d-97fa-d72b751e86f0","E10","Encounter"
"Day 140","Week 20","Encounter_10","7ceabdfa-0eee-4a33-a816-f5339c7fa389","E11","Encounter"
"Day 168","Week 24","Encounter_11","2ac9b3ab-8ec5-4e08-ac0a-a9e9f46eb4a6","E12","Encounter"
"Day 182","Week 26","Encounter_12","68c55f38-1a3d-4bdd-b06e-ee83cfa11347","E13","Encounter"
