"id","uuid:ID","sectionTitle","name","text","instanceType","sectionNumber"
"NarrativeContent_1","40b17163-ca0e-463f-bf01-545250b52daf","Root","ROOT","","NarrativeContent","0"
"NarrativeContent_2","ed664ed9-17be-43b2-9198-c651935e11b9","TITLE PAGE","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent","0"
"NarrativeContent_3","469c746c-5dcd-494f-a8d8-a6bb17885c63","PROTOCOL SUMMARY","SECTION 1","<div></div>","NarrativeContent","1"
"NarrativeContent_4","718eb09f-ebb2-450f-a724-8ca0a90f72e0","Protocol Synopsis","SECTION 1.1","<div></div>","NarrativeContent","1.1"
"NarrativeContent_5","0112bfd4-8a2a-4629-8176-7bca98b79ca0","Trial Schema","SECTION 1.2","<div></div>","NarrativeContent","1.2"
"NarrativeContent_6","e659582c-8520-4aa5-a737-5c6e5ea856c6","Schedule of Activities","SECTION 1.3","<div></div>","NarrativeContent","1.3"
"NarrativeContent_7","d6ea5ea5-adc8-45d4-934f-104057f756bb","INTRODUCTION","SECTION 2","<div></div>","NarrativeContent","2"
"NarrativeContent_8","1e6ea730-9bfa-4292-8f75-4145717008e7","Purpose of Trial","SECTION 2.1","<div></div>","NarrativeContent","2.1"
"NarrativeContent_9","f6707c76-4757-4291-b3b1-5b73b37f975c","Summary of Benefits and Risks","SECTION 2.2","<div></div>","NarrativeContent","2.2"
"NarrativeContent_10","fb65766c-71a0-4fc9-b3a1-f119b7c25d2b","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","<div></div>","NarrativeContent","3"
"NarrativeContent_11","9bdd058e-7104-4164-99d0-a7829cd07a2e","Primary Objectives","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent","3.1"
"NarrativeContent_12","44eab2e9-a838-4553-9da0-c95253e23df6","TRIAL DESIGN","SECTION 4","<div></div>","NarrativeContent","4"
"NarrativeContent_13","183ed2cc-ec1f-4125-8bc6-7fea8fcc771c","Description of Trial Design","SECTION 4.1","<div></div>","NarrativeContent","4.1"
"NarrativeContent_14","4c84dad5-9a70-419b-9873-a3a01c1c6235","Participant Input into Design","SECTION 4.1.1","<div></div>","NarrativeContent","4.1.1"
"NarrativeContent_15","9dee2cf8-3a61-4053-bf66-a0cad9fa0692","Rationale for Trial Design","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent","4.2"
"NarrativeContent_16","db7f5fc7-632e-4ef5-8532-f2391566d4ee","Rationale for Comparator","SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent","4.2.1"
"NarrativeContent_17","ab1b6e4a-7c90-4b94-88fe-a50326e7b902","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","<div></div>","NarrativeContent","4.2.2"
"NarrativeContent_18","f518b759-f43e-46be-9b6b-2df47c6c5177","Other Trial Design Considerations","SECTION 4.2.3","<div></div>","NarrativeContent","4.2.3"
"NarrativeContent_19","5162d79d-8a8e-473f-8441-9e2d20ba3bab","Access to Trial Intervention After End of Trial","SECTION 4.3","<div></div>","NarrativeContent","4.3"
"NarrativeContent_20","38b08850-82d2-444d-b781-1fb980a02517","Start of Trial and End of Trial","SECTION 4.4","<div></div>","NarrativeContent","4.4"
"NarrativeContent_21","a056f79c-93bb-4422-b4ee-55c444be5b17","TRIAL POPULATION","SECTION 5","<div></div>","NarrativeContent","5"
"NarrativeContent_22","8977f9c0-faa8-4a89-aee9-f7f86634ffd7","Selection of Trial Population","SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent","5.1"
"NarrativeContent_23","b476f442-50ac-47e3-a8a2-45c4e2b06df4","Rationale for Trial Population","SECTION 5.2","<div></div>","NarrativeContent","5.2"
"NarrativeContent_24","8dd9d606-d60f-49fe-b95b-94d2bdb24740","Inclusion Criteria","SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent","5.3"
"NarrativeContent_25","23752429-032b-4186-99e6-99ec5f216db8","Exclusion Criteria","SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent","5.4"
"NarrativeContent_26","cefd2095-97e4-4202-9bd8-26851cf4face","Lifestyle Considerations","SECTION 5.5","<div></div>","NarrativeContent","5.5"
"NarrativeContent_27","b7fbb76e-0029-4d51-8e8f-df9e36c9478d","Meals and Dietary Restrictions","SECTION 5.5.1","<div></div>","NarrativeContent","5.5.1"
"NarrativeContent_28","265da7ef-19f7-4754-b33f-cd9af0a58a72","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","<div><p>Not applicable</p></div>","NarrativeContent","5.5.2"
"NarrativeContent_29","00bc9476-b83e-4905-8d11-c16624c69ecf","Physical Activity","SECTION 5.5.3","<div></div>","NarrativeContent","5.5.3"
"NarrativeContent_30","48294639-bb78-4ec6-977f-7aad6dc2a154","Other Activity","SECTION 5.5.4","<div></div>","NarrativeContent","5.5.4"
"NarrativeContent_31","4f467eae-1ca5-4789-8378-d43fad26c013","Screen Failures","SECTION 5.6","<div></div>","NarrativeContent","5.6"
"NarrativeContent_32","5c566b54-80f8-430c-a7c9-dd7fb26bd42d","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","<div></div>","NarrativeContent","6"
"NarrativeContent_33","0033b9a0-e3eb-48e6-809d-c015d9b70565","Description of Trial Intervention","SECTION 6.1","<div></div>","NarrativeContent","6.1"
"NarrativeContent_34","374ce86f-ca21-40c1-b782-d1d8f9561262","Rationale for Trial Intervention","SECTION 6.2","<div></div>","NarrativeContent","6.2"
"NarrativeContent_35","dae2e198-e6ec-4c83-954b-d72077b613f8","Dosing and Administration","SECTION 6.3","<div></div>","NarrativeContent","6.3"
"NarrativeContent_36","7677a640-db10-4821-84df-fc5f10117147","Trial Intervention Dose Modification","SECTION 6.3.1","<div></div>","NarrativeContent","6.3.1"
"NarrativeContent_37","62fdf650-3e4c-4e9d-98d3-0b8092e5ced7","Treatment of Overdose","SECTION 6.4","<div></div>","NarrativeContent","6.4"
"NarrativeContent_38","a64084ad-55ce-4ebd-88c5-f014119307cb","Preparation, Handling, Storage and Accountability","SECTION 6.5","<div></div>","NarrativeContent","6.5"
"NarrativeContent_39","76081c40-2c03-4295-b888-889bddb8e360","Preparation of Trial Intervention","SECTION 6.5.1","<div></div>","NarrativeContent","6.5.1"
"NarrativeContent_40","f36d061d-4da0-47ff-823c-70173eee04f7","Handling and Storage of Trial Intervention","SECTION 6.5.2","<div></div>","NarrativeContent","6.5.2"
"NarrativeContent_41","29f8f090-ea2e-44ec-96be-4ece19d790ac","Accountability of Trial Intervention","SECTION 6.5.3","<div></div>","NarrativeContent","6.5.3"
"NarrativeContent_42","c1d3e615-e812-40c5-9a03-4d069c61a8e7","Participant Assignment, Randomisation and Blinding","SECTION 6.6","<div></div>","NarrativeContent","6.6"
"NarrativeContent_43","8d059a56-7a87-4faa-a311-7bb0b80e8c9f","Participant Assignment","SECTION 6.6.1","<div></div>","NarrativeContent","6.6.1"
"NarrativeContent_44","1ad525e0-b1e0-4ebd-9574-9a7855684b8b","Randomisation","SECTION 6.6.2","<div></div>","NarrativeContent","6.6.2"
