"id","uuid:ID","name","text","instanceType"
"TransitionRule_1","d0414827-f03e-44b4-b553-d1f0f19e5229","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule"
"TransitionRule_2","9f415866-5ce2-4850-9876-3ba5e821430f","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule"
"TransitionRule_3","19352ff8-fe64-4a8f-a231-9908c4b7a078","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"TransitionRule_4","6627e804-47de-424a-8eff-27894c4d02ea","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule"
"TransitionRule_5","c99ded90-9fc3-47bd-bb0e-17eadd2dce35","ENCOUNTER_START_RULE_3","Radomized","TransitionRule"
"TransitionRule_6","4715588f-00f2-47ad-b96b-12bfa92b9314","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule"
"TransitionRule_7","d99e4a62-ff65-4e32-b34d-3e3bcaa68338","ELEMENT_START_RULE_1","Informed consent","TransitionRule"
"TransitionRule_8","3149acd1-0216-408f-b2e5-f60097658319","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"TransitionRule_9","b97f7568-e76d-4fba-a2dd-9224a7bc4528","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule"
"TransitionRule_14","3ab83db5-9965-491c-80bd-6d1ffb615d4e","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule"
"TransitionRule_15","187a736b-5a33-49d9-a334-047629d7aef0","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"TransitionRule_10","4daef8de-0d16-4621-8a18-2267a49eb12f","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule"
"TransitionRule_11","69d3906c-34a9-4296-a943-9aafb0dbed4a","ELEMENT_START_RULE_4","Randomized","TransitionRule"
"TransitionRule_12","17337bc9-c915-4c36-bcab-21927158e72c","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"TransitionRule_13","cee4e59b-43b7-4495-b526-e294632d32e2","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
