"value","description","label","id","windowLower","uuid:ID","windowUpper","name","window","instanceType"
"P2W","Screening timing","Screening","Timing_1","","1f7c5a60-2484-4809-8d2a-f36395308878","","TIM1","","Timing"
"P2D","Pre dose timing","Pre dose","Timing_2","PT4H","5b99e8ac-6d4d-403a-934e-1bd3bde90ba5","PT0H","TIM2","-4..0 hours","Timing"
"P1D","Dosing anchor","Dosing","Timing_3","","400fcd22-f13b-4a33-8399-4f935d709faa","","TIM3","","Timing"
"P2W","Week 2 timing","Week 2","Timing_4","P3D","b7692443-2130-4f52-930d-d14e17eaefa7","P3D","TIM4","-3..3 days","Timing"
"P4W","Week 4 timing","Week 4","Timing_5","P3D","b798f059-14c4-436f-9255-0b6ac86316db","P3D","TIM5","-3..3 days","Timing"
"P6W","Week 6 timing","Week 6","Timing_6","P3D","cb81c432-85fa-4f79-abb4-037f55112133","P3D","TIM6","-3..3 days","Timing"
"P8W","Week 8 timing","Week 8","Timing_7","P3D","85f2f683-4a78-4829-bb22-00500122206a","P3D","TIM7","-3..3 days","Timing"
"P12W","Week 12 timing","Week 12","Timing_9","P4D","9ac7f67f-1cb6-4f3a-966d-e1ce66dda6fb","P4D","TIM9","-4..4 days","Timing"
"P16W","Week 16 timing","Week 16","Timing_11","P4D","12daf87e-29a9-4efb-8a4e-8cb18d9a8470","P4D","TIM11","-4..4 days","Timing"
"P20W","Week 20 timing","Week 20","Timing_13","P4D","4b417ba1-d922-4ed6-8c6b-77248bc469bf","P4D","TIM13","-4..4 days","Timing"
"P24W","Week 24 timing","Week 24","Timing_15","P4D","88cc5467-f3fd-4887-af5c-3ca2b2e03901","P4D","TIM15","-4..4 days","Timing"
"P26W","Week 26 timing","Week 26","Timing_16","P3D","1565c4f0-edbb-4027-b647-a2429d67041f","P3D","TIM16","-3..3 days","Timing"
"P2W","Week 8 at home timing","Week 8 Home","Timing_8","","bb6503cf-5411-48fd-9aa5-ed5ae249a01a","","TIM8","","Timing"
"P2W","Week 12 at home timing","Week 12 Home","Timing_10","","c162e068-ae09-47f0-82c8-1540f7113837","","TIM10","","Timing"
"P2W","Week 16 at home timing","Week 16 Home","Timing_12","","094410cb-bb96-4751-b295-95a4aa59b9e9","","TIM12","","Timing"
"P2W","Week 20 at home timing","Week 20 Home","Timing_14","","adca9b9a-cb78-488f-a083-a5b45f538a69","","TIM14","","Timing"
"P1D","Adverse Event","Adverse Event","Timing_17","","2199405c-e69f-4d2d-99c2-edbb50f2ddf6","","TIM17","","Timing"
"P1D","Early Termination","Early Termination","Timing_18","","6989edf7-b5bd-449a-8b23-68a2af9b6e3c","","TIM18","","Timing"
"PT0M","Supine","Supine","Timing_19","","599f4c8e-aea7-4920-846d-9f58a1cb5136","","TIM19","","Timing"
"PT5M","VS while supine","VS while supine","Timing_20","","1ec9df99-8b0d-4acb-9890-305759b63138","","TIM20","","Timing"
"PT0M","Standing","Standing","Timing_21","","d9ed6883-da00-4548-911f-a5eb7c5fa0e0","","TIM21","","Timing"
"PT1M","VS while standing","VS while standing","Timing_22","","24ed8e39-b690-4818-bc31-ea14aa0d2f23","","TIM22","","Timing"
"PT0M","Standing","Standing","Timing_23","","1a1fd8a5-b0fa-4e2b-9779-1f0fec5a75cd","","TIM23","","Timing"
"PT2M","VS while standing","VS while standing","Timing_24","","70c44c42-ca29-42f0-bd26-ecdd2c575fb8","","TIM24","","Timing"
