"decode","id","code","codeSystem","uuid:ID","codeSystemVersion","instanceType"
"Interventional Study","Code_1","C98388","http://www.cdisc.org","f21f9e21-88d7-4c0b-b892-19e9b239fcf2","2023-09-29","Code"
"Phase II Trial","Code_2","C15601","http://www.cdisc.org","bd2de7ed-abdf-4d1d-a7a2-2340eaf34cf1","2023-09-29","Code"
"Sponsor Approval Date","Code_9","C132352","http://www.cdisc.org","3e56981c-a291-4400-87b4-a0a172e38d91","2023-09-29","Code"
"Global","Code_10","C68846","http://www.cdisc.org","9a32e164-dda7-4fb8-bb92-6ce059ddaa33","2023-09-29","Code"
"IRB/IEC Feedback","Code_72","C99904x3","http://www.cdisc.org","169ca2c2-e735-4a05-8fd7-0f39fd59b368","2023-09-29","Code"
"Other","Code_73","C17649","http://www.cdisc.org","4950d211-e557-4b9e-a766-c15bc2159404","2023-09-29","Code"
"Region","Code_75","C41129","http://www.cdisc.org","7cc3541e-03c0-4751-a849-00d8edbde8df","2023-09-29","Code"
"Europe","Code_74","150","ISO 3166 1 alpha3","da5b05c8-3e71-45db-9f53-accdb496472e","2020-08","Code"
"Eli Lilly","Code_4","PHARMA","SPONSOR","d6b150ef-1b12-4afa-a5c4-f5350f1b5b7c","12","Code"
"Clinical Study Sponsor","Code_76","C70793","http://www.cdisc.org","93640599-3b8b-49b4-a191-1a3ae1945d17","2023-09-29","Code"
"Denmark","Code_77","DNK","ISO 3166 1 alpha3","e49b5695-98c0-462e-b191-9099ce4724b1","2020-08","Code"
"Study Registry","Code_78","C93453","http://www.cdisc.org","a61471d9-d4c3-4fd2-8241-b9b33e33a42c","2023-09-29","Code"
"Treatment Study","Code_136","C49656","http://www.cdisc.org","46a8b54c-2195-4b2d-aa37-d21131a688f5","2023-09-29","Code"
"Efficacy Study","Code_137","C49666","http://www.cdisc.org","8e0337ba-f92d-4b75-b77b-1fcf52f40bf4","2023-09-29","Code"
"Safety Study","Code_138","C49667","http://www.cdisc.org","c15cbbf4-3413-48b7-99aa-f93f31d52ac0","2023-09-29","Code"
"Pharmacokinetic Study","Code_139","C49663","http://www.cdisc.org","a5007534-23a8-4f89-a334-c01fc3c636ed","2023-09-29","Code"
"Mild to Moderate Alzheimer's Disease","Code_133","MILD_MOD_ALZ","SPONSOR","c7ae6cca-5acd-4d23-8f64-a072498cda30","12","Code"
"Alzheimer's disease","Code_134","26929004","SNOMED","3d246d14-234b-456c-b5da-53064b3cb4dd","January 31, 2018","Code"
"EXTENSION","Code_142","C99907x1","http://www.cdisc.org","c287dc4f-e4c1-4bae-958c-315a2f1bdd82","2023-09-29","Code"
"ADAPTIVE","Code_143","C98704","http://www.cdisc.org","c8597851-30ae-499e-8e3a-06678646b549","2023-09-29","Code"
"Parallel Study","Code_140","C82639","http://www.cdisc.org","74841565-33bd-4917-990c-9017a0671321","2023-09-29","Code"
"Visit","Code_82","C25716","http://www.cdisc.org","69c9855d-690f-481f-bd37-a367f1a78a4c","2023-09-29","Code"
"Clinic","Code_83","C51282","http://www.cdisc.org","100b9cfc-5bed-4287-8f02-1660a8ed4760","2023-09-29","Code"
"In Person","Code_84","C175574","http://www.cdisc.org","fccb4799-b732-43fb-b633-e3066f7abaca","2023-09-29","Code"
"Visit","Code_85","C25716","http://www.cdisc.org","f1be83c2-2d4b-432a-9211-d76540eaa6a3","2023-09-29","Code"
